八宝茶,ba'bao'cha
巴豆,ba'dou
巴豆壳,ba'dou'ke
巴豆叶,ba'dou'ye
八角枫,ba'jiao'feng
八角枫花,ba'jiao'feng'hua
八角枫叶,ba'jiao'feng'ye
八角茴香,ba'jiao'hui'xiang
八角金盘,ba'jiao'jin'pan
八角莲,ba'jiao'lian
八角麻,ba'jiao'ma
八角麻根,ba'jiao'ma'gen
八角麻叶,ba'jiao'ma'ye
八角鞘花寄生,ba'jiao'qiao'hua'ji'sheng
八角香,ba'jiao'xiang
八角香兰,ba'jiao'xiang'lan
八节毛,ba'jie'mao
八楞木,ba'leng'mu
巴山虎,ba'shan'hu
霸王鞭,ba'wang'bian
霸王根,ba'wang'gen
霸王七,ba'wang'qi
八仙草,ba'xian'cao
八仙过海,ba'xian'guo'hai
八仙花,ba'xian'hua
八月札,ba'yue'zha
瓣蕊唐松草,ban'rui'tang'song'cao
爆仗竹,bao'zhang'zhu
贝母兰,bei'mu'lan
贝爪曲花紫堇,bei'zhao'qu'hua'zi'jin
贝子,bei'zi
鳖胆,bie'dan
鳖甲,bie'jia
鳖甲胶,bie'jia'jiao
鳖卵,bie'luan
鳖肉,bie'rou
鳖头,bie'tou
鳖血,bie'xue
鳖脂,bie'zhi
不灰木,bu'hui'mu
卜芥,bu'jie
叉歧繁缕,cha'qi'fan'lv
叉枝虎耳草,cha'zhi'hu'er'cao
蟾蜍,chan'chu
蟾蜍胆,chan'chu'dan
蟾蜍肝,chan'chu'gan
蟾酥,chan'su
长白茶,chang'bai'cha
长白虎耳草,chang'bai'hu'er'cao
长白瑞香,chang'bai'rui'xiang
长白苎麻,chang'bai'zhu'ma
长瓣马铃苣苔,chang'ban'ma'ling'ju'tai
长苞菖蒲,chang'bao'chang'pu
长苞谷精草,chang'bao'gu'jing'cao
长柄车前蕨,chang'bing'che'qian'jue
长柄蕨,chang'bing'jue
长柄唐松草,chang'bing'tang'song'cao
长柄唐松草果,chang'bing'tang'song'cao'guo
长柄野扇花,chang'bing'ye'shan'hua
长春花,chang'chun'hua
长春七,chang'chun'qi
长萼石竹,chang'e'shi'zhu
长萼猪屎豆,chang'e'zhu'shi'dou
长盖铁线蕨,chang'gai'tie'xian'jue
长杆兰,chang'gan'lan
长梗大柄冬青,chang'geng'da'bing'dong'qing
长梗地石桔,chang'geng'di'shi'ju
长梗韭,chang'geng'jiu
长更千里光,chang'geng'qian'li'guang
长梗线蕨,chang'geng'xian'jue
长梗玄参,chang'geng'xuan'shen
长管假茉莉,chang'guan'jia'mo'li
长果柄山蚂蝗,chang'guo'bing'shan'ma'huang
长果丛菔,chang'guo'cong'fu
长果栝楼,chang'guo'gua'lou
长果婆婆纳,chang'guo'po'po'na
长果水苦荬,chang'guo'shui'ku'mai
长花豆,chang'hua'dou
长棘,chang'ji
长尖莎草,chang'jian'suo'cao
长江蹄盖蕨,chang'jiang'ti'gai'jue
长茎冷水花,chang'jing'leng'shui'hua
长茎羊耳蒜,chang'jing'yang'er'suan
长距阔蕊兰,chang'ju'kuo'rui'lan
长距兰,chang'ju'lan
长距鸭头兰,chang'ju'ya'tou'lan
长毛对虾,chang'mao'dui'xia
长毛风毛菊,chang'mao'feng'mao'ju
长毛芜菁,chang'mao'wu'jing
长前胡,chang'qian'hu
长磲,chang'qu
长柔毛野豌豆,chang'rou'mao'ye'wan'dou
长蛇鲻肉,chang'she'zi'rou
长蛇鲻尾,chang'she'zi'wei
长石,chang'shi
长穗花,chang'sui'hua
长穗决明,chang'sui'jue'ming
长穗兔儿风,chang'sui'tu'er'feng
长条蛇鲻肉,chang'tiao'she'zi'rou
长条蛇鲻尾,chang'tiao'she'zi'wei
长筒马先蒿,chang'tong'ma'xian'hao
长筒石蒜,chang'tong'shi'suan
长突仙人掌,chang'tu'xian'ren'zhang
长瓦韦,chang'wa'wei
长尾复叶耳蕨,chang'wei'fu'ye'er'jue
长尾旱獭,chang'wei'han'ta
长序冷水花,chang'xu'leng'shui'hua
长叶酸藤子,chang'ye'suan'teng'zi
长叶酸藤子果,chang'ye'suan'teng'zi'guo
长圆果菘蓝,chang'yuan'guo'song'lan
长柱重楼,chang'zhu'chong'lou
长柱沙参,chang'zhu'sha'shen
长柱蝇子草,chang'zhu'ying'zi'cao
长籽马钱,chang'zi'ma'qian
车螯,che'ao
车前,che'qian
车前子,che'qian'zi
车桑仔根,che'sang'zai'gen
车桑仔叶,che'sang'zai'ye
川贝母,chuan'bei'mu
