氨纶,an'lun
暗收高,an'shou'gao
暗收宽,an'shou'kuan
蚕丝,can'si
尺码,chi'ma
抽条,chou'tiao
醋纤,cu'xian
打底,da'di
大身,da'shen
大身部位名称,da'shen'bu'wei'ming'cheng
大圆领套衫,da'yuan'ling'tao'shan
袋高,dai'gao
袋宽,dai'kuan
单肩宽,dan'jian'kuan
单面,dan'mian
单鱼鳞,dan'yu'lin
档平收,dang'ping'shou
档平摇,dang'ping'yao
涤纶,di'lun
放针,fang'zhen
附件,fu'jian
高领套衫,gao'ling'tao'shan
高弹拉架,gao'tan'la'jia
挂肩,gua'jian
挂肩平收,gua'jian'ping'shou
挂肩平收肩,gua'jian'ping'shou'jian
挂肩平摇,gua'jian'ping'yao
挂肩收针高,gua'jian'shou'zhen'gao
后背宽,hou'bei'kuan
后挂肩放针,hou'gua'jian'fang'zhen
后挂肩收针,hou'gua'jian'shou'zhen
后挂肩收针高,hou'gua'jian'shou'zhen'gao
后肩平摇,hou'jian'ping'yao
后肩收针,hou'jian'shou'zhen
后肩余针,hou'jian'yu'zhen
后领宽,hou'ling'kuan
后领平收,hou'ling'ping'shou
后领平摇,hou'ling'ping'yao
后领深,hou'ling'shen
后领收针,hou'ling'shou'zhen
后马鞍宽,hou'ma'an'kuan
后片,hou'pian
后胸高,hou'xiong'gao
后胸宽,hou'xiong'kuan
后胸平摇,hou'xiong'ping'yao
后袖山宽,hou'xiu'shan'kuan
后腰上平摇,hou'yao'shang'ping'yao
后中腰放针,hou'zhong'yao'fang'zhen
后中腰平摇,hou'zhong'yao'ping'yao
后中腰收针,hou'zhong'yao'shou'zhen
化纤,hua'xian
货号,huo'hao
记号,ji'hao
肩放针,jian'fang'zhen
肩宽,jian'kuan
肩平摇,jian'ping'yao
肩收针,jian'shou'zhen
肩斜,jian'xie
肩余针,jian'yu'zhen
绞花,jiao'hua
金丝,jin'si
金纤,jin'xian
金银丝,jin'yin'si
腈纶,jing'lun
净密,jing'mi
精品棉,jing'pin'mian
精品羊毛,jing'pin'yang'mao
绢棉,juan'mian
绢丝,juan'si
空转,kong'zhuan
口袋,kou'dai
裤长,ku'chang
裤裆,ku'dang
裤脚高,ku'jiao'gao
裤脚宽,ku'jiao'kuan
裤口高,ku'kou'gao
裤口宽,ku'kou'kuan
款名,kuan'ming
离开,li'kai
领部位名称,ling'bu'wei'ming'cheng
领高,ling'gao
领宽,ling'kuan
领平收,ling'ping'shou
领收针,ling'shou'zhen
领套衫,ling'tao'shan
领子,ling'zi
领子定义部位名称,ling'zi'ding'yi'bu'wei'ming'cheng
罗纹,luo'wen
马海,ma'hai
马海毛,ma'hai'mao
帽高,mao'gao
帽口高,mao'kou'gao
帽口宽,mao'kou'kuan
帽宽,mao'kuan
毛密,mao'mi
门襟,men'jin
门襟高,men'jin'gao
门襟宽,men'jin'kuan
门襟平收,men'jin'ping'shou
门襟深,men'jin'shen
门襟余针,men'jin'yu'zhen
棉麻,mian'ma
黏纤,nian'xian
纽绳,niu'sheng
平收,ping'shou
平摇,ping'yao
前单肩宽,qian'dan'jian'kuan
前挂肩放针,qian'gua'jian'fang'zhen
前挂肩收针,qian'gua'jian'shou'zhen
前挂肩收针高,qian'gua'jian'shou'zhen'gao
嵌花套衫,qian'hua'tao'shan
前肩平摇,qian'jian'ping'yao
前肩收针,qian'jian'shou'zhen
前肩余针,qian'jian'yu'zhen
前领宽,qian'ling'kuan
前领平收,qian'ling'ping'shou
前领平摇,qian'ling'ping'yao
前领深,qian'ling'shen
前领收针,qian'ling'shou'zhen
前马鞍宽,qian'ma'an'kuan
前片,qian'pian
前片定义部位名称,qian'pian'ding'yi'bu'wei'ming'cheng
前胸高,qian'xiong'gao
前胸宽,qian'xiong'kuan
前胸平摇,qian'xiong'ping'yao
前袖山宽,qian'xiu'shan'kuan
前腰上平摇,qian'yao'shang'ping'yao
前中腰放针,qian'zhong'yao'fang'zhen
前中腰平摇,qian'zhong'yao'ping'yao
前中腰收针,qian'zhong'yao'shou'zhen
强力棉,qiang'li'mian
晴纶,qing'lun
秋冬新款,qiu'dong'xin'kuan
人造毛,ren'zao'mao
人造棉,ren'zao'mian
人造丝,ren'zao'si
日期,ri'qi
