安居小区,an'ju'xiao'qu
巴家,ba'jia
八家子,ba'jia'zi
巴兰制衣厂,ba'lan'zhi'yi'chang
八里,ba'li
八中,ba'zhong
柏利,bai'li
白塔医院,bai'ta'yi'yuan
白塔造纸厂,bai'ta'zao'zhi'chang
佰亿,bai'yi
佰亿丽景茗城,bai'yi'li'jing'ming'cheng
佰亿小区,bai'yi'xiao'qu
报社,bao'she
保险公司,bao'xian'gong'si
北草库,bei'cao'ku
北郊监狱,bei'jiao'jian'yu
北哨,bei'shao
北市,bei'shi
博大医药公司,bo'da'yi'yao'gong'si
玻璃厂,bo'li'chang
博艺学校,bo'yi'xue'xiao
菜市小区,cai'shi'xiao'qu
蔡庄楼,cai'zhuang'lou
残联,can'lian
畅达汽修厂,chang'da'qi'xiu'chang
朝光,chao'guang
朝鲜中学,chao'xian'zhong'xue
成旺花园,cheng'wang'hua'yuan
传染病医院,chuan'ran'bing'yi'yuan
崔家,cui'jia
大打白,da'da'bai
大林子,da'lin'zi
大市场,da'shi'chang
大屯,da'tun
大洼,da'wa
道口,dao'kou
地号,di'hao
电业局,dian'ye'ju
东八里,dong'ba'li
东堡,dong'bao
东二道街,dong'er'dao'jie
东关,dong'guan
东京陵,dong'jing'ling
东辽阳,dong'liao'yang
东三道街,dong'san'dao'jie
东外环路,dong'wai'huan'lu
东小什,dong'xiao'shen
东兴家园,dong'xing'jia'yuan
东喻村,dong'yu'cun
杜家,du'jia
锻压厂,duan'ya'chang
峨嵋,e'mei
二道衔,er'dao'xian
二队,er'dui
二区,er'qu
二热电,er're'dian
二十区,er'shi'qu
二院,er'yuan
二招,er'zhao
二中,er'zhong
阀门厂,fa'men'chang
方家,fang'jia
方双树,fang'shuang'shu
方双小学,fang'shuang'xiao'xue
飞机场,fei'ji'chang
飞越网吧,fei'yue'wang'ba
风和日丽,feng'he'ri'li
富虹,fu'hong
富虹阳光尊邸,fu'hong'yang'guang'zun'di
钢管厂,gang'guan'chang
钢圈厂,gang'quan'chang
高层,gao'ceng
高城子,gao'cheng'zi
蛤蜊,ge'li
给水设备,gei'shui'she'bei
工人村,gong'ren'cun
孤家子,gu'jia'zi
孤榆树,gu'yu'shu
挂面厂,gua'mian'chang
广场,guang'chang
广发证券,guang'fa'zheng'quan
光辉,guang'hui
广佑寺,guang'you'si
海尔,hai'er
海鲜大市场,hai'xian'da'shi'chang
翰林府,han'lin'fu
红光,hong'guang
鸿深仪表,hong'shen'yi'biao
宏伟化工,hong'wei'hua'gong
宏伟桥,hong'wei'qiao
宏伟区政府,hong'wei'qu'zheng'fu
鸿雁超市,hong'yan'chao'shi
华兴,hua'xing
华兴大厦,hua'xing'da'sha
槐花酒厂,huai'hua'jiu'chang
怀王,huai'wang
怀玉,huai'yu
黄金部队,huang'jin'bu'dui
黄金基地,huang'jin'ji'di
汇东,hui'dong
汇东市场,hui'dong'shi'chang
惠民小区,hui'min'xiao'qu
汇祥,hui'xiang
汇祥酒楼,hui'xiang'jiu'lou
货运处,huo'yun'chu
机化公司,ji'hua'gong'si
加工厂,jia'gong'chang
家俱城,jia'ju'cheng
佳龙化工,jia'long'hua'gong
驾校,jia'xiao
加油站,jia'you'zhan
建安公司,jian'an'gong'si
建材大市场,jian'cai'da'shi'chang
检察院,jian'cha'yuan
检车线,jian'che'xian
建行,jian'hang
减速机厂,jian'su'ji'chang
建校,jian'xiao
教委小区,jiao'wei'xiao'qu
结核医院,jie'he'yi'yuan
金地旅行社,jin'di'lv'xing'she
金银库,jin'yin'ku
京都,jing'du
景尔屯,jing'er'tun
酒厂,jiu'chang
开发区,kai'fa'qu
开发区道口,kai'fa'qu'dao'kou
开发区政府,kai'fa'qu'zheng'fu
凯龙门,kai'long'men
康乐,kang'le
科普公园,ke'pu'gong'yuan
口腔医院,kou'qiang'yi'yuan
莱特风家俱厂,lai'te'feng'jia'ju'chang
兰家,lan'jia
兰家小学,lan'jia'xiao'xue
老干部局,lao'gan'bu'ju
联通,lian'tong
两孔桥,liang'kong'qiao
粮食局,liang'shi'ju
辽大外院,liao'da'wai'yuan
辽纺,liao'fang
辽纺医院,liao'fang'yi'yuan
辽化,liao'hua
辽化宾馆,liao'hua'bin'guan
辽化二招,liao'hua'er'zhao
辽化高中,liao'hua'gao'zhong
辽化医院,liao'hua'yi'yuan
辽化医院北站,liao'hua'yi'yuan'bei'zhan
辽麻,liao'ma
辽阳县政府,liao'yang'xian'zheng'fu
辽阳移动,liao'yang'yi'dong
六道街口,liu'dao'jie'kou
六中,liu'zhong
铝材厂,lv'cai'chang
绿华园,lv'hua'yuan
马伊屯,ma'yi'tun
美林园,mei'lin'yuan
煤气公司,mei'qi'gong'si
苗圃,miao'pu
木鱼石,mu'yu'shi
南大营,nan'da'ying
南郊,nan'jiao
南郊干休所,nan'jiao'gan'xiu'suo
南门口,nan'men'kou
南庄,nan'zhuang
农场,nong'chang
欧格装饰,ou'ge'zhuang'shi
朋立,peng'li
啤酒厂,pi'jiu'chang
平安保险公司,ping'an'bao'xian'gong'si
普化小学,pu'hua'xiao'xue
朴家沟,pu'jia'gou
汽贸,qi'mao
启文幼儿园,qi'wen'you'er'yuan
汽校,qi'xiao
七中,qi'zhong
千山酒厂,qian'shan'jiu'chang
清华园,qing'hua'yuan
庆阳,qing'yang
荣华超市,rong'hua'chao'shi
荣华路,rong'hua'lu
荣兴驾校,rong'xing'jia'xiao
三道衔,san'dao'xian
三队,san'dui
三江源证券,san'jiang'yuan'zheng'quan
三块石,san'kuai'shi
三里庄,san'li'zhuang
三明四道街,san'ming'si'dao'jie
三院,san'yuan
沙场,sha'chang
沙坨子,sha'tuo'zi
商业街,shang'ye'jie
少年宫,shao'nian'gong
哨所,shao'suo
设计院,she'ji'yuan
审计局,shen'ji'ju
沈司干休所,shen'si'gan'xiu'suo
盛达图书城,sheng'da'tu'shu'cheng
省机电工程学校,sheng'ji'dian'gong'cheng'xue'xiao
省科研,sheng'ke'yan
胜利化工,sheng'li'hua'gong
晟雅格林,sheng'ya'ge'lin
十九局二处,shi'jiu'ju'er'chu
十九局三处,shi'jiu'ju'san'chu
十九局医院,shi'jiu'ju'yi'yuan
十九局招待所,shi'jiu'ju'zhao'dai'suo
十九中,shi'jiu'zhong
食品公司,shi'pin'gong'si
市人大,shi'ren'da
市委,shi'wei
实验小学,shi'yan'xiao'xue
市医院,shi'yi'yuan
市中心医院,shi'zhong'xin'yi'yuan
师专,shi'zhuan
首山碳素厂,shou'shan'tan'su'chang
曙光,shu'guang
水果市场,shui'guo'shi'chang
水泥厂,shui'ni'chang
水泥制品厂,shui'ni'zhi'pin'chang
水塔,shui'ta
水源地,shui'yuan'di
水月翰宫,shui'yue'han'gong
四处,si'chu
四道街,si'dao'jie
四队,si'dui
四高中,si'gao'zhong
四里,si'li
四区,si'qu
四一七,si'yi'qi
四院,si'yuan
塑料纤维厂,su'liao'xian'wei'chang
太子河,tai'zi'he
太子河交警,tai'zi'he'jiao'jing
弹簧厂,tan'huang'chang
汤庙子,tang'miao'zi
糖尿病医院,tang'niao'bing'yi'yuan
天瑞水泥,tian'rui'shui'ni
铁道口,tie'dao'kou
铁合金,tie'he'jin
铁通,tie'tong
铁西粮库,tie'xi'liang'ku
汀洲,ting'zhou
通达支行,tong'da'zhi'hang
瓦沟子,wa'gou'zi
瓦窑子,wa'yao'zi
万隆,wan'long
望宝台,wang'bao'tai
王双树,wang'shuang'shu
王双树村,wang'shuang'shu'cun
望水台,wang'shui'tai
望水台大药房,wang'shui'tai'da'yao'fang
王庄,wang'zhuang
威尔玛,wei'er'ma
微机研究所,wei'ji'yan'jiu'suo
卫校,wei'xiao
文化宫,wen'hua'gong
文圣分局,wen'sheng'fen'ju
文圣交警,wen'sheng'jiao'jing
文圣仪表,wen'sheng'yi'biao
文圣中心医院,wen'sheng'zhong'xin'yi'yuan
物价局,wu'jia'ju
梧桐雅居,wu'tong'ya'ju
五院,wu'yuan
西八里,xi'ba'li
西菜市,xi'cai'shi
西小什,xi'xiao'shen
下坎,xia'kan
下王家,xia'wang'jia
县党校,xian'dang'xiao
先得月,xian'de'yue
县三高中,xian'san'gao'zhong
县商业银行,xian'shang'ye'yin'hang
县中医院,xian'zhong'yi'yuan
香港花园,xiang'gang'hua'yuan
祥和缘,xiang'he'yuan
襄平,xiang'ping
襄平派出所,xiang'ping'pai'chu'suo
向阳寺,xiang'yang'si
小打白,xiao'da'bai
小南门,xiao'nan'men
小祁家,xiao'qi'jia
小祁家村政府,xiao'qi'jia'cun'zheng'fu
小祁家小学,xiao'qi'jia'xiao'xue
小区,xiao'qu
小屯,xiao'tun
小望宝,xiao'wang'bao
新城,xin'cheng
信达证券,xin'da'zheng'quan
新华路大商电器,xin'hua'lu'da'shang'dian'qi
馨华园,xin'hua'yuan
新家族,xin'jia'zu
新立,xin'li
新世纪,xin'shi'ji
新兴,xin'xing
新宇海尔,xin'yu'hai'er
馨悦小区,xin'yue'xiao'qu
徐家,xu'jia
徐家屯,xu'jia'tun
徐往子,xu'wang'zi
雅朝,ya'chao
阳光小区,yang'guang'xiao'qu
杨家,yang'jia
药机,yao'ji
腰乐,yao'le
冶建,ye'jian
亿方,yi'fang
一高中,yi'gao'zhong
一小,yi'xiao
医院,yi'yuan
一职专,yi'zhi'zhuan
银监局,yin'jian'ju
永佳汽缸厂,yong'jia'qi'gang'chang
永乐小学,yong'le'xiao'xue
永兴佳城,yong'xing'jia'cheng
邮电新村,you'dian'xin'cun
裕国花园,yu'guo'hua'yuan
鱼市,yu'shi
育种,yu'zhong
运输处,yun'shu'chu
造纸,zao'zhi
站前,zhan'qian
镇政府,zhen'zheng'fu
正德商城,zheng'de'shang'cheng
纸板厂,zhi'ban'chang
职高驾校,zhi'gao'jia'xiao
纸机,zhi'ji
纸机厂,zhi'ji'chang
治建,zhi'jian
中华,zhong'hua
中华大药房,zhong'hua'da'yao'fang
忠旺铝材,zhong'wang'lv'cai
中心路,zhong'xin'lu
中心小学,zhong'xin'xiao'xue
中医院,zhong'yi'yuan
中泽,zhong'ze
自来水公司,zi'lai'shui'gong'si
