氚水,chuan'shui
大型离子对撞机,da'xing'li'zi'dui'zhuang'ji
氘水,dao'shui
惰性气体,duo'xing'qi'ti
惰性元素,duo'xing'yuan'su
放射性氡,fang'she'xing'dong
过氧化氢,guo'yang'hua'qing
两性离子,liang'xing'li'zi
卤族元素,lu'zu'yuan'su
每升多少摩尔,mei'sheng'duo'shao'mo'er
摩尔量,mo'er'liang
氖泡,nai'pao
轻水,qing'shui
氙气灯,xian'qi'deng
溴化碘,xiu'hua'dian
氩气灯,ya'qi'deng
吲哚,yin'duo
重水,zhong'shui
