矮柜,ai'gui
矮老,ai'lao
矮榻,ai'ta
暗榫,an'sun
案型结构,an'xing'jie'gou
安阳出土隋代瓷凳,an'yang'chu'tu'sui'dai'ci'deng
凹线,ao'xian
拔步床,ba'bu'chuang
霸王枨,ba'wang'cheng
八仙桌,ba'xian'zhuo
百宝箱,bai'bao'xiang
白夹竹,bai'jia'zhu
柏木,bai'mu
百日青,bai'ri'qing
白檀,bai'tan
板材,ban'cai
板尺,ban'chi
半出腿,ban'chu'tui
板床,ban'chuang
板方材,ban'fang'cai
板式家具,ban'shi'jia'ju
半榫,ban'sun
半桌,ban'zhuo
薄板,bao'ban
刨花板,bao'hua'ban
刨花板边缘和定点加固,bao'hua'ban'bian'yuan'he'ding'dian'jia'gu
刨花板家具,bao'hua'ban'jia'ju
刨花模压成型家具,bao'hua'mo'ya'cheng'xing'jia'ju
刨花模压制品,bao'hua'mo'ya'zhi'pin
抱肩榫,bao'jian'sun
包角,bao'jiao
包角踏脚,bao'jiao'ta'jiao
薄木镶嵌家具,bao'mu'xiang'qian'jia'ju
薄型刨花板,bao'xing'bao'hua'ban
刨子,bao'zi
宝座,bao'zuo
背板,bei'ban
北魏双人榻,bei'wei'shuang'ren'ta
笔梗椅,bi'geng'yi
笔管栏杆床,bi'guan'lan'gan'chuang
壁柜,bi'gui
壁架,bi'jia
壁桌,bi'zhuo
变种大头典竹,bian'zhong'da'tou'dian'zhu
冰盘沿,bing'pan'yan
博古架,bo'gu'jia
步步高,bu'bu'gao
步障,bu'zhang
槽口,cao'kou
槽片,cao'pian
层板家具,ceng'ban'jia'ju
层式托牙,ceng'shi'tuo'ya
茶担箱,cha'dan'xiang
茶几,cha'ji
插肩榫,cha'jian'sun
插角,cha'jiao
插屏,cha'ping
拆装家具,chai'zhuang'jia'ju
禅床,chan'chuang
禅凳,chan'deng
禅灯,chan'deng
铲地,chan'di
长边短抹,chang'bian'duan'mo
长短榫,chang'duan'sun
车脚,che'jiao
车围子,che'wei'zi
成都宣统圆桌,cheng'du'xuan'tong'yuan'zhuo
承脚,cheng'jiao
承挽,cheng'wan
成型胶合板,cheng'xing'jiao'he'ban
痴床,chi'chuang
尺度,chi'du
赤水木,chi'shui'mu
抽替,chou'ti
出边,chu'bian
川柏,chuan'bai
穿带,chuan'dai
穿梢,chuan'shao
传统家具,chuan'tong'jia'ju
床寝,chuang'qin
床头柜,chuang'tou'gui
春凳,chun'deng
春秋木案,chun'qiu'mu'an
春秋木几,chun'qiu'mu'ji
瓷质家具,ci'zhi'jia'ju
慈竹,ci'zhu
攒边作法,cuan'bian'zuo'fa
攒斗,cuan'dou
