白凤,bai'feng
白桃,bai'tao
仓方,cang'fang
仓方旱,cang'fang'han
仓方旱生,cang'fang'han'sheng
赤月,chi'yue
川白,chuan'bai
川白凤,chuan'bai'feng
川中,chuan'zhong
川中岛,chuan'zhong'dao
川中岛白,chuan'zhong'dao'bai
川中岛白桃,chuan'zhong'dao'bai'tao
大玉,da'yu
大玉白,da'yu'bai
大玉白凤,da'yu'bai'feng
大玉白桃,da'yu'bai'tao
岛白桃,dao'bai'tao
方旱,fang'han
方旱生,fang'han'sheng
旱生,han'sheng
旱生黄,han'sheng'huang
旱生黄金,han'sheng'huang'jin
旱生黄金桃,han'sheng'huang'jin'tao
和白,he'bai
和白桃,he'bai'tao
黄金桃,huang'jin'tao
黄夏,huang'xia
金桃,jin'tao
美晴,mei'qing
美晴白,mei'qing'bai
美晴白桃,mei'qing'bai'tao
千曲,qian'qu
千曲白,qian'qu'bai
千曲白凤,qian'qu'bai'feng
晴白,qing'bai
晴白桃,qing'bai'tao
清水,qing'shui
清水白,qing'shui'bai
清水白凤,qing'shui'bai'feng
清水白桃,qing'shui'bai'tao
曲白,qu'bai
曲白凤,qu'bai'feng
日川,ri'chuan
日川白,ri'chuan'bai
日川白凤,ri'chuan'bai'feng
生黄,sheng'huang
生黄金,sheng'huang'jin
生黄金桃,sheng'huang'jin'tao
水白,shui'bai
水白凤,shui'bai'feng
水白桃,shui'bai'tao
桃苗,tao'miao
尾金,wei'jin
西尾,xi'wei
西尾金,xi'wei'jin
夏姬,xia'ji
阳夏,yang'xia
阳夏姬,yang'xia'ji
玉白,yu'bai
玉白凤,yu'bai'feng
玉白桃,yu'bai'tao
昭和,zhao'he
昭和白,zhao'he'bai
昭和白桃,zhao'he'bai'tao
中岛,zhong'dao
中岛白,zhong'dao'bai
中岛白桃,zhong'dao'bai'tao
