阿芬,a'fen
阿姆斯特丹街,a'mu'si'te'dan'jie
啊跑拉,a'pao'la
啊偉,a'wei
阿勇,a'yong
爱恨边缘,ai'hen'bian'yuan
埃及罪人,ai'ji'zui'ren
爱你不是两三天,ai'ni'bu'shi'liang'san'tian
爱上刹那间,ai'shang'cha'na'jian
爱上未来的你之猪猪,ai'shang'wei'lai'de'ni'zhi'zhu'zhu
艾思可芮儿,ai'si'ke'rui'er
爱昔,ai'xi
爱心社,ai'xin'she
爱已往事,ai'yi'wang'shi
爱影人,ai'ying'ren
爱乐社,ai'yue'she
爱乐英语,ai'yue'ying'yu
爱乐英语俱乐部,ai'yue'ying'yu'ju'le'bu
安安霞,an'an'xia
暗里着迷,an'li'zhao'mi
安鑫南,an'xin'nan
安秀,an'xiu
熬矶凝秀,ao'ji'ning'xiu
敖卿,ao'qing
傲天啊,ao'tian'a
奥运树,ao'yun'shu
白刀,bai'dao
白化病黑猫,bai'hua'bing'hei'mao
百灵鸟艺术团,bai'ling'niao'yi'shu'tuan
白卫国,bai'wei'guo
百云飞,bai'yun'fei
班海滨,ban'hai'bin
半夏木香,ban'xia'mu'xiang
宝贝文,bao'bei'wen
包宏,bao'hong
保进烽,bao'jin'feng
包装工程,bao'zhuang'gong'cheng
北辰学社无为海,bei'chen'xue'she'wu'wei'hai
北二门,bei'er'men
背叛无妻,bei'pan'wu'qi
贝淑华,bei'shu'hua
笨笨猪猪,ben'ben'zhu'zhu
奔三人儿,ben'san'ren'er
笔友文学社,bi'you'wen'xue'she
边黎明,bian'li'ming
辩论协会,bian'lun'xie'hui
灬乖囧悦灬,biao'guai'jiong'yue'biao
冰河里的雪花,bing'he'li'de'xue'hua
波波车间,bo'bo'che'jian
搏蝴,bo'hu
泊崽,bo'zai
不逮老鼠爱睡觉还翘课的宝贝的,bu'dai'lao'shu'ai'shui'jiao'hai'qiao'ke'de'bao'bei'de
不过是个隐者,bu'guo'shi'ge'yin'zhe
不会的否否,bu'hui'de'fou'fou
不会飞的渡渡鸟,bu'hui'fei'de'du'du'niao
不会谈情之情圣,bu'hui'tan'qing'zhi'qing'sheng
不是导演,bu'shi'dao'yan
不识相,bu'shi'xiang
不要再想,bu'yao'zai'xiang
不再喝可乐,bu'zai'he'ke'le
不知名的流星,bu'zhi'ming'de'liu'xing
蔡芳芳,cai'fang'fang
蔡家斌,cai'jia'bin
材料工程,cai'liao'gong'cheng
材料加工工程,cai'liao'jia'gong'gong'cheng
材料学,cai'liao'xue
菜鸟天使,cai'niao'tian'shi
蔡伟义,cai'wei'yi
蔡媛媛,cai'yuan'yuan
踩着碎玻璃的痛,cai'zhe'sui'bo'li'de'tong
蔡智慧,cai'zhi'hui
蔡志坚,cai'zhi'jian
仓小放,cang'xiao'fang
曹加杰,cao'jia'jie
曹静,cao'jing
曹磊,cao'lei
曹平祥,cao'ping'xiang
曹顺仙,cao'shun'xian
曹向东,cao'xiang'dong
曹云峰,cao'yun'feng
测绘工程,ce'hui'gong'cheng
测控技术与仪器,ce'kong'ji'shu'yu'yi'qi
测试计量技术及仪器,ce'shi'ji'liang'ji'shu'ji'yi'qi
曾杰杰,ceng'jie'jie
曾韬,ceng'tao
查国荣,cha'guo'rong
插花艺术社,cha'hua'yi'shu'she
查瑞丹,cha'rui'dan
差一厘米的爱,cha'yi'li'mi'de'ai
柴华伟,chai'hua'wei
柴铁生,chai'tie'sheng
常继锋,chang'ji'feng
长途东站,chang'tu'dong'zhan
超级好男儿,chao'ji'hao'nan'er
陈爱琴,chen'ai'qin
陈彬,chen'bin
陈翠苹,chen'cui'ping
陈大胜,chen'da'sheng
陈冬霞,chen'dong'xia
陈凤毛,chen'feng'mao
陈桂霞,chen'gui'xia
陈红华,chen'hong'hua
陈红梅,chen'hong'mei
陈惠明,chen'hui'ming
陈健,chen'jian
陈金林,chen'jin'lin
陈景欢,chen'jing'huan
陈磊,chen'lei
陈丽屏,chen'li'ping
陈琳,chen'lin
陈龙,chen'long
沉默猎杀,chen'mo'lie'sha
陈牧,chen'mu
陈慕华,chen'mu'hua
陈乃玲,chen'nai'ling
陈宁,chen'ning
陈平,chen'ping
陈蓉,chen'rong
陈荣平,chen'rong'ping
尘世中的迷途小书童,chen'shi'zhong'de'mi'tu'xiao'shu'tong
陈书林,chen'shu'lin
陈松,chen'song
陈蔚,chen'wei
陈雯,chen'wen
晨曦云,chen'xi'yun
陈相雨,chen'xiang'yu
陈昕,chen'xin
陈欣,chen'xin
陈兴,chen'xing
陈岩,chen'yan
陈燕,chen'yan
陈艳男,chen'yan'nan
陈一良,chen'yi'liang
陈益民,chen'yi'min
陈颖,chen'ying
晨泳,chen'yong
陈勇,chen'yong
陈泳,chen'yong
陈永霞,chen'yong'xia
陈于书,chen'yu'shu
陈元媛,chen'yuan'yuan
陈朝霞,chen'zhao'xia
陈茁新,chen'zhuo'xin
程从球,cheng'cong'qiu
程金兰,cheng'jin'lan
程康华,cheng'kang'hua
程南洋,cheng'nan'yang
程强,cheng'qiang
城市规划,cheng'shi'gui'hua
城市规划与设计,cheng'shi'gui'hua'yu'she'ji
城市景观艺术,cheng'shi'jing'guan'yi'shu
程怡荻,cheng'yi'di
程玉柱,cheng'yu'zhu
成远,cheng'yuan
吃草的狗,chi'cao'de'gou
吃咪咪的小鱼,chi'mi'mi'de'xiao'yu
憧憬未来,chong'jing'wei'lai
出租汽车,chu'zu'qi'che
穿裙子的草,chuan'qun'zi'de'cao
传世牛牛,chuan'shi'niu'niu
穿着马甲来风雨,chuan'zhe'ma'jia'lai'feng'yu
春色撩人,chun'se'liao'ren
春水冬流,chun'shui'dong'liu
崔举庆,cui'ju'qing
崔筱映,cui'xiao'ying
崔艳,cui'yan
崔玉隆,cui'yu'long
崔志华,cui'zhi'hua
打不死的蟑螂,da'bu'si'de'zhang'lang
大椿树,da'chun'shu
大地征程,da'di'zheng'cheng
大老爷们不上班,da'lao'ye'men'bu'shang'ban
大山那边的人,da'shan'na'bian'de'ren
打太极,da'tai'ji
大唐仕女,da'tang'shi'nv
大学生科协,da'xue'sheng'ke'xie
大学生团队,da'xue'sheng'tuan'dui
戴红旗,dai'hong'qi
戴宁翔,dai'ning'xiang
戴雪芳,dai'xue'fang
戴兆华,dai'zhao'hua
淡淡云烟,dan'dan'yun'yan
单调的日子,dan'diao'de'ri'zi
淡兰色丝巾,dan'lan'se'si'jin
丹麦童话,dan'mai'tong'hua
单玉霞,dan'yu'xia
当年拚却醉颜红,dang'nian'pan'que'zui'yan'hong
倒车请注意,dao'che'qing'zhu'yi
刀刀空,dao'dao'kong
刀锋孩子,dao'feng'hai'zi
道路与铁道工程,dao'lu'yu'tie'dao'gong'cheng
等你,deng'ni
邓玉和,deng'yu'he
地瓜,di'gua
帝国斜阳,di'guo'xie'yang
地理信息系统,di'li'xin'xi'xi'tong
第十三头猪,di'shi'san'tou'zhu
第一次被你砍,di'yi'ci'bei'ni'kan
电脑爱好者协会,dian'nao'ai'hao'zhe'xie'hui
颠茄娃娃,dian'qie'wa'wa
电子竞技协会,dian'zi'jing'ji'xie'hui
电子商务,dian'zi'shang'wu
电子信息工程,dian'zi'xin'xi'gong'cheng
叼人囵,diao'ren'lun
碟舞千山,die'wu'qian'shan
丁海虎,ding'hai'hu
丁建文,ding'jian'wen
丁亮,ding'liang
丁其祥,ding'qi'xiang
丁山,ding'shan
丁少军,ding'shao'jun
丁胜,ding'sheng
丁涛,ding'tao
丁彦芬,ding'yan'fen
丁雨龙,ding'yu'long
丢丢拉拉,diu'diu'la'la
动画数码影视,dong'hua'shu'ma'ying'shi
冬季雪人,dong'ji'xue'ren
动力空间,dong'li'kong'jian
冬日美色,dong'ri'mei'se
冬日烟灰,dong'ri'yan'hui
董薇熙,dong'wei'xi
动物学,dong'wu'xue
东笑水,dong'xiao'shui
冬雨孤少,dong'yu'gu'shao
董玉明,dong'yu'ming
窦立春,dou'li'chun
窦立君,dou'li'jun
斗龙垂客,dou'long'chui'ke
独行红黑客,du'xing'hong'hei'ke
独自孤独着,du'zi'gu'du'zhe
段慧茹,duan'hui'ru
段静波,duan'jing'bo
端茂军,duan'mao'jun
端木弱鱼,duan'mu'ruo'yu
对你一生的承诺,dui'ni'yi'sheng'de'cheng'nuo
多伦多大学,duo'lun'duo'da'xue
躲在旮旯头,duo'zai'ga'la'tou
恶魔皇妃,e'mo'huang'fei
恶心的男人,e'xin'de'nan'ren
二个人,er'ge'ren
二环十三,er'huan'shi'san
二桥高速,er'qiao'gao'su
法号空狂,fa'hao'kong'kuang
法学,fa'xue
樊继山,fan'ji'shan
范钦华,fan'qin'hua
房华,fang'hua
方明锋,fang'ming'feng
房艳,fang'yan
方知,fang'zhi
费宝丽,fei'bao'li
飞不上去,fei'bu'shang'qu
肥猫太热,fei'mao'tai're
飞行,fei'xing
飞雪悠游小艺,fei'xue'you'you'xiao'yi
飞叶漂泊,fei'ye'piao'bo
风飞,feng'fei
风见亮,feng'jian'liang
风景园林学院,feng'jing'yuan'lin'xue'yuan
冯俊苗,feng'jun'miao
疯狂小羊,feng'kuang'xiao'yang
风浪宣言,feng'lang'xuan'yan
锋芒,feng'mang
冯善达,feng'shan'da
封维忠,feng'wei'zhong
冯小娟,feng'xiao'juan
冯星球,feng'xing'qiu
风影无帆,feng'ying'wu'fan
风影者,feng'ying'zhe
风雨广告,feng'yu'guang'gao
风雨南林,feng'yu'nan'lin
风雨南林之南方学院,feng'yu'nan'lin'zhi'nan'fang'xue'yuan
风云网球,feng'yun'wang'qiu
风之羽翼,feng'zhi'yu'yi
浮尘似梦,fu'chen'si'meng
浮土台,fu'tu'tai
浮竹夜,fu'zhu'ye
干净的天空,gan'jing'de'tian'kong
敢为天下仙,gan'wei'tian'xia'xian
甘英俊,gan'ying'jun
刚出炉的导弹,gang'chu'lu'de'dao'dan
高分子材料,gao'fen'zi'cai'liao
高分子材料与工程,gao'fen'zi'cai'liao'yu'gong'cheng
高敏杰,gao'min'jie
高能温度,gao'neng'wen'du
高勤卫,gao'qin'wei
高天原,gao'tian'yuan
高晓琴,gao'xiao'qin
高校事业部,gao'xiao'shi'ye'bu
高燕秋,gao'yan'qiu
高振华,gao'zhen'hua
戈军,ge'jun
葛薇龙,ge'wei'long
跟着潮流,gen'zhe'chao'liu
耿利敏,geng'li'min
耿凌艳,geng'ling'yan
耿涛,geng'tao
耿兴敏,geng'xing'min
工程管理,gong'cheng'guan'li
龚道德,gong'dao'de
工商管理,gong'shang'guan'li
龚晓瑜,gong'xiao'yu
工业产品造型设计,gong'ye'chan'pin'zao'xing'she'ji
工业设计,gong'ye'she'ji
工业装备与自动化,gong'ye'zhuang'bei'yu'zi'dong'hua
公主金毛,gong'zhu'jin'mao
缑斌丽,gou'bin'li
狗哥来了,gou'ge'lai'le
孤独的写轮眼,gu'du'de'xie'lun'yan
孤独干将,gu'du'gan'jiang
谷康,gu'kang
古老三星堆,gu'lao'san'xing'dui
古留根尾第二,gu'liu'gen'wei'di'er
顾平,gu'ping
谷文,gu'wen
顾晓利,gu'xiao'li
谷永清,gu'yong'qing
顾云风,gu'yun'feng
拐子,guai'zi
关惠元,guan'hui'yuan
管理科学与工程,guan'li'ke'xue'yu'gong'cheng
管理学社,guan'li'xue'she
关庆伟,guan'qing'wei
观赏园艺,guan'shang'yuan'yi
管雪松,guan'xue'song
广告设计设计,guang'gao'she'ji'she'ji
广告协会,guang'gao'xie'hui
广告学,guang'gao'xue
光影社,guang'ying'she
桂冰,gui'bing
规划组,gui'hua'zu
鬼十二在线,gui'shi'er'zai'xian
郭安,guo'an
郭斌,guo'bin
郭承龙,guo'cheng'long
