阿魏,a'wei
矮地茶,ai'di'cha
艾叶,ai'ye
安息香,an'xi'xiang
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角茴香,ba'jiao'hui'xiang
菝葜,ba'qia
白扁豆,bai'bian'dou
百部,bai'bu
白矾,bai'fan
白附子,bai'fu'zi
白果,bai'guo
白果仁,bai'guo'ren
百合,bai'he
白及,bai'ji
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白屈菜,bai'qu'cai
白芍,bai'shao
白糖参,bai'tang'can
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮,bai'xian'pi
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
柏子仁霜,bai'zi'ren'shuang
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
斑蝥,ban'mao
半夏,ban'xia
半枝莲,ban'zhi'lian
暴马子皮,bao'ma'zi'pi
北柴胡,bei'chai'hu
北豆根,bei'dou'gen
北刘寄奴,bei'liu'ji'nu
北沙参,bei'sha'shen
荜茇,bi'ba
荜澄茄,bi'cheng'qie
蓖麻子,bi'ma'zi
萹蓄,bian'xu
鳖甲,bie'jia
鳖甲胶,bie'jia'jiao
槟榔,bing'lang
薄荷,bo'he
补骨脂,bu'gu'zhi
布渣叶,bu'zha'ye
藏菖蒲,cang'chang'pu
苍耳子,cang'er'zi
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草果仁,cao'guo'ren
草乌,cao'wu
草乌叶,cao'wu'ye
侧柏炭,ce'bai'tan
侧柏叶,ce'bai'ye
柴胡,chai'hu
燀苦杏仁,chan'ku'xing'ren
燀山桃仁,chan'shan'tao'ren
蟾酥,chan'su
蟾酥粉,chan'su'fen
燀桃仁,chan'tao'ren
蝉蜕,chan'tui
常山,chang'shan
炒槟榔,chao'bing'lang
炒苍耳子,chao'cang'er'zi
炒茺蔚子,chao'chong'wei'zi
炒稻芽,chao'dao'ya
炒谷芽,chao'gu'ya
炒瓜蒌子,chao'gua'lou'zi
炒花椒,chao'hua'jiao
炒槐花,chao'huai'hua
炒蒺藜,chao'ji'li
炒鸡内金,chao'ji'nei'jin
炒僵蚕,chao'jiang'can
炒芥子,chao'jie'zi
炒苦杏仁,chao'ku'xing'ren
炒莱菔子,chao'lai'fu'zi
炒蔓荆子,chao'man'jing'zi
炒牵牛子,chao'qian'niu'zi
炒桑枝,chao'sang'zhi
炒山桃仁,chao'shan'tao'ren
炒使君子仁,chao'shi'jun'zi'ren
炒酸枣仁,chao'suan'zao'ren
炒葶苈子,chao'ting'li'zi
朝鲜红参,chao'xian'hong'shen
炒栀子,chao'zhi'zi
车前草,che'qian'cao
车前子,che'qian'zi
陈皮,chen'pi
沉香,chen'xiang
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫白蜡,chong'bai'la
重楼,chong'lou
茺蔚子,chong'wei'zi
臭灵丹草,chou'ling'dan'cao
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川楝子,chuan'lian'zi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川射干,chuan'she'gan
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿皮,chun'pi
磁石,ci'shi
刺五加,ci'wu'jia
醋北柴胡,cu'bei'chai'hu
醋鳖甲,cu'bie'jia
醋莪术,cu'e'zhu
醋甘遂,cu'gan'sui
醋龟甲,cu'gui'jia
醋鸡内金,cu'ji'nei'jin
醋京大戟,cu'jing'da'ji
醋狼毒,cu'lang'du
醋没药,cu'mei'yao
醋南柴胡,cu'nan'chai'hu
醋南五味子,cu'nan'wu'wei'zi
醋青皮,cu'qing'pi
醋乳香,cu'ru'xiang
醋山甲,cu'shan'jia
醋商陆,cu'shang'lu
醋香附,cu'xiang'fu
醋延胡索,cu'yan'hu'suo
大豆黄卷,da'dou'huang'juan
大腹皮,da'fu'pi
大黄,da'huang
大蓟,da'ji
大蓟炭,da'ji'tan
大青盐,da'qing'yan
大青叶,da'qing'ye
大蒜,da'suan
大血藤,da'xue'teng
大叶紫珠,da'ye'zi'zhu
大枣,da'zao
大皂角,da'zao'jiao
代代花,dai'dai'hua
玳瑁,dai'mao
淡豆豉,dan'dou'chi
胆南星,dan'nan'xing
丹参,dan'shen
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
当药,dang'yao
刀豆,dao'dou
稻芽,dao'ya
灯心草,deng'xin'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄,di'huang
地锦草,di'jin'cao
地龙,di'long
地榆,di'yu
地榆炭,di'yu'tan
滇鸡血藤,dian'ji'xue'teng
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁香,ding'xiang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬葵果,dong'kui'guo
冬凌草,dong'ling'cao
豆蔻,dou'kou
独活,du'huo
独一味,du'yi'wei
杜仲,du'zhong
杜仲叶,du'zhong'ye
煅赤石脂,duan'chi'shi'zhi
煅磁石,duan'ci'shi
锻蛤壳,duan'ge'ke
煅花蕊石,duan'hua'rui'shi
煅金礞石,duan'jin'meng'shi
煅炉甘石,duan'lu'gan'shi
