饼翻,bing'fan
挡家门,dang'jia'men
冻滚水,dong'gun'shui
发烂咋,fa'lan'za
发微梦,fa'wei'meng
飞发,fei'fa
肥腾腾,fei'teng'teng
粪箕铲,fen'ji'chan
梗係啦,geng'xi'la
好耍,hao'shua
核突,he'tu
剪头壳,jian'tou'ke
交关,jiao'guan
脚司头,jiao'si'tou
姣腾腾,jiao'teng'teng
空扇,kong'shan
淋牙香,lin'ya'xiang
落去耍,luo'qu'shua
咪觉,mi'jue
摩思陀,mo'si'tuo
拗爆,niu'bao
去街耍,qu'jie'shua
他条,ta'tiao
特登,te'deng
头先,tou'xian
吓到鼻哥窿都冇肉,xia'dao'bi'ge'long'dou'mao'rou
咸酸湿,xian'suan'shi
牙冤,ya'yuan
啱先,yan'xian
冤崩烂臭,yuan'beng'lan'chou
斩头鬼,zhan'tou'gui
真好耍,zhen'hao'shua
芝榄,zhi'lan
滞运,zhi'yun
专登,zhuan'deng
