阿鼻地狱,a'bi'di'yu
阿狗阿猫,a'gou'a'mao
阿姑阿翁,a'gu'a'weng
阿家阿翁,a'gu'a'weng
阿娇金屋,a'jiao'jin'wu
阿猫阿狗,a'mao'a'gou
阿毗地狱,a'pi'di'yu
阿平绝倒,a'ping'jue'dao
哀哀父母,ai'ai'fu'mu
爱人,ai'ren
矮子看戏,ai'zi'kan'xi
安家乐业,an'jia'le'ye
安乐窝,an'le'wo
暗送秋波,an'song'qiu'bo
八仙过海各显神通,ba'xian'guo'hai'ge'xian'shen'tong
八字没一撇,ba'zi'mei'yi'pie
败北,bai'bei
拜倒在石榴裙下,bai'dao'zai'shi'liu'qun'xia
白驹过隙,bai'ju'guo'xi
摆龙门阵,bai'long'men'zhen
百足之虫死而不僵,bai'zu'zhi'chong'si'er'bu'jiang
半部论语治天下,ban'bu'lun'yu'zhi'tian'xia
半截身子入土,ban'jie'shen'zi'ru'tu
半老徐娘,ban'lao'xu'niang
半面之效,ban'mian'zhi'xiao
饱汉不知饿汉饥,bao'han'bu'zhi'e'han'ji
闭门羹,bi'men'geng
比上不足比下有余,bi'shang'bu'zu'bi'xia'you'yu
彼一时此一时,bi'yi'shi'ci'yi'shi
鼻祖,bi'zu
别来无恙,bie'lai'wu'yang
别人牵牛我拔橛子,bie'ren'qian'niu'wo'ba'jue'zi
拨云见日,bo'yun'jian'ri
不打不成相识,bu'da'bu'cheng'xiang'shi
不到黄河心不死,bu'dao'huang'he'xin'bu'si
不敢越雷池一步,bu'gan'yue'lei'chi'yi'bu
不管三十二十一,bu'guan'san'shi'er'shi'yi
不见棺材不落泪,bu'jian'guan'cai'bu'luo'lei
不教一日闲过,bu'jiao'yi'ri'xian'guo
不看僧面看佛面,bu'kan'seng'mian'kan'fo'mian
不可同日而语,bu'ke'tong'ri'er'yu
不拉马的士兵,bu'la'ma'de'shi'bing
不耐烦,bu'nai'fan
不三不四,bu'san'bu'si
不食人间烟火,bu'shi'ren'jian'yan'huo
不为五斗米折腰,bu'wei'wu'dou'mi'zhe'yao
称王称霸,cheng'wang'cheng'ba
重睹天日,chong'du'tian'ri
垂范百世,chui'fan'bai'shi
词不达意,ci'bu'da'yi
窜端匿迹,cuan'duan'ni'ji
大才槃槃,da'cai'pan'pan
大公无私,da'gong'wu'si
大含细入,da'han'xi'ru
大好河山,da'hao'he'shan
大声疾呼,da'sheng'ji'hu
大相径庭,da'xiang'jing'ting
大有可观,da'you'ke'guan
代拆代行,dai'chai'dai'xing
胆大心粗,dan'da'xin'cu
丹凤朝阳,dan'feng'chao'yang
惮赫千里,dan'he'qian'li
担惊受怕,dan'jing'shou'pa
当耳边风,dang'er'bian'feng
倒背如流,dao'bei'ru'liu
倒持泰阿,dao'chi'tai'e
倒戈卸甲,dao'ge'xie'jia
岛瘦郊寒,dao'shou'jiao'han
悼心失图,dao'xin'shi'tu
登木求鱼,deng'mu'qiu'yu
堤溃蚁孔,di'kui'yi'kong
羝羊触藩,di'yang'chu'fan
电光朝露,dian'guang'zhao'lu
掂斤播两,dian'jin'bo'liang
点金乏术,dian'jin'fa'shu
刁斗森严,diao'dou'sen'yan
吊尔郎当,diao'er'lang'dang
洞察其奸,dong'cha'qi'jian
冻解冰释,dong'jie'bing'shi
东拉西扯,dong'la'xi'che
斗粟尺布,dou'su'chi'bu
斗折蛇行,dou'zhe'she'xing
独步当时,du'bu'dang'shi
妒能害贤,du'neng'hai'xian
独辟蹊径,du'pi'xi'jing
独善其身,du'shan'qi'shen
都头异姓,du'tou'yi'xing
黩武穷兵,du'wu'qiong'bing
短褐穿结,duan'he'chuan'jie
断头将军,duan'tou'jiang'jun
度德量力,duo'de'liang'li
夺门而出,duo'men'er'chu
阿党比周,e'dang'bi'zhou
阿党相为,e'dang'xiang'wei
扼喉抚背,e'hou'fu'bei
恶迹昭著,e'ji'zhao'zhu
扼吭夺食,e'keng'duo'shi
蛾眉皓齿,e'mei'hao'chi
阿弥陀佛,e'mi'tuo'fo
饿莩遍野,e'piao'bian'ye
阿其所好,e'qi'suo'hao
阿世盗名,e'shi'dao'ming
阿世媚俗,e'shi'mei'su
阿世取容,e'shi'qu'rong
阿时趋俗,e'shi'qu'su
讹言惑众,e'yan'huo'zhong
阿意取容,e'yi'qu'rong
阿谀谄媚,e'yu'chan'mei
阿谀奉承,e'yu'feng'cheng
阿谀逢迎,e'yu'feng'ying
阿谀取容,e'yu'qu'rong
尔虞我诈,er'yu'wo'zha
发人深省,fa'ren'shen'xing
浮白载笔,fu'bai'zai'bi
拊背扼喉,fu'bei'e'hou
父慈子孝,fu'ci'zi'xiao
伏低做小,fu'di'zuo'xiao
芙蓉并蒂,fu'rong'bing'di
蝮蛇螫手壮士解腕,fu'she'shi'shou'zhuang'shi'jie'wan
付之丙丁,fu'zhi'bing'ding
甘败下风,gan'bai'xia'feng
敢不承命,gan'bu'cheng'ming
肝肠寸断,gan'chang'cun'duan
干父之蛊,gan'fu'zhi'gu
刚愎自用,gang'bi'zi'yong
高材疾足,gao'cai'ji'zu
告贷无门,gao'dai'wu'men
高官显爵,gao'guan'xian'jue
告朔饩羊,gao'shuo'xi'yang
隔年皇历,ge'nian'huang'li
个中妙趣,ge'zhong'miao'qu
更长梦短,geng'chang'meng'duan
绠短汲深,geng'duan'ji'shen
功败垂成,gong'bai'chui'cheng
公报私仇,gong'bao'si'chou
弓调马服,gong'tiao'ma'fu
狗恶酒酸,gou'e'jiu'suan
勾魂摄魄,gou'hun'she'po
钩心斗角,gou'xin'dou'jiao
钩章棘句,gou'zhang'ji'ju
固步自封,gu'bu'zi'feng
故步自封,gu'bu'zi'feng
古道热肠,gu'dao're'chang
孤犊触乳,gu'du'chu'ru
股肱之力,gu'gong'zhi'li
谷贱伤农,gu'jian'shang'nong
孤立无援,gu'li'wu'yuan
孤鸾寡鹄,gu'luan'gua'hu
姑妄听之,gu'wang'ting'zhi
姑射神人,gu'ye'shen'ren
瓜瓞绵绵,gua'die'mian'mian
瓜田不纳履李下不整冠,gua'tian'bu'na'lv'li'xia'bu'zheng'guan
关东出相关西出将,guan'dong'chu'xiang'guan'xi'chu'jiang
鳏寡孤独,guan'gua'gu'du
观过知仁,guan'guo'zhi'ren
冠绝一时,guan'jue'yi'shi
诡变多端,gui'bian'duo'duan
佹得佹失,gui'de'gui'shi
贵耳贱目,gui'er'jian'mu
归根到底,gui'gen'dao'di
龟鹤遐寿,gui'he'xia'shou
龟冷支床,gui'leng'zhi'chuang
骇浪惊涛,hai'lang'jing'tao
海内存知己天涯若比邻,hai'nei'cun'zhi'ji'tian'ya'ruo'bi'lin
含苞待放,han'bao'dai'fang
邯郸学步,han'dan'xue'bu
汉官威仪,han'guan'wei'yi
行行出状元,hang'hang'chu'zhuang'yuan
毫不讳言,hao'bu'hui'yan
好吃懒做,hao'chi'lan'zuo
豪夺巧取,hao'duo'qiao'qu
好整以暇,hao'zheng'yi'xia
河东狮吼,he'dong'shi'hou
合而为一,he'er'wei'yi
何患无辞,he'huan'wu'ci
褐衣不完,he'yi'bu'wan
合从连衡,he'zong'lian'heng
横殃飞祸,heng'yang'fei'huo
轰动一时,hong'dong'yi'shi
哄动一时,hong'dong'yi'shi
宏图大志,hong'tu'da'zhi
弘毅宽厚,hong'yi'kuan'hou
后车之戒,hou'che'zhi'jie
后患无穷,hou'huan'wu'qiong
囫囵半片,hu'lun'ban'pian
虎落平川,hu'luo'ping'chuan
画饼充饥,hua'bing'chong'ji
华不再扬,hua'bu'zai'yang
华亭鹤唳,hua'ting'he'li
华屋秋墟,hua'wu'qiu'xu
划一不二,hua'yi'bu'er
花朝月夕,hua'zhao'yue'xi
怀宝迷邦,huai'bao'mi'bang
宦海风波,huan'hai'feng'bo
涣然冰释,huan'ran'bing'shi
皇皇不可终日,huang'huang'bu'ke'zhong'ri
荟萃一堂,hui'cui'yi'tang
灰飞烟灭,hui'fei'yan'mie
晦迹韬光,hui'ji'tao'guang
绘影绘声,hui'ying'hui'sheng
毁于一旦,hui'yu'yi'dan
魂不附体,hun'bu'fu'ti
混沌不分,hun'dun'bu'fen
浑身解数,hun'shen'xie'shu
混淆视听,hun'xiao'shi'ting
豁达大度,huo'da'da'du
活灵活现,huo'ling'huo'xian
祸兮福所倚福兮祸所伏,huo'xi'fu'suo'yi'fu'xi'huo'suo'fu
货真价实,huo'zhen'jia'shi
积案盈箱,ji'an'ying'xiang
激昂慷慨,ji'ang'kang'kai
及宾有鱼,ji'bin'you'yu
计不旋踵,ji'bu'xuan'zhong
掎裳连袂,ji'chang'lian'mei
计出万全,ji'chu'wan'quan
几次三番,ji'ci'san'fan
极而言之,ji'er'yan'zhi
疾风劲草,ji'feng'jing'cao
稷蜂社鼠,ji'feng'she'shu
击鼓鸣金,ji'gu'ming'jin
济寒赈贫,ji'han'zhen'pin
岌岌不可终日,ji'ji'bu'ke'zhong'ri
赍粮藉寇机变如神饥不择食,ji'liang'jie'kou'ji'bian'ru'shen'ji'bu'ze'shi
极目迥望,ji'mu'jiong'wang
鸡犬之声相闻老死不相往来,ji'quan'zhi'sheng'xiang'wen'lao'si'bu'xiang'wang'lai
虮虱相吊,ji'shi'xiang'diao
记问之学,ji'wen'zhi'xue
汲引忘疲,ji'yin'wang'pi
急景凋年,ji'ying'diao'nian
击中要害,ji'zhong'yao'hai
夹板医驼子,jia'ban'yi'tuo'zi
夹袋人物,jia'dai'ren'wu
家道从容,jia'dao'cong'rong
甲第连天,jia'di'lian'tian
佳儿佳妇,jia'er'jia'fu
加官进爵,jia'guan'jin'jue
嫁祸于人,jia'huo'yu'ren
家给民足,jia'ji'min'zu
戛戛独造,jia'jia'du'zao
价廉物美,jia'lian'wu'mei
驾轻就熟,jia'qing'jiu'shu
浃髓沦肤,jia'sui'lun'fu
驾雾腾云,jia'wu'teng'yun
见鞍思马,jian'an'si'ma
间不容发,jian'bu'rong'fa
尖担两头脱,jian'dan'liang'tou'tuo
见风是雨,jian'feng'shi'yu
见机而行,jian'ji'er'xing
肩摩毂击,jian'mo'gu'ji
僭赏滥刑,jian'shang'lan'xing
监守自盗,jian'shou'zi'dao
茧丝牛毛,jian'si'niu'mao
奸同鬼蜮行若狐鼠,jian'tong'gui'yu'xing'ruo'hu'shu
江东父老,jiang'dong'fu'lao
姜桂之性,jiang'gui'zhi'xing
将门虎子,jiang'men'hu'zi
郊寒岛瘦,jiao'han'dao'shou
叫苦不迭,jiao'ku'bu'die
胶柱调瑟,jiao'zhu'tiao'se
节哀顺变,jie'ai'shun'bian
桀骜不驯,jie'ao'bu'xun
皆大欢喜,jie'da'huan'xi
接二连三,jie'er'lian'san
劫富济贫,jie'fu'ji'pin
孑然一身,jie'ran'yi'shen
竭泽而渔,jie'ze'er'yu
金榜题名,jin'bang'ti'ming
今不如昔,jin'bu'ru'xi
紧打慢敲,jin'da'man'qiao
巾帼英雄,jin'guo'ying'xiong
金壶墨汁,jin'hu'mo'zhi
近火先焦,jin'huo'xian'jiao
斤斤计较,jin'jin'ji'jiao
进旅退旅,jin'lv'tui'lv
仅容旋马,jin'rong'xuan'ma
锦瑟年华,jin'se'nian'hua
进身之阶,jin'shen'zhi'jie
今是昨非,jin'shi'zuo'fei
进退无据,jin'tui'wu'ju
乐山乐水,le'shan'le'shui
列鼎而食,lie'ding'er'shi
临别赠言,lin'bie'zeng'yan
鳞次栉比,lin'ci'zhi'bi
令不虚行,ling'bu'xu'xing
陵谷变迁,ling'gu'bian'qian
玲珑剔透,ling'long'ti'tou
六出奇计,liu'chu'qi'ji
柳树上着刀桑树上出血,liu'shu'shang'zhao'dao'sang'shu'shang'chu'xue
陆海潘江,lu'hai'pan'jiang
乱弹琴,luan'tan'qin
洛阳纸贵,luo'yang'zhi'gui
络绎不绝,luo'yi'bu'jue
驴唇不对马嘴,lv'chun'bu'dui'ma'zui
慢藏诲盗,man'cang'hui'dao
盲人把烛,mang'ren'ba'zhu
每饭不忘,mei'fan'bu'wang
蒙混过关,meng'hun'guo'guan
蒙昧无知,meng'mei'wu'zhi
猛志常在,meng'zhi'chang'zai
密不通风,mi'bu'tong'feng
迷而不返,mi'er'bu'fan
弥缝其阙,mi'feng'qi'que
偭规越矩,mian'gui'yue'ju
免开尊口,mian'kai'zun'kou
绵里薄材,mian'li'bo'cai
民安物阜,min'an'wu'fu
名标青史,ming'biao'qing'shi
明察秋毫之末而不见舆薪,ming'cha'qiu'hao'zhi'mo'er'bu'jian'yu'xin
摩顶放踵,mo'ding'fang'zhong
摩肩击毂,mo'jian'ji'gu
模棱两可,mo'leng'liang'ke
莫名其妙,mo'ming'qi'miao
脉脉含情,mo'mo'han'qing
莫予毒也,mo'yu'du'ye
侔色揣称,mou'se'chuai'chen
沐猴而冠,mu'hou'er'guan
幕天席地,mu'tian'xi'di
拿刀动杖,na'dao'dong'zhang
难分难解,nan'fen'nan'jie
难兄难弟,nan'xiong'nan'di
内顾之忧,nei'gu'zhi'you
内省不疚,nei'xing'bu'jiu
匿迹销声,ni'ji'xiao'sheng
呢喃细语,ni'nan'xi'yu
你死我活,ni'si'wo'huo
年富力强,nian'fu'li'qiang
涅而不缁,nie'er'bu'zi
宁缺毋滥,ning'que'wu'lan
女长须嫁,nv'zhang'xu'jia
偶一为之,ou'yi'wei'zhi
徘徊歧路,pai'huai'qi'lu
旁见侧出,pang'jian'ce'chu
庞眉皓发,pang'mei'hao'fa
炮火连天,pao'huo'lian'tian
咆哮如雷,pao'xiao'ru'lei
朋比为奸,peng'bi'wei'jian
屁滚尿流,pi'gun'niao'liu
批红判白,pi'hong'pan'bai
否极泰来,pi'ji'tai'lai
皮开肉绽,pi'kai'rou'zhan
枇杷门巷,pi'pa'men'xiang
片甲不存,pian'jia'bu'cun
骈拇枝指,pian'mu'zhi'zhi
漂泊无定,piao'bo'wu'ding
凭几据杖,ping'ji'ju'zhang
迫不得已,po'bu'de'yi
仆仆风尘,pu'pu'feng'chen
弃暗投明,qi'an'tou'ming
七步之才,qi'bu'zhi'cai
奇才异能,qi'cai'yi'neng
气冲牛斗,qi'chong'niu'dou
棋逢对手,qi'feng'dui'shou
七横八竖,qi'heng'ba'shu
骐骥过隙,qi'ji'guo'xi
杞人忧天,qi'ren'you'tian
弃书捐剑,qi'shu'juan'jian
其味无穷,qi'wei'wu'qiong
岂有此理,qi'you'ci'li
千变万化,qian'bian'wan'hua
前不巴村后不巴店,qian'bu'ba'cun'hou'bu'ba'dian
牵肠挂肚,qian'chang'gua'du
铅刀一割,qian'dao'yi'ge
前赴后继,qian'fu'hou'ji
钱可通神,qian'ke'tong'shen
千言万语,qian'yan'wan'yu
强本节用,qiang'ben'jie'yong
将伯之呼,qiang'bo'zhi'hu
墙倒众人推,qiang'dao'zhong'ren'tui
桥归桥路归路,qiao'gui'qiao'lu'gui'lu
乔龙画虎,qiao'long'hua'hu
悄然无声,qiao'ran'wu'sheng
切齿腐心,qie'chi'fu'xin
怯防勇战,qie'fang'yong'zhan
钦差大臣,qin'chai'da'chen
琴断朱弦,qin'duan'zhu'xian
禽困覆车,qin'kun'fu'che
琴瑟调和,qin'se'tiao'he
轻才好施,qing'cai'hao'shi
倾肠倒肚,qing'chang'dao'du
倾耳而听,qing'er'er'ting
轻举妄动,qing'ju'wang'dong
轻如鸿毛,qing'ru'hong'mao
情见乎辞,qing'xian'hu'ci
清夜扪心,qing'ye'men'xin
茕茕孑立形影相吊,qiong'qiong'jie'li'xing'ying'xiang'diao
穷源竟委,qiong'yuan'jing'wei
丘山之功,qiu'shan'zhi'gong
囚首垢面,qiu'shou'gou'mian
秋月春风,qiu'yue'chun'feng
曲高和寡,qu'gao'he'gua
区区小事,qu'qu'xiao'shi
全功尽弃,quan'gong'jin'qi
权衡轻重,quan'heng'qing'zhong
全军覆没,quan'jun'fu'mo
犬牙交错,quan'ya'jiao'cuo
雀角鼠牙,que'jiao'shu'ya
裙带关系,qun'dai'guan'xi
热肠古道,re'chang'gu'dao
人给家足,ren'gei'jia'zu
人迹罕至,ren'ji'han'zhi
人生何处不相逢,ren'sheng'he'chu'bu'xiang'feng
人生如朝露,ren'sheng'ru'zhao'lu
人为财死鸟为食亡,ren'wei'cai'si'niao'wei'shi'wang
人心归向,ren'xin'gui'xiang
日出三竿,ri'chu'san'gan
日积月累,ri'ji'yue'lei
日久天长,ri'jiu'tian'chang
日省月试,ri'xing'yue'shi
日月蹉跎,ri'yue'cuo'tuo
日月参辰,ri'yue'shen'chen
戎马倥偬,rong'ma'kong'zong
如臂使指,ru'bi'shi'zhi
入木三分,ru'mu'san'fen
乳臭未干,ru'xiu'wei'gan
如影随形,ru'ying'sui'xing
三茶六饭,san'cha'liu'fan
三生有幸,san'sheng'you'xing
三省吾身,san'xing'wu'shen
三旨相公,san'zhi'xiang'gong
色厉内荏,se'li'nei'ren
杀敌致果,sha'di'zhi'guo
杀鸡骇猴,sha'ji'hai'hou
善罢干休,shan'ba'gan'xiu
芟繁就简,shan'fan'jiu'jian
删繁就简,shan'fan'jiu'jian
煽风点火,shan'feng'dian'huo
潸然泪下,shan'ran'lei'xia
山肴野蔌,shan'yao'ye'su
山陬海噬,shan'zou'hai'shi
上烝下报,shang'zheng'xia'bao
少不更事,shao'bu'geng'shi
少壮不努力老大徒伤悲,shao'zhuang'bu'nu'li'lao'da'tu'shang'bei
舌敝唇焦,she'bi'chun'jiao
舍己救人,she'ji'jiu'ren
设身处地,she'shen'chu'di
社威擅势,she'wei'shan'shi
神圣工巧,shen'sheng'gong'qiao
深恶痛疾,shen'wu'tong'ji
申冤吐气,shen'yuan'tu'qi
胜败乃兵家常事,sheng'bai'nai'bing'jia'chang'shi
胜残去杀,sheng'can'qu'sha
升山采珠,sheng'shan'cai'zhu
生死相依,sheng'si'xiang'yi
生死予夺,sheng'si'yu'duo
失败为成功之母,shi'bai'wei'cheng'gong'zhi'mu
十病九痛,shi'bing'jiu'tong
食不甘味,shi'bu'gan'wei
史不绝书,shi'bu'jue'shu
时不可失,shi'bu'ke'shi
诗肠鼓吹,shi'chang'gu'chui
师出无名,shi'chu'wu'ming
世道人心,shi'dao'ren'xin
识二五而不知十,shi'er'wu'er'bu'zhi'shi
尸横遍野,shi'heng'bian'ye
市井之臣,shi'jing'zhi'chen
矢口抵赖,shi'kou'di'lai
十里长亭,shi'li'chang'ting
田父献曝,tian'fu'xian'pu
挑拨离间,tiao'bo'li'jian
粜风卖雨,tiao'feng'mai'yu
调和鼎鼐,tiao'he'ding'nai
同病相怜,tong'bing'xiang'lian
同文共轨,tong'wen'gong'gui
头会箕敛,tou'hui'ji'lian
头没杯案,tou'mo'bei'an
投传而去,tou'zhuan'er'qu
图财害命,tu'cai'hai'ming
徒读父书,tu'du'fu'shu
兔起鹘落,tu'qi'hu'luo
图穷匕见,tu'qiong'bi'xian
囤积居奇,tun'ji'ju'qi
拖泥带水,tuo'ni'dai'shui
完美无疵,wan'mei'wu'ci
丸泥封关,wan'ni'feng'guan
万世流芳,wan'shi'liu'fang
宛转悠扬,wan'zhuan'you'yang
王顾左右而言他,wang'gu'zuo'you'er'yan'ta
网开一面,wang'kai'yi'mian
小本经营,xiao'ben'jing'ying
枵腹从公,xiao'fu'cong'gong
销魂夺魄,xiao'hun'duo'po
邪不压正,xie'bu'ya'zheng
卸磨杀驴,xie'mo'sha'lv
心安理得,xin'an'li'de
信口开合,xin'kou'kai'he
欣喜若狂,xin'xi'ruo'kuang
行动坐卧,xing'dong'zuo'wo
兴高采烈,xing'gao'cai'lie
杏脸桃腮,xing'lian'tao'sai
形色仓皇,xing'se'cang'huang
