阿达帕林凝胶,a'da'pa'lin'ning'jiao
阿德福韦酯片优贺丁,a'de'fu'wei'zhi'pian'you'he'ding
阿莫西林胶囊,a'mo'xi'lin'jiao'nang
阿莫西林克拉维酸钾分散片,a'mo'xi'lin'ke'la'wei'suan'jia'fen'san'pian
阿莫西林颗粒,a'mo'xi'lin'ke'li
阿奇霉素分散片,a'qi'mei'su'fen'san'pian
阿奇霉素干混悬剂,a'qi'mei'su'gan'hun'xuan'ji
阿奇霉素颗粒,a'qi'mei'su'ke'li
阿司匹林肠溶片,a'si'pi'lin'chang'rong'pian
阿托伐他汀钙胶囊,a'tuo'fa'ta'ting'gai'jiao'nang
阿昔洛韦分散片,a'xi'luo'wei'fen'san'pian
阿昔洛韦凝胶,a'xi'luo'wei'ning'jiao
阿昔洛韦片,a'xi'luo'wei'pian
阿昔洛韦乳膏,a'xi'luo'wei'ru'gao
艾附暖宫丸,ai'fu'nuan'gong'wan
氨茶碱缓释片,an'cha'jian'huan'shi'pian
氨碘肽滴眼液,an'dian'tai'di'yan'ye
安宫降压丸,an'gong'jiang'ya'wan
安络痛片,an'luo'tong'pian
安神补脑液,an'shen'bu'nao'ye
氨糖美辛肠溶片,an'tang'mei'xin'chang'rong'pian
氨溴特罗口服溶液易坦静,an'xiu'te'luo'kou'fu'rong'ye'yi'tan'jing
奥美拉唑肠溶胶囊,ao'mei'la'zuo'chang'rong'jiao'nang
奥美拉唑肠溶片,ao'mei'la'zuo'chang'rong'pian
奥沙普秦分散片,ao'sha'pu'qin'fen'san'pian
奥硝唑片,ao'xiao'zuo'pian
拔毒膏,ba'du'gao
八珍益母片,ba'zhen'yi'mu'pian
八珍益母丸,ba'zhen'yi'mu'wan
百合固金片,bai'he'gu'jin'pian
百合固金丸,bai'he'gu'jin'wan
百癣夏塔热片,bai'xuan'xia'ta're'pian
柏子养心丸,bai'zi'yang'xin'wan
板蓝根颗粒,ban'lan'gen'ke'li
保妇康栓,bao'fu'kang'shuan
保和丸,bao'he'wan
宝咳宁颗粒,bao'ke'ning'ke'li
保胎灵,bao'tai'ling
苯磺酸氨氯地平片,ben'huang'suan'an'lv'di'ping'pian
苯磺酸左旋氨氯地平片,ben'huang'suan'zuo'xuan'an'lv'di'ping'pian
比沙可啶肠溶片,bi'sha'ke'ding'chang'rong'pian
痹痛宁胶囊,bi'tong'ning'jiao'nang
苄达赖氨酸滴眼液,bian'da'lai'an'suan'di'yan'ye
槟榔四消丸,bing'lang'si'xiao'wan
冰硼散,bing'peng'san
补金片,bu'jin'pian
布洛芬缓释胶囊,bu'luo'fen'huan'shi'jiao'nang
布洛芬混悬液,bu'luo'fen'hun'xuan'ye
布洛芬颗粒,bu'luo'fen'ke'li
布洛芬片,bu'luo'fen'pian
补肾强身片,bu'shen'qiang'shen'pian
补肾益脑胶囊,bu'shen'yi'nao'jiao'nang
补中益气丸,bu'zhong'yi'qi'wan
参皇软膏,can'huang'ruan'gao
参梅养胃颗粒,can'mei'yang'wei'ke'li
苍耳子鼻炎胶囊,cang'er'zi'bi'yan'jiao'nang
茶碱缓释片,cha'jian'huan'shi'pian
柴胡舒肝丸,chai'hu'shu'gan'wan
柴胡镇咳片,chai'hu'zhen'ke'pian
产妇安颗粒,chan'fu'an'ke'li
长春西汀片,chang'chun'xi'ting'pian
肠康片,chang'kang'pian
肠胃宁片,chang'wei'ning'pian
肠胃宁片蓝,chang'wei'ning'pian'lan
肠炎宁片,chang'yan'ning'pian
齿痛消炎灵颗粒,chi'tong'xiao'yan'ling'ke'li
除湿白带丸,chu'shi'bai'dai'wan
除脂生发片,chu'zhi'sheng'fa'pian
