白金针,bai'jin'zhen
百页,bai'ye
板豆腐,ban'dou'fu
草菇,cao'gu
茶树菇,cha'shu'gu
长豆,chang'dou
冬瓜,dong'gua
豆付干,dou'fu'gan
方豆腐,fang'dou'fu
海鲜菇,hai'xian'gu
红椒,hong'jiao
花菜,hua'cai
茭白,jiao'bai
韭菜,jiu'cai
韭花,jiu'hua
韭黄,jiu'huang
酒酿,jiu'niang
老黄瓜,lao'huang'gua
芦笋,lu'sun
绿豆芽,lv'dou'ya
毛豆结,mao'dou'jie
面筋,mian'jin
千张,qian'zhang
青海带,qing'hai'dai
日本南瓜,ri'ben'nan'gua
山药,shan'yao
生菜,sheng'cai
生姜,sheng'jiang
蒜苗,suan'miao
蒜子,suan'zi
茼蒿,tong'hao
香菜,xiang'cai
小豆芽,xiao'dou'ya
小青椒,xiao'qing'jiao
秀珍菇,xiu'zhen'gu
洋葱,yang'cong
油面筋,you'mian'jin
芸豆,yun'dou
