安定,an'ding
巴郡,ba'jun
巴西,ba'xi
白帝城,bai'di'cheng
白虎甲,bai'hu'jia
白马津,bai'ma'jin
绊马索,ban'ma'suo
鲍隆,bao'long
北地,bei'di
北洞,bei'dong
北海,bei'hai
北平,bei'ping
碧血玉,bi'xue'yu
兵法篇,bing'fa'pian
并州,bing'zhou
博爱,bo'ai
般若经,bo're'jing
波斯马,bo'si'ma
博望坡,bo'wang'po
蔡文姬,cai'wen'ji
蔡勋,cai'xun
仓城,cang'cheng
苍天破,cang'tian'po
曹操,cao'cao
曹城,cao'cheng
曹洪,cao'hong
曹丕,cao'pi
曹仁,cao'ren
曹睿,cao'rui
曹爽,cao'shuang
曹县,cao'xian
曹性,cao'xing
曹彰,cao'zhang
曹真,cao'zhen
曹植,cao'zhi
柴桑,chai'sang
长安,chang'an
长板坡,chang'ban'po
长剑,chang'jian
长垣,chang'yuan
朝歌,chao'ge
彻里吉,che'li'ji
陈仓,chen'cang
陈到,chen'dao
陈登,chen'deng
陈宫,chen'gong
陈圭,chen'gui
陈横,chen'heng
陈矫,chen'jiao
陈琳,chen'lin
陈留,chen'liu
陈群,chen'qun
陈武,chen'wu
成都,cheng'du
成皋,cheng'gao
城固,cheng'gu
成固,cheng'gu
程普,cheng'pu
程银,cheng'yin
程昱,cheng'yu
赤壁,chi'bi
赤谷,chi'gu
赤兔,chi'tu
赤血玉,chi'xue'yu
蚩尤,chi'you
蚩尤甲,chi'you'jia
初级兵法,chu'ji'bing'fa
大斧,da'fu
妲己,da'ji
大梁,da'liang
大乔,da'qiao
大散关,da'san'guan
大宛马,da'wan'ma
大悟,da'wu
大学,da'xue
带来洞主,dai'lai'dong'zhu
当阳,dang'yang
刀兵,dao'bing
道德经,dao'de'jing
的卢,de'lu
德阳亭,de'yang'ting
邓艾,deng'ai
邓芝,deng'zhi
棣城,di'cheng
狄道,di'dao
地公大将,di'gong'da'jiang
地公副将,di'gong'fu'jiang
地公军师,di'gong'jun'shi
地公偏将,di'gong'pian'jiang
荻嘉,di'jia
帝释甲,di'shi'jia
典韦,dian'wei
貂蝉,diao'chan
丁奉,ding'feng
董承,dong'cheng
东莞,dong'guan
东海,dong'hai
董和,dong'he
东郡,dong'jun
董荼那,dong'tu'na
董卓,dong'zhuo
兌州,dui'zhou
敦煌,dun'huang
遁甲天书,dun'jia'tian'shu
朵思大王,duo'si'da'wang
鄂焕,e'huan
法正,fa'zheng
樊城,fan'cheng
樊稠,fan'chou
樊口,fan'kou
范阳,fan'yang
方天画戟,fang'tian'hua'ji
肥东,fei'dong
飞马弓,fei'ma'gong
费诗,fei'shi
费玮,fei'wei
肥西,fei'xi
凤麟甲,feng'lin'jia
封丘,feng'qiu
风影靴,feng'ying'xue
佛血玉,fo'xue'yu
涪城,fu'cheng
扶风,fu'feng
傅士仁,fu'shi'ren
伏牺龙鼓,fu'xi'long'gu
干將,gan'jiang
甘宁,gan'ning
高昌,gao'chang
高昌百夫长,gao'chang'bai'fu'zhang
高昌国师,gao'chang'guo'shi
高昌千夫长,gao'chang'qian'fu'chang
高昌万夫长,gao'chang'wan'fu'chang
高昌王,gao'chang'wang
高昌元帅,gao'chang'yuan'shuai
高都,gao'du
高干,gao'gan
高览,gao'lan
高顺,gao'shun
高翔,gao'xiang
高邑,gao'yi
龚都,gong'dou
公孙度,gong'sun'du
公孙范,gong'sun'fan
公孙恭,gong'sun'gong
公孙康,gong'sun'kang
公孙续,gong'sun'xu
公孙渊,gong'sun'yuan
公孙越,gong'sun'yue
公孙瓒,gong'sun'zan
共县,gong'xian
巩志,gong'zhi
故市,gu'shi
顾雍,gu'yong
关城,guan'cheng
官渡,guan'du
管亥,guan'hai
关平,guan'ping
关索,guan'suo
关统,guan'tong
关兴,guan'xing
关羽,guan'yu
广汉,guang'han
鬼谷兵法,gui'gu'bing'fa
郭嘉,guo'jia
郭汜,guo'si
郭图,guo'tu
郭攸之,guo'you'zhi
郭准,guo'zhun
韩当,han'dang
韩馥,han'fu
韩浩,han'hao
汉书,han'shu
韩嵩,han'song
韩遂,han'sui
韩暹,han'xian
韩信,han'xin
韩玄,han'xuan
韩忠,han'zhong
汉中,han'zhong
皓月钩,hao'yue'gou
郝昭,hao'zhao
河东,he'dong
合肥,he'fei
河间,he'jian
合江,he'jiang
赫连夜姬,he'lian'ye'ji
河内,he'nei
贺齐,he'qi
和氏壁,he'shi'bi
和县,he'xian
河阳,he'yang
何仪,he'yi
红景天,hong'jing'tian
胡班,hu'ban
胡车儿,hu'che'er
壶关,hu'guan
虎牢关,hu'lao'guan
华容,hua'rong
华佗,hua'tuo
华雄,hua'xiong
桓范,huan'fan
幻龙驹,huan'long'ju
皇帝,huang'di
皇甫嵩,huang'fu'song
黄盖,huang'gai
黄皓,huang'hao
皇龙玺,huang'long'xi
黄权,huang'quan
黄石兵法,huang'shi'bing'fa
黄月英,huang'yue'ying
黄爪飞电,huang'zhao'fei'dian
黄忠,huang'zhong
黄忠弓,huang'zhong'gong
黄祖,huang'zu
霍峻,huo'jun
火龙甲,huo'long'jia
火麒麟,huo'qi'lin
纪灵,ji'ling
济阳,ji'yang
济源,ji'yuan
冀州,ji'zhou
贾充,jia'chong
贾范,jia'fan
贾诩,jia'xu
剑阁,jian'ge
建业,jian'ye
简雍,jian'yong
蒋干,jiang'gan
蒋钦,jiang'qin
姜太公,jiang'tai'gong
蒋琬,jiang'wan
姜维,jiang'wei
江夏,jiang'xia
江阳,jiang'yang
蒋义渠,jiang'yi'qu
江油,jiang'you
将苑,jiang'yuan
角城,jiao'cheng
交州,jiao'zhou
街亭,jie'ting
金刚经,jin'gang'jing
金环三结,jin'huan'san'jie
金龙玺,jin'long'xi
金猊剑甲,jin'ni'jian'jia
金旋,jin'xuan
晋阳,jin'yang
晶血玉,jing'xue'yu
荆州,jing'zhou
酒泉,jiu'quan
居巢,ju'chao
巨鹿,ju'lu
沮授,ju'shou
卷县,juan'xian
绝影,jue'ying
军志,jun'zhi
阚泽,kan'ze
孔明灯,kong'ming'deng
孔融,kong'rong
蒯良,kuai'liang
蒯越,kuai'yue
昆吾剑,kun'wu'jian
来安,lai'an
蓝血玉,lan'xue'yu
琅邪,lang'xie
狼牙甲,lang'ya'jia
乐进,le'jin
乐陵,le'ling
雷薄,lei'bao
雷麒麟,lei'qi'lin
雷铜,lei'tong
冷月刀,leng'yue'dao
李典,li'dian
李恢,li'hui
礼记,li'ji
李傕,li'jue
李牧,li'mu
李儒,li'ru
李斯,li'si
李肃,li'su
郦县,li'xian
李严,li'yan
黎阳,li'yang
李异,li'yi
梁兴,liang'xing
涼州,liang'zhou
廖化,liao'hua
瞭望塔,liao'wang'ta
临城,lin'cheng
临汾,lin'fen
临江,lin'jiang
凌波秘卷,ling'bo'mi'juan
凌操,ling'cao
凌统,ling'tong
令夷,ling'yi
刘备,liu'bei
刘表,liu'biao
刘琮,liu'cong
刘岱,liu'dai
刘封,liu'feng
刘辟,liu'pi
刘琦,liu'qi
刘禅,liu'shan
六韬,liu'tao
刘繇,liu'yao
刘璋,liu'zhang
龙灵石,long'ling'shi
龙麒麟,long'qi'lin
龙泉剑,long'quan'jian
龙纹马,long'wen'ma
陇西,long'xi
陆绩,lu'ji
庐江,lu'jiang
鲁肃,lu'su
陆逊,lu'xun
卢植,lu'zhi
论语孟子,lun'yu'meng'zi
骆统,luo'tong
洛阳,luo'yang
吕布,lv'bu
吕范,lv'fan
吕凯,lv'kai
吕旷,lv'kuang
吕蒙,lv'meng
吕氏春秋,lv'shi'chun'qiu
吕翔,lv'xiang
吕义,lv'yi
马超,ma'chao
马岱,ma'dai
马良,ma'liang
马谡,ma'su
马腾,ma'teng
马铁,ma'tie
马玩,ma'wan
马休,ma'xiu
马元义,ma'yuan'yi
马云绿,ma'yun'lv
马忠,ma'zhong
满宠,man'chong
蛮族兵符,man'zu'bing'fu
忙牙长,mang'ya'chang
毛介,mao'jie
猫眼石,mao'yan'shi
孟达,meng'da
孟德新书,meng'de'xin'shu
蒙古马,meng'gu'ma
孟获,meng'huo
孟津,meng'jin
梦陵,meng'ling
蒙恬,meng'tian
蒙县,meng'xian
孟优,meng'you
迷当大王,mi'dang'da'wang
糜芳,mi'fang
弥衡,mi'heng
糜竺,mi'zhu
棉竹关,mian'zhu'guan
墨书,mo'shu
莫邪,mo'ye
木甲,mu'jia
木鹿大王,mu'lu'da'wang
木牛流马,mu'niu'liu'ma
南安,nan'an
南湖,nan'hu
南华老仙,nan'hua'lao'xian
南郡,nan'jun
南皮,nan'pi
南武阳,nan'wu'yang
南乡,nan'xiang
南阳,nan'yang
牛金,niu'jin
女娲针,nv'wa'zhen
潘凤,pan'feng
蟠龙方壶,pan'long'fang'hu
潘璋,pan'zhang
庞德,pang'de
庞统,pang'tong
彭城,peng'cheng
皮甲,pi'jia
平皋,ping'gao
平阳,ping'yang
平原,ping'yuan
蒲版,pu'ban
普静,pu'jing
骑兵,qi'bing
七星刀,qi'xing'dao
犍为,qian'wei
千阳,qian'yang
羌百夫长,qiang'bai'fu'zhang
羌千夫长,qiang'qian'fu'chang
羌万夫长,qiang'wan'fu'chang
谯周,qiao'zhou
秦宓,qin'mi
清河,qing'he
青虹剑,qing'hong'jian
青龙甲,qing'long'jia
青龙郾月刀,qing'long'yan'yue'dao
青囊书,qing'nang'shu
青州,qing'zhou
龟兹,qiu'ci
龟兹百夫长,qiu'ci'bai'fu'zhang
龟兹国师,qiu'ci'guo'shi
龟兹千夫长,qiu'ci'qian'fu'chang
龟兹万夫长,qiu'ci'wan'fu'chang
龟兹王,qiu'ci'wang
龟兹元帅,qiu'ci'yuan'shuai
全琮,quan'cong
人公大将,ren'gong'da'jiang
人公副将,ren'gong'fu'jiang
人公军师,ren'gong'jun'shi
人公偏将,ren'gong'pian'jiang
日幻晶,ri'huan'jing
日仙玉,ri'xian'yu
日妖石,ri'yao'shi
汝南,ru'nan
汝山,ru'shan
濡须,ru'xu
三略,san'lue
沙摩柯,sha'mo'ke
山阳,shan'yang
上艾,shang'ai
上蔡,shang'cai
上党,shang'dang
上邽,shang'gui
上庸,shang'yong
蛇矛,she'mao
审配,shen'pei
史记,shi'ji
诗经,shi'jing
寿春,shou'chun
疏勒,shu'le
疏勒百夫长,shu'le'bai'fu'zhang
疏勒国师,shu'le'guo'shi
疏勒千夫长,shu'le'qian'fu'chang
疏勒万夫长,shu'le'wan'fu'chang
疏勒王,shu'le'wang
疏勒元帅,shu'le'yuan'shuai
舒县,shu'xian
双股剑,shuang'gu'jian
水麒麟,shui'qi'lin
司马法,si'ma'fa
司马师,si'ma'shi
司马炎,si'ma'yan
司马懿,si'ma'yi
司马昭,si'ma'zhao
司州,si'zhou
苏飞,su'fei
速攻虎符,su'gong'hu'fu
苏秦,su'qin
酸枣,suan'zao
随县,sui'xian
孙宾,sun'bin
孙策,sun'ce
孙干,sun'gan
孙皓,sun'hao
孙桓,sun'huan
孙坚,sun'jian
孙礼,sun'li
孙权,sun'quan
孙尚香,sun'shang'xiang
孙韶,sun'shao
孙仲,sun'zhong
孙子兵法,sun'zi'bing'fa
蹋顿,ta'dun
太公秘卷,tai'gong'mi'juan
太行,tai'hang
太平,tai'ping
太平清领道,tai'ping'qing'ling'dao
太平要术,tai'ping'yao'shu
太史慈,tai'shi'ci
谭雄,tan'xiong
陶谦,tao'qian
桃水,tao'shui
田畴,tian'chou
田丰,tian'feng
天公大将,tian'gong'da'jiang
天公副将,tian'gong'fu'jiang
天公军师,tian'gong'jun'shi
天公偏将,tian'gong'pian'jiang
田楷,tian'kai
天龙玺,tian'long'xi
天水,tian'shui
铁甲,tie'jia
桐柏,tong'bai
潼关,tong'guan
铜狮甲,tong'shi'jia
桐乡,tong'xiang
屯留,tun'liu
皖城,wan'cheng
王粲,wang'can
王甫,wang'fu
王基,wang'ji
王浚,wang'jun
王匡,wang'kuang
王朗,wang'lang
王累,wang'lei
王莽手扎,wang'mang'shou'zha
王平,wang'ping
王双,wang'shuang
王修,wang'xiu
王允,wang'yun
魏公子兵法,wei'gong'zi'bing'fa
尉僚子兵法,wei'liao'zi'bing'fa
维摩经,wei'mo'jing
魏兴,wei'xing
魏续,wei'xu
魏延,wei'yan
文丑,wen'chou
文聘,wen'pin
文钦,wen'qin
文王鼎,wen'wang'ding
文鸯,wen'yang
卧龙秘卷,wo'long'mi'juan
卧龙羽,wo'long'yu
倭奴大将,wo'nu'da'jiang
倭奴大夫,wo'nu'dai'fu
倭奴副将,wo'nu'fu'jiang
倭奴国师,wo'nu'guo'shi
倭奴偏将,wo'nu'pian'jiang
倭奴王,wo'nu'wang
倭奴元帅,wo'nu'yuan'shuai
吴班,wu'ban
乌巢,wu'chao
武都,wu'du
武关,wu'guan
吴兰,wu'lan
乌林,wu'lin
武陵,wu'ling
武清,wu'qing
毋丘俭,wu'qiu'jian
武山,wu'shan
兀突骨,wu'tu'gu
武威,wu'wei
巫县,wu'xian
吴懿,wu'yi
舞原,wu'yuan
五丈原,wu'zhang'yuan
吴子兵法,wu'zi'bing'fa
西海,xi'hai
西陵,xi'ling
西平,xi'ping
西施,xi'shi
析县,xi'xian
西云,xi'yun
夏侯霸,xia'hou'ba
夏侯淳,xia'hou'chun
夏侯德,xia'hou'de
夏侯和,xia'hou'he
夏侯惠,xia'hou'hui
夏候懋,xia'hou'mao
夏侯尚,xia'hou'shang
夏侯玄,xia'hou'xuan
夏侯渊,xia'hou'yuan
夏口,xia'kou
向宠,xiang'chong
向朗,xiang'lang
襄阳,xiang'yang
襄邑,xiang'yi
小乔,xiao'qiao
新都,xin'du
辛毗,xin'pi
新平,xin'ping
信阳,xin'yang
新野,xin'ye
邢道荣,xing'dao'rong
星幻晶,xing'huan'jing
星仙玉,xing'xian'yu
星妖石,xing'yao'shi
匈奴百夫长,xiong'nu'bai'fu'zhang
匈奴国师,xiong'nu'guo'shi
匈奴千夫长,xiong'nu'qian'fu'chang
匈奴万夫长,xiong'nu'wan'fu'chang
匈奴王,xiong'nu'wang
匈奴元帅,xiong'nu'yuan'shuai
修武,xiu'wu
许昌,xu'chang
许贡,xu'gong
徐晃,xu'huang
许靖,xu'jing
徐盛,xu'sheng
徐庶,xu'shu
许攸,xu'you
徐州,xu'zhou
许褚,xu'zhu
玄武甲,xuan'wu'jia
轩辕旗,xuan'yuan'qi
雪鸿,xue'hong
荀或,xun'huo
荀攸,xun'you
雅丹,ya'dan
炎帝甲,yan'di'jia
延津,yan'jin
颜良,yan'liang
雁门关,yan'men'guan
阎圃,yan'pu
偃师,yan'shi
燕县,yan'xian
严颜,yan'yan
严政,yan'zheng
阳城,yang'cheng
杨奉,yang'feng
羊祜,yang'hu
阳平,yang'ping
阳平关,yang'ping'guan
杨秋,yang'qiu
阳泉,yang'quan
阳武,yang'wu
杨修,yang'xiu
杨仪,yang'yi
扬州,yang'zhou
妖刀,yao'dao
野王,ye'wang
伊籍,yi'ji
易经,yi'jing
倚天剑,yi'tian'jian
益州,yi'zhou
银龙玺,yin'long'xi
尹默,yin'mo
永安,yong'an
雍州,yong'zhou
幽州,you'zhou
鱼肠剑,yu'chang'jian
虞翻,yu'fan
玉花骢,yu'hua'cong
玉甲,yu'jia
于禁,yu'jin
玉龙玺,yu'long'xi
御马鞍,yu'ma'an
玉门关,yu'men'guan
于诠,yu'quan
豫州,yu'zhou
玉追,yu'zhui
远化,yuan'hua
袁尚,yuan'shang
袁绍,yuan'shao
袁术,yuan'shu
袁谭,yuan'tan
原武,yuan'wu
袁熙,yuan'xi
袁胤,yuan'yin
月幻晶,yue'huan'jing
越吉,yue'ji
月仙玉,yue'xian'yu
月妖石,yue'yao'shi
越影马,yue'ying'ma
云东,yun'dong
云梦,yun'meng
云麒麟,yun'qi'lin
臧霸,zang'ba
笮融,ze'rong
战国策,zhan'guo'ce
战神旗,zhan'shen'qi
张苞,zhang'bao
张宝,zhang'bao
张飞,zhang'fei
张合,zhang'he
张弘,zhang'hong
张角,zhang'jiao
张梁,zhang'liang
张辽,zhang'liao
张鲁,zhang'lu
张任,zhang'ren
张松,zhang'song
张卫,zhang'wei
张休,zhang'xiu
张绣,zhang'xiu
张燕,zhang'yan
张掖,zhang'ye
张嶷,zhang'yi
张英,zhang'ying
张允,zhang'yun
张昭,zhang'zhao
赵弘,zhao'hong
赵统,zhao'tong
赵云,zhao'yun
真定,zhen'ding
镇龙珠,zhen'long'zhu
甄宓,zhen'mi
郑州,zheng'zhou
智慧果,zhi'hui'guo
锺会,zhong'hui
中牟,zhong'mu
中丘,zhong'qiu
锺繇,zhong'yao
中庸,zhong'yong
周仓,zhou'cang
周史,zhou'shi
周泰,zhou'tai
周瑜,zhou'yu
朱处,zhu'chu
诸葛诞,zhu'ge'dan
诸葛瑾,zhu'ge'jin
诸葛均,zhu'ge'jun
诸葛恪,zhu'ge'ke
诸葛亮,zhu'ge'liang
诸葛神算,zhu'ge'shen'suan
