爱星,ai'xing
暗带,an'dai
暗拱,an'gong
败财,bai'cai
败地,bai'di
白虎,bai'hu
白蜡金,bai'la'jin
半拱,ban'gong
半合,ban'he
绊合,ban'he
帮身,bang'shen
本气,ben'qi
本柱,ben'zhu
比肩,bi'jian
壁上土,bi'shang'tu
比助,bi'zhu
丙辰,bing'chen
丙辰丁巳沙中土,bing'chen'ding'si'sha'zhong'tu
病地,bing'di
丙丁大耗死神游,bing'ding'da'hao'si'shen'you
丙丁猪鸡位,bing'ding'zhu'ji'wei
丙火,bing'huo
兵刃刀伤,bing'ren'dao'shang
丙申,bing'shen
丙申丁酉山下火,bing'shen'ding'you'shan'xia'huo
丙午,bing'wu
丙戊病在申,bing'wu'bing'zai'shen
丙戊长生在寅,bing'wu'chang'sheng'zai'yin
丙戊帝旺在午,bing'wu'di'wang'zai'wu
丙午丁未天河水,bing'wu'ding'wei'tian'he'shui
丙戊冠带在辰,bing'wu'guan'dai'zai'chen
丙戊绝在亥,bing'wu'jue'zai'hai
丙戊临官在巳,bing'wu'lin'guan'zai'si
丙戊沐浴在卯,bing'wu'mu'yu'zai'mao
丙戊墓在戌,bing'wu'mu'zai'xu
丙戊申宫丁己鸡,bing'wu'shen'gong'ding'ji'ji
丙戊衰在未,bing'wu'shuai'zai'wei
丙戊死在酉,bing'wu'si'zai'you
丙戊胎在子,bing'wu'tai'zai'zi
丙戊养在丑,bing'wu'yang'zai'chou
丙戊乙,bing'wu'yi
丙辛庚寅上,bing'xin'geng'yin'shang
丙辛合,bing'xin'he
丙辛合化壬水,bing'xin'he'hua'ren'shui
丙辛寅申七,bing'xin'yin'shen'qi
丙辛迎戊会,bing'xin'ying'wu'hui
丙戌,bing'xu
丙戌丁亥屋上土,bing'xu'ding'hai'wu'shang'tu
丙寅,bing'yin
丙寅丁卯炉中火,bing'yin'ding'mao'lu'zhong'huo
丙子,bing'zi
丙子丁丑涧下水,bing'zi'ding'chou'jian'xia'shui
财官,cai'guan
财官印比商,cai'guan'yin'bi'shang
财运,cai'yun
钗钏金,chai'chuan'jin
长流水,chang'liu'shui
长生,chang'sheng
长生七个喜非常,chang'sheng'qi'ge'xi'fei'chang
长生星,chang'sheng'xing
长生在子,chang'sheng'zai'zi
车祸,che'huo
辰藏戊乙癸,chen'cang'wu'yi'gui
辰土,chen'tu
辰戌,chen'xu
辰酉合,chen'you'he
辰酉合化辛金,chen'you'he'hua'xin'jin
城头土,cheng'tou'tu
冲败煞,chong'bai'sha
冲合会刑穿,chong'he'hui'xing'chuan
冲律煞,chong'lv'sha
丑藏己癸辛,chou'cang'ji'gui'xin
丑土,chou'tu
丑未,chou'wei
仇星,chou'xing
触电,chu'dian
错宫,cuo'gong
错卦,cuo'gua
大海水,da'hai'shui
大耗,da'hao
大林木,da'lin'mu
大溪水,da'xi'shui
大驿土,da'yi'tu
大运,da'yun
盜泄,dao'xie
得令,de'ling
滴天髓,di'tian'sui
帝旺,di'wang
帝旺五子志昂扬,di'wang'wu'zi'zhi'ang'yang
帝旺星,di'wang'xing
地支,di'zhi
地支合化,di'zhi'he'hua
丁丑,ding'chou
丁亥,ding'hai
丁火,ding'huo
丁己病在卯,ding'ji'bing'zai'mao
丁己长生在酉,ding'ji'chang'sheng'zai'you
丁己帝旺在,ding'ji'di'wang'zai
丁己庚,ding'ji'geng
丁己冠带在未,ding'ji'guan'dai'zai'wei
丁己绝在子,ding'ji'jue'zai'zi
丁己临官在午,ding'ji'lin'guan'zai'wu
丁己沐浴在申,ding'ji'mu'yu'zai'shen
丁己墓在丑,ding'ji'mu'zai'chou
丁己衰在辰,ding'ji'shuai'zai'chen
丁己死在寅,ding'ji'si'zai'yin
丁己胎亥,ding'ji'tai'hai
丁己养在戌,ding'ji'yang'zai'xu
丁卯,ding'mao
丁壬合,ding'ren'he
丁壬合化甲木,ding'ren'he'hua'jia'mu
丁壬卯酉六,ding'ren'mao'you'liu
丁壬盼庚归,ding'ren'pan'geng'gui
丁壬壬寅流,ding'ren'ren'yin'liu
丁巳,ding'si
丁未,ding'wei
丁酉,ding'you
动静,dong'jing
断语,duan'yu
兑宫,dui'gong
兑卦,dui'gua
恩星,en'xing
二煞异,er'sha'yi
二星异,er'xing'yi
方局,fang'ju
飞刃,fei'ren
逢冲,feng'chong
风水,feng'shui
覆灯火,fu'deng'huo
福禄星,fu'lu'xing
父母,fu'mu
干支,gan'zhi
格局,ge'ju
艮宫,gen'gong
艮卦,gen'gua
庚病在亥,geng'bing'zai'hai
庚长生在巳,geng'chang'sheng'zai'si
庚辰,geng'chen
庚辰辛巳白蜡金,geng'chen'xin'si'bai'la'jin
庚帝旺在酉,geng'di'wang'zai'you
庚丁己,geng'ding'ji
庚冠带在未,geng'guan'dai'zai'wei
庚金,geng'jin
庚绝在寅,geng'jue'zai'yin
庚临官在申,geng'lin'guan'zai'shen
庚沐浴在午,geng'mu'yu'zai'wu
庚墓在丑,geng'mu'zai'chou
庚申,geng'shen
庚申辛酉石榴木,geng'shen'xin'you'shi'liu'mu
庚衰在戌,geng'shuai'zai'xu
庚死在子,geng'si'zai'zi
庚胎在卯,geng'tai'zai'mao
庚午,geng'wu
