阿穆,a'mu
艾尼瓦尔江,ai'ni'wa'er'jiang
蔡思涛,cai'si'tao
曾文瀚,ceng'wen'han
长沙唱区,chang'sha'chang'qu
陈楚生,chen'chu'sheng
陈石,chen'shi
成都唱区,cheng'du'chang'qu
程堃,cheng'kun
邓安奇,deng'an'qi
邓超,deng'chao
方勃焱,fang'bo'yan
高琎,gao'jin
高炜,gao'wei
高扬,gao'yang
龚格尔,gong'ge'er
关啟祥,guan'qi'xiang
广州唱区,guang'zhou'chang'qu
郭彪,guo'biao
湖南卫视,hu'nan'wei'shi
吉杰,ji'jie
济南唱区,ji'nan'chang'qu
快乐男声,kuai'le'nan'sheng
李力,li'li
李林,li'lin
李茂,li'mao
梁齐,liang'qi
刘令飞,liu'ling'fei
刘雨潼,liu'yu'tong
刘洲成,liu'zhou'cheng
陆虎,lu'hu
罗杰,luo'jie
罗凯楠,luo'kai'nan
马雪阳,ma'xue'yang
南京唱区,nan'jing'chang'qu
平安,ping'an
琪,qi
沈星瑜,shen'xing'yu
苏,su
孙晓亮,sun'xiao'liang
索,suo
汤群,tang'qun
王灿,wang'can
王晰,wang'xi
王栎鑫,wang'yue'xin
王铮亮,wang'zheng'liang
魏晨,wei'chen
翁航融,weng'hang'rong
席佳川,xi'jia'chuan
想唱就唱我最闪亮,xiang'chang'jiu'chang'wo'zui'shan'liang
醒,xing
徐鸣飞,xu'ming'fei
轩,xuan
杨帆,yang'fan
姚思寅,yao'si'yin
姚政,yao'zheng
俞灏明,yu'hao'ming
于洪军,yu'hong'jun
于卿,yu'qing
张,zhang
张杰,zhang'jie
张沛,zhang'pei
张远,zhang'yuan
钟卓,zhong'zhuo
周冠宇,zhou'guan'yu
周路明,zhou'lu'ming
朱帅,zhu'shuai
朱岩,zhu'yan
