癌土,ai'tu
八块,ba'kuai
板斗哒,ban'dou'da
背时,bei'shi
钵波儿,bo'bo'er
不张算打,bu'zhang'suan'da
草狗的,cao'gou'de
操人,cao'ren
厕手,ce'shou
差火,cha'huo
叉闪,cha'shan
扯懒谈,che'lan'tan
出录丑,chu'lu'chou
锄头,chu'tou
刺猪的,ci'zhu'de
打赤包,da'chi'bao
当当儿小衣,dang'dang'er'xiao'yi
倒拐的,dao'guai'de
到那里踢踢,dao'na'li'ti'ti
得或,de'huo
等哈哈儿,deng'ha'ha'er
滴滴八八,di'di'ba'ba
滴滴儿,di'di'er
颠子,dian'zi
叼的,diao'de
雕样子,diao'yang'zi
独古儿,du'gu'er
炖钵波儿,dun'bo'bo'er
躲掐么,duo'qia'me
鹅浪古,e'lang'gu
恩朝,en'chao
恩朝落雨昧得事,en'chao'luo'yu'mei'de'shi
而哈长得务们七机八黑撒,er'ha'zhang'de'wu'men'qi'ji'ba'hei'sa
二头,er'tou
饭瓢儿,fan'piao'er
饭票儿,fan'piao'er
缝缝儿里,feng'feng'er'li
浮得,fu'de
噶斗,ga'dou
噶斗务里,ga'dou'wu'li
嘎嘎匠,ga'ga'jiang
嘎公,ga'gong
嘎卵哒,ga'luan'da
嘎屁哒,ga'pi'da
嘎屁打,ga'pi'da
嘎试,ga'shi
嘎死你,ga'si'ni
改放,gai'fang
港白话,gang'bai'hua
港得进古哒,gang'de'jin'gu'da
港鬼话,gang'gui'hua
港话,gang'hua
港么子撒,gang'me'zi'sa
搞错哒,gao'cuo'da
告花子,gao'hua'zi
搞么的,gao'me'de
高头,gao'tou
各个里,ge'ge'li
各人,ge'ren
跟头,gen'tou
姑儿嘎,gu'er'ga
姑娘,gu'niang
拐哒,guai'da
拐大,guai'da
拐哒希烂哒,guai'da'xi'lan'da
关你懒机八事啊,guan'ni'lan'ji'ba'shi'a
哈搞么的,ha'gao'me'de
哈七饭,ha'qi'fan
哈是的,ha'shi'de
好七佬,hao'qi'lao
好厌台,hao'yan'tai
黑死八个人,hei'si'ba'ge'ren
狠不得,hen'bu'de
花脚乌龟,hua'jiao'wu'gui
会得死,hui'de'si
灰滚滴,hui'gun'di
或机八懒型哦,huo'ji'ba'lan'xing'o
或懒行,huo'lan'xing
鸡巴,ji'ba
机八黑撒,ji'ba'hei'sa
几得狠,ji'de'hen
假格马嘎,jia'ge'ma'ga
夹生,jia'sheng
将个儿,jiang'ge'er
浆个卵鬼,jiang'ge'luan'gui
娇娇,jiao'jiao
脚里,jiao'li
脚鱼,jiao'yu
浸人,jin'ren
撅人滴,jue'ren'di
咔斗,ka'dou
