安家沟,an'jia'gou
八角台,ba'jiao'tai
白家沟,bai'jia'gou
宝善街,bao'shan'jie
北菜园,bei'cai'yuan
北环,bei'huan
北教场坡,bei'jiao'chang'po
北市场,bei'shi'chang
北新村,bei'xin'cun
北站,bei'zhan
泊晶翰,bo'jing'han
堡子里,bu'zi'li
草厂巷,cao'chang'xiang
茶坊,cha'fang
柴沟堡,chai'gou'bu
长青路,chang'qing'lu
赤城,chi'cheng
崇礼,chong'li
串窑街,chuan'yao'jie
赐儿山,ci'er'shan
大巷子,da'hang'zi
大好河山,da'hao'he'shan
大境门,da'jing'men
大清河,da'qing'he
丹拉高速,dan'la'gao'su
德胜街,de'sheng'jie
帝达,di'da
帝广,di'guang
东安,dong'an
东安大街,dong'an'da'jie
东河沿,dong'he'yan
东环,dong'huan
东建街,dong'jian'jie
东建南街,dong'jian'nan'jie
东山坡,dong'shan'po
东升,dong'sheng
东市场,dong'shi'chang
东兴路,dong'xing'lu
东窑子,dong'yao'zi
二道坝,er'dao'ba
冯窑厂,feng'yao'chang
福安街,fu'an'jie
高家屯,gao'jia'tun
高庙,gao'miao
工人村,gong'ren'cun
工人新村,gong'ren'xin'cun
工业横街,gong'ye'heng'jie
工业街,gong'ye'jie
公园路,gong'yuan'lu
古宏庙街,gu'hong'miao'jie
鼓楼西街,gu'lou'xi'jie
沽源,gu'yuan
观音堂,guan'yin'tang
光明街,guang'ming'jie
光中路,guang'zhong'lu
汉桥街,han'qiao'jie
黑石坝,hei'shi'ba
恒通,heng'tong
红旗楼,hong'qi'lou
怀安,huai'an
怀来,huai'lai
惠民里,hui'min'li
祭风台,ji'feng'tai
吉家坊,ji'jia'fang
建国路,jian'guo'lu
建设西街,jian'she'xi'jie
胶泥湾,jiao'ni'wan
解放大街,jie'fang'da'jie
解放桥,jie'fang'qiao
金鼎,jin'ding
金凤,jin'feng
金街,jin'jie
京化高速,jing'hua'gao'su
京新高速,jing'xin'gao'su
京张高速,jing'zhang'gao'su
康保,kang'bao
孔家庄,kong'jia'zhuang
蓝鲸,lan'jing
老鸦庄,lao'ya'zhuang
林园路,lin'yuan'lu
陵园路,ling'yuan'lu
柳树屯,liu'shu'tun
龙泉广场,long'quan'guang'chang
马道底,ma'dao'di
马路东,ma'lu'dong
马路街,ma'lu'jie
馒头山,man'tou'shan
煤机,mei'ji
美人沟,mei'ren'gou
蒙古营,meng'gu'ying
明德北,ming'de'bei
明德南,ming'de'nan
南菜园,nan'cai'yuan
南壕堑,nan'hao'qian
南环,nan'huan
南口,nan'kou
南市场,nan'shi'chang
南营坊,nan'ying'fang
南站,nan'zhan
泥河湾,ni'he'wan
宁远,ning'yuan
宁远堡,ning'yuan'bao
平定堡,ping'ding'bao
平门,ping'men
前屯,qian'tun
桥东,qiao'dong
桥西,qiao'xi
清河桥,qing'he'qiao
清水河,qing'shui'he
清水桥,qing'shui'qiao
人头山,ren'tou'shan
容辰,rong'chen
桑干河,sang'gan'he
沙城,sha'cheng
上东营,shang'dong'ying
上蒙古营,shang'meng'gu'ying
商务街,shang'wu'jie
商务桥,shang'wu'qiao
尚义,shang'yi
沈家屯,shen'jia'tun
神农大酒店,shen'nong'da'jiu'dian
胜利北路,sheng'li'bei'lu
胜利公园,sheng'li'gong'yuan
胜利南路,sheng'li'nan'lu
市府大街,shi'fu'da'jie
十三里,shi'san'li
水晶宫,shui'jing'gong
水母宫,shui'mu'gong
四方台,si'fang'tai
四杰屯,si'jie'tun
泰龙,tai'long
太平桥,tai'ping'qiao
探机,tan'ji
铁路斜街,tie'lu'xie'jie
通顺街,tong'shun'jie
通泰,tong'tai
通泰桥,tong'tai'qiao
头道兴隆巷,tou'dao'xing'long'xiang
土尔沟,tu'er'gou
瓦盆窑,wa'pen'yao
万全,wan'quan
王家寨,wang'jia'zhai
纬二路,wei'er'lu
纬三路,wei'san'lu
纬四路,wei'si'lu
纬一路,wei'yi'lu
武城街,wu'cheng'jie
五一路,wu'yi'lu
五一路后街,wu'yi'lu'hou'jie
五一路前街,wu'yi'lu'qian'jie
西坝岗,xi'ba'gang
西城,xi'cheng
西关街,xi'guan'jie
西河沿,xi'he'yan
西环,xi'huan
西豁子,xi'huo'zi
西沙河,xi'sha'he
西湾子,xi'wan'zi
西泽园,xi'ze'yuan
下东营,xia'dong'ying
下花园,xia'hua'yuan
下蒙古营,xia'meng'gu'ying
新华大厦,xin'hua'da'sha
新华街,xin'hua'jie
新华楼,xin'hua'lou
宣大高速,xuan'da'gao'su
宣化,xuan'hua
宣化大道,xuan'hua'da'dao
阎家屯,yan'jia'tun
洋河,yang'he
阳原,yang'yuan
姚家坊,yao'jia'fang
怡安街,yi'an'jie
永丰堡,yong'feng'bao
玉带桥,yu'dai'qiao
鱼儿山,yu'er'shan
玉皇阁,yu'huang'ge
榆林,yu'lin
蔚县,yu'xian
元台子,yuan'tai'zi
云泉寺,yun'quan'si
张北,zhang'bei
张承高速,zhang'cheng'gao'su
张石高速,zhang'shi'gao'su
张宣公路,zhang'xuan'gong'lu
至善街,zhi'shan'jie
中学街,zhong'xue'jie
涿鹿,zhuo'lu
钻石街,zuan'shi'jie
钻石路,zuan'shi'lu
