爱心同盟,ai'xin'tong'meng
爱心助学,ai'xin'zhu'xue
爱心助学工程协会,ai'xin'zhu'xue'gong'cheng'xie'hui
棒垒球协会,bang'lei'qiu'xie'hui
保利物业,bao'li'wu'ye
保险,bao'xian
保险协会,bao'xian'xie'hui
宝玉石协会,bao'yu'shi'xie'hui
贝岗超市,bei'gang'chao'shi
贝岗村,bei'gang'cun
北门广场,bei'men'guang'chang
北区,bei'qu
北三路,bei'san'lu
北亭,bei'ting
北亭村,bei'ting'cun
北亭广场,bei'ting'guang'chang
北校区,bei'xiao'qu
北学院楼,bei'xue'yuan'lou
辩论队,bian'lun'dui
博济,bo'ji
博士生会,bo'shi'sheng'hui
博学,bo'xue
彩虹社,cai'hong'she
材料化学,cai'liao'hua'xue
材料物理,cai'liao'wu'li
财务管理,cai'wu'guan'li
财政学,cai'zheng'xue
长洲岛,chang'zhou'dao
城市规划,cheng'shi'gui'hua
澄心琴社,cheng'xin'qin'she
充饭卡,chong'fan'ka
传播与设计学院,chuan'bo'yu'she'ji'xue'yuan
传设院,chuan'she'yuan
传设院小礼堂,chuan'she'yuan'xiao'li'tang
创业社,chuang'ye'she
打击乐协会,da'ji'yue'xie'hui
大气科学,da'qi'ke'xue
大学成,da'xue'cheng
大学城北,da'xue'cheng'bei
大学城博物馆,da'xue'cheng'bo'wu'guan
大学城二线,da'xue'cheng'er'xian
大学城三线,da'xue'cheng'san'xian
大学成书店,da'xue'cheng'shu'dian
大学城四线,da'xue'cheng'si'xian
大学城体育中心,da'xue'cheng'ti'yu'zhong'xin
大学城一线,da'xue'cheng'yi'xian
大学人电脑,da'xue'ren'dian'nao
档案学,dang'an'xue
灯谜协会,deng'mi'xie'hui
地理科学,di'li'ke'xue
地理科学与规划学院,di'li'ke'xue'yu'gui'hua'xue'yuan
地理信息系统,di'li'xin'xi'xi'tong
地球科学系,di'qiu'ke'xue'xi
地球信息科学与技术,di'qiu'xin'xi'ke'xue'yu'ji'shu
地铁二号线,di'tie'er'hao'xian
地铁三号线,di'tie'san'hao'xian
地铁四号线,di'tie'si'hao'xian
地铁一号线,di'tie'yi'hao'xian
地质学,di'zhi'xue
电气工程及其自动化,dian'qi'gong'cheng'ji'qi'zi'dong'hua
电商协会,dian'shang'xie'hui
电政,dian'zheng
电子商务,dian'zi'shang'wu
电子商务协会,dian'zi'shang'wu'xie'hui
电子信息科学与技术,dian'zi'xin'xi'ke'xue'yu'ji'shu
电子政务,dian'zi'zheng'wu
定向协会,ding'xiang'xie'hui
定向越野协会,ding'xiang'yue'ye'xie'hui
定向运动协会,ding'xiang'yun'dong'xie'hui
定协,ding'xie
动漫协会,dong'man'xie'hui
东校区,dong'xiao'qu
