八卦空掌,ba'gua'kong'zhang
八卦掌,ba'gua'zhang
八门遁甲,ba'men'dun'jia
八歧大蛇之术,ba'qi'da'she'zhi'shu
变身术,bian'shen'shu
冰遁角白鲸,bing'dun'jiao'bai'jing
朝孔雀,chao'kong'que
此处非之处,ci'chu'fei'zhi'chu
大爆葬,da'bao'zang
大玉螺旋丸,da'yu'luo'xuan'wan
地爆天星,di'bao'tian'xing
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
分身术,fen'shen'shu
蜂爆弹之术,feng'bao'dan'zhi'shu
风暴法阵,feng'bao'fa'zhen
蜂道之术,feng'dao'zhi'shu
风遁翠兰烈风,feng'dun'cui'lan'lie'feng
风遁大镰铀之术,feng'dun'da'lian'you'zhi'shu
风遁大突破,feng'dun'da'tu'po
风遁花散舞,feng'dun'hua'san'wu
风遁练空弹,feng'dun'lian'kong'dan
风遁无限沙尘大突破,feng'dun'wu'xian'sha'chen'da'tu'po
风遁压害,feng'dun'ya'hai
风魔忍法炎茶罗束缚,feng'mo'ren'fa'yan'cha'luo'shu'fu
封魔忍剑斩马刀,feng'mo'ren'jian'zhan'ma'dao
风魔手里剑,feng'mo'shou'li'jian
蜂千本之术,feng'qian'ben'zhi'shu
风切,feng'qie
封印术幻龙九封禁,feng'yin'shu'huan'long'jiu'feng'jin
跟踪术,gen'zong'shu
蛤蟆短刀斩,ha'ma'duan'dao'zhan
蛤蟆食道术,ha'ma'shi'dao'shu
蛤蟆压塌之术,ha'ma'ya'ta'zhi'shu
蛤蟆油炎弹,ha'ma'you'yan'dan
豪龙火之术,hao'long'huo'zhi'shu
黑暗行之术,hei'an'xing'zhi'shu
后宫之术,hou'gong'zhi'shu
唤虫术,huan'chong'shu
幻术狐狸心中之术,huan'shu'hu'li'xin'zhong'zhi'shu
幻术涅槃精舍之术,huan'shu'nie'pan'jing'she'zhi'shu
幻术霞从者之术,huan'shu'xia'cong'zhe'zhi'shu
回天,hui'tian
火遁大火球之术,huo'dun'da'huo'qiu'zhi'shu
火遁凤仙火之术,huo'dun'feng'xian'huo'zhi'shu
火遁豪火球之术,huo'dun'hao'huo'qiu'zhi'shu
火遁灰积烧,huo'dun'hui'ji'shao
火遁火龙遁,huo'dun'huo'long'dun
火遁火龙炎弹,huo'dun'huo'long'yan'dan
火遁龙火之术,huo'dun'long'huo'zhi'shu
火遁头刻苦,huo'dun'tou'ke'ku
结界门护符术八门闭场,jie'jie'men'hu'fu'shu'ba'men'bi'chang
金缚之术,jin'fu'zhi'shu
晶遁结晶五角牢,jing'dun'jie'jing'wu'jiao'lao
飓风水涡之术,ju'feng'shui'wo'zhi'shu
绝对防御,jue'dui'fang'yu
孔雀双子剑千面风,kong'que'shuang'zi'jian'qian'mian'feng
孔雀旋风,kong'que'xuan'feng
傀儡术,kui'lei'shu
来迎千手杀,lai'ying'qian'shou'sha
雷遁避雷针,lei'dun'bi'lei'zhen
雷遁地走,lei'dun'de'zou
雷遁雷缚,lei'dun'lei'fu
雷遁伟暗,lei'dun'wei'an
雷梦雷人,lei'meng'lei'ren
雷切,lei'qie
雷球,lei'qiu
镰鼬之术,lian'you'zhi'shu
胧分身之术,long'fen'shen'zhi'shu
龙眼伏击,long'yan'fu'ji
螺旋连弹,luo'xuan'lian'tan
螺旋手里剑,luo'xuan'shou'li'jian
螺旋丸,luo'xuan'wan
鸣人连弹,ming'ren'lian'tan
魔笛幻舞操曲,mo'di'huan'wu'cao'qu
魔晶冰晶,mo'jing'bing'jing
木遁树缚永葬,mu'dun'shu'fu'yong'zang
木叶大旋风,mu'ye'da'xuan'feng
木叶旋风,mu'ye'xuan'feng
奈烙见之术,nai'lao'jian'zhi'shu
麒麟,qi'lin
千年杀,qian'nian'sha
千鸟,qian'niao
千鸟流,qian'niao'liu
千杀水翔,qian'sha'shui'xiang
潜影蛇手,qian'ying'she'shou
蜻蜓忍法咏唱者,qing'ting'ren'fa'yong'chang'zhe
忍法创造在生,ren'fa'chuang'zao'zai'sheng
忍法风蜘蛛,ren'fa'feng'zhi'zhu
忍法蛤蟆口缚术,ren'fa'ha'ma'kou'fu'shu
忍法甲罗手里剑,ren'fa'jia'luo'shou'li'jian
忍法心弹身之术,ren'fa'xin'dan'shen'zhi'shu
忍法岩雪崩,ren'fa'yan'xue'beng
忍法召唤秽土转身,ren'fa'zhao'huan'hui'tu'zhuan'shen
