巴士海峡,ba'shi'hai'xia
八通关,ba'tong'guan
八罩岛,ba'zhao'dao
白沙,bai'sha
北大武山,bei'da'wu'shan
北门乡,bei'men'xiang
卑南主山,bei'nan'zhu'shan
曾文溪,ceng'wen'xi
赤尾岛,chi'wei'dao
大汉溪,da'han'xi
大湖,da'hu
大里,da'li
达仁,da'ren
达仁乡,da'ren'xiang
大屿,da'yu
钓鱼岛,diao'yu'dao
东港,dong'gang
东港区,dong'gang'qu
鹅峦鼻,e'luan'bi
二水,er'shui
枋寮,fang'liao
枋寮乡,fang'liao'xiang
枫港,feng'gang
枫港乡,feng'gang'xiang
富里,fu'li
高屏溪,gao'ping'xi
高石台,gao'shi'tai
观音,guan'yin
观音乡,guan'yin'xiang
龟山岛,gui'shan'dao
后龙,hou'long
花瓶屿,hua'ping'yu
黄尾屿,huang'wei'yu
火烧岛,huo'shao'dao
基隆,ji'long
基隆市,ji'long'shi
甲仙,jia'xian
嘉义,jia'yi
嘉义市,jia'yi'shi
兰屿,lan'yu
梨山,li'shan
琉球,liu'qiu
琉球群岛,liu'qiu'qun'dao
琉球乡,liu'qiu'xiang
鹿野,lu'ye
鹿野乡,lu'ye'xiang
绿岛,lv'dao
苗栗,miao'li
苗栗市,miao'li'shi
南澳,nan'ao
南澳县,nan'ao'xian
南湖大山,nan'hu'da'shan
南湾,nan'wan
南小岛,nan'xiao'dao
内湾,nei'wan
澎湖,peng'hu
澎湖岛,peng'hu'dao
澎湖列岛,peng'hu'lie'dao
澎湖水道,peng'hu'shui'dao
彭家屿,peng'jia'yu
屏东,ping'dong
奇莱主山,qi'lai'zhu'shan
七美岛,qi'mei'dao
旗山,qi'shan
旗山镇,qi'shan'zhen
七星岩,qi'xing'yan
清水县,qing'shui'xian
日月潭,ri'yue'tan
苏澳,su'ao
苏澳镇,su'ao'zhen
台北,tai'bei
台北市,tai'bei'shi
台北县,tai'bei'xian
台东,tai'dong
台南,tai'nan
台南市,tai'nan'shi
台灣,tai'wan
台湾海峡,tai'wan'hai'xia
台湾省,tai'wan'sheng
桃源,tao'yuan
桃园市,tao'yuan'shi
桃源县,tao'yuan'xian
土场,tu'chang
土场镇,tu'chang'zhen
望安岛,wang'an'dao
西螺,xi'luo
西螺镇,xi'luo'zhen
新港山,xin'gang'shan
新竹,xin'zhu
新竹市,xin'zhu'shi
秀姑峦山,xiu'gu'luan'shan
阳明山,yang'ming'shan
宜兰,yi'lan
宜兰市,yi'lan'shi
玉井,yu'jing
玉井乡,yu'jing'xiang
玉里,yu'li
玉里镇,yu'li'zhen
彰化,zhang'hua
彰化市,zhang'hua'shi
知本,zhi'ben
中华人民共和国反分裂国家法,zhong'hua'ren'min'gong'he'guo'fan'fen'lie'guo'jia'fa
浊水溪,zhuo'shui'xi
