保养间,bao'yang'jian
避弹所,bi'tan'suo
步兵搭载,bu'bing'da'zai
步兵战车,bu'bing'zhan'che
拆拼,chai'pin
超短波,chao'duan'bo
超短波电台,chao'duan'bo'dian'tai
超重陷,chao'zhong'xian
车长,che'chang
车场,che'chang
车长观察镜,che'chang'guan'cha'jing
车场日,che'chang'ri
车间距离,che'jian'ju'li
车距,che'ju
车库,che'ku
车厢,che'xiang
车辙,che'zhe
车辙桥,che'zhe'qiao
乘员避弹所,cheng'yuan'bi'tan'suo
锤击式,chui'ji'shi
垂直高,chui'zhi'gao
垂直障碍物,chui'zhi'zhang'ai'wu
大修,da'xiu
搭载,da'zai
搭载步兵,da'zai'bu'bing
待机地域,dai'ji'di'yu
弹道计算,dan'dao'ji'suan
单位压力,dan'wei'ya'li
单向稳定器,dan'xiang'wen'ding'qi
敌反坦克火器,di'fan'tan'ke'huo'qi
敌反坦克障碍物,di'fan'tan'ke'zhang'ai'wu
敌防坦克障碍物,di'fang'tan'ke'zhang'ai'wu
吊架,diao'jia
毒剂报警器,du'ji'bao'jing'qi
独立坦克修理营,du'li'tan'ke'xiu'li'ying
短停射击,duan'ting'she'ji
吨马力,dun'ma'li
二级,er'ji
二级驾驶员,er'ji'jia'shi'yuan
二级射手,er'ji'she'shou
二炮手,er'pao'shou
发动机前排气口,fa'dong'ji'qian'pai'qi'kou
发射点,fa'she'dian
发射孔,fa'she'kong
发射阵地,fa'she'zhen'di
发烟器材,fa'yan'qi'cai
反坦克火器,fan'tan'ke'huo'qi
防护力,fang'hu'li
防护能力,fang'hu'neng'li
防护罩,fang'hu'zhao
防坦克障碍物,fang'tan'ke'zhang'ai'wu
分队指挥员,fen'dui'zhi'hui'yuan
分割,fen'ge
分割使用,fen'ge'shi'yong
浮渡,fu'du
复合装甲,fu'he'zhuang'jia
副驾驶员,fu'jia'shi'yuan
辐射报警器,fu'she'bao'jing'qi
负重轮,fu'zhong'lun
刚性牵引装置,gang'xing'qian'yin'zhuang'zhi
高射机枪,gao'she'ji'qiang
观察界,guan'cha'jie
观察镜,guan'cha'jing
观察设备,guan'cha'she'bei
滚压式,gun'ya'shi
航向机枪,hang'xiang'ji'qiang
壕沟,hao'gou
壕沟宽度,hao'gou'kuan'du
红外线灯,hong'wai'xian'deng
红外夜视仪,hong'wai'ye'shi'yi
后送,hou'song
换季,huan'ji
换件,huan'jian
火箭扫雷,huo'jian'sao'lei
火控,huo'kong
火控系统,huo'kong'xi'tong
火力,huo'li
火力区分,huo'li'qu'fen
火力支援,huo'li'zhi'yuan
火炮弹道计算机,huo'pao'dan'dao'ji'suan'ji
火炮射角,huo'pao'she'jiao
火炮稳定器,huo'pao'wen'ding'qi
火炮有效射程,huo'pao'you'xiao'she'cheng
机动力,ji'dong'li
机动能力,ji'dong'neng'li
机动性,ji'dong'xing
激光测距,ji'guang'ce'ju
激光测距仪,ji'guang'ce'ju'yi
集结地域,ji'jie'di'yu
剂量仪,ji'liang'yi
技术保养,ji'shu'bao'yang
技术保障,ji'shu'bao'zhang
