阿波,a'bo
阿部正次,a'bu'zheng'ci
阿茶局,a'cha'ju
阿初,a'chu
阿市,a'shi
阿松,a'song
阿苏惟将,a'su'wei'jiang
安部政吉,an'bu'zheng'ji
安东爱季,an'dong'ai'ji
安东高季,an'dong'gao'ji
安房,an'fang
安国寺惠琼,an'guo'si'hui'qiong
安见直政,an'jian'zhi'zheng
安井道顿,an'jing'dao'dun
安藤良整,an'teng'liang'zheng
安藤守就,an'teng'shou'jiu
安藤直次,an'teng'zhi'ci
安藤重信,an'teng'zhong'xin
安田长秀,an'tian'chang'xiu
安田显元,an'tian'xian'yuan
安土,an'tu
安土桃山,an'tu'tao'shan
安西又助,an'xi'you'zhu
安艺,an'yi
安芸国虎,an'yun'guo'hu
安宅冬康,an'zhai'dong'kang
安宅信康,an'zhai'xin'kang
奥村荣明,ao'cun'rong'ming
奥村永福,ao'cun'yong'fu
奥平信昌,ao'ping'xin'chang
八板金兵卫,ba'ban'jin'bing'wei
八王子,ba'wang'zi
百地三太夫,bai'di'san'tai'fu
白石宗实,bai'shi'zong'shi
百武贤兼,bai'wu'xian'jian
拜乡家嘉,bai'xiang'jia'jia
板部冈江雪斋,ban'bu'gang'jiang'xue'zhai
板仓胜重,ban'cang'sheng'zhong
坂井政尚,ban'jing'zheng'shang
坂崎直盛,ban'qi'zhi'sheng
坂田源右卫门,ban'tian'yuan'you'wei'men
板垣信方,ban'yuan'xin'fang
保科正俊,bao'ke'zheng'jun
宝藏院胤荣,bao'zang'yuan'yin'rong
备后,bei'hou
北陆道,bei'lu'dao
北陆孤狼,bei'lu'gu'lang
备前,bei'qian
北畠教具,bei'tian'jiao'ju
北畠具房,bei'tian'ju'fang
北畠具教,bei'tian'ju'jiao
北畠晴具,bei'tian'qing'ju
北条纲成,bei'tiao'gang'cheng
北条高广,bei'tiao'gao'guang
北条幻庵,bei'tiao'huan'an
北条景广,bei'tiao'jing'guang
北条氏邦,bei'tiao'shi'bang
北条氏定,bei'tiao'shi'ding
北条氏繁,bei'tiao'shi'fan
北条氏规,bei'tiao'shi'gui
北条氏康,bei'tiao'shi'kang
北条氏胜,bei'tiao'shi'sheng
北条氏秀,bei'tiao'shi'xiu
北条氏照,bei'tiao'shi'zhao
北条氏政,bei'tiao'shi'zheng
北条氏直,bei'tiao'shi'zhi
北条早云,bei'tiao'zao'yun
北乡氏久,bei'xiang'shi'jiu
北信爱,bei'xin'ai
北政所,bei'zheng'suo
备中,bei'zhong
本多小松,ben'duo'xiao'song
本多正纯,ben'duo'zheng'chun
本多正信,ben'duo'zheng'xin
本多政重,ben'duo'zheng'zhong
本多忠朝,ben'duo'zhong'chao
本多忠纯,ben'duo'zhong'chun
本多重次,ben'duo'zhong'ci
本多忠高,ben'duo'zhong'gao
本多忠胜,ben'duo'zhong'sheng
本多忠真,ben'duo'zhong'zhen
本多忠政,ben'duo'zhong'zheng
本能寺之变,ben'neng'si'zhi'bian
本山茂宗,ben'shan'mao'zong
本因坊算砂,ben'yin'fang'suan'sha
本愿寺,ben'yuan'si
本愿寺教如,ben'yuan'si'jiao'ru
本愿寺显如,ben'yuan'si'xian'ru
本愿寺证如,ben'yuan'si'zheng'ru
本愿寺准如,ben'yuan'si'zhun'ru
