阿碧,a'bi
阿二,a'er
阿尔尼,a'er'ni
阿凡提,a'fan'ti
阿凡提妻,a'fan'ti'qi
阿根,a'gen
阿洪,a'hong
阿济赤,a'ji'chi
阿九,a'jiu
阿里,a'li
阿曼,a'man
阿三,a'san
阿胜,a'sheng
阿朱,a'zhu
阿紫,a'zi
哀牢山三十六剑,ai'lao'shan'san'shi'liu'jian
矮老者,ai'lao'zhe
安大娘,an'da'niang
安奉日,an'feng'ri
安健刚,an'jian'gang
安剑清,an'jian'qing
黯然销魂掌,an'ran'xiao'hun'zhang
安提督,an'ti'du
暗香疏影,an'xiang'shu'ying
安小慧,an'xiao'hui
鳌拜,ao'bai
敖彪,ao'biao
獒口夺杖,ao'kou'duo'zhang
巴豆汁,ba'dou'zhi
八方归元,ba'fang'gui'yuan
八卦刀,ba'gua'dao
八卦金刀,ba'gua'jin'dao
八卦门,ba'gua'men
八卦游龙掌,ba'gua'you'long'zhang
八卦游身掌,ba'gua'you'shen'zhang
八卦掌,ba'gua'zhang
八卦阵,ba'gua'zhen
八荒六合唯我独尊功,ba'huang'lu'he'wei'wo'du'zun'gong
八极门,ba'ji'men
八极拳,ba'ji'quan
八口山铭,ba'kou'shan'ming
巴郎星,ba'lang'xing
八十一路三节棍,ba'shi'yi'lu'san'jie'gun
八十一路五虎刀,ba'shi'yi'lu'wu'hu'dao
巴泰,ba'tai
巴天石,ba'tian'shi
八仙剑,ba'xian'jian
八仙剑法,ba'xian'jian'fa
八仙汤,ba'xian'tang
巴颜法师,ba'yan'fa'shi
八阵八卦掌,ba'zhen'ba'gua'zhang
白阿绣,bai'a'xiu
百变千幻衡山云雾十三式,bai'bian'qian'huan'heng'shan'yun'wu'shi'san'shi
百草仙,bai'cao'xian
白二,bai'er
白龟寿,bai'gui'shou
白寒枫,bai'han'feng
白寒松,bai'han'song
白鹤亮翅,bai'he'liang'chi
百合散,bai'he'san
白虹贯日,bai'hong'guan'ri
白虎夺命丹,bai'hu'duo'ming'dan
白虎跳涧,bai'hu'tiao'jian
百花错拳,bai'hua'cuo'quan
百花腹蛇膏,bai'hua'fu'she'gao
百花消魂散,bai'hua'xiao'hun'san
白脸人,bai'lian'ren
白马啸西风,bai'ma'xiao'xi'feng
白蟒鞭,bai'mang'bian
百年炼狱,bai'nian'lian'yu
百胜软鞭,bai'sheng'ruan'bian
白世镜,bai'shi'jing
白驼雪山掌,bai'tuo'xue'shan'zhang
白万剑,bai'wan'jian
百涎丸,bai'xian'wan
白熊,bai'xiong
白云苍狗,bai'yun'cang'gou
白云出岫,bai'yun'chu'xiu
