阿斗当皇帝软弱无能,a'dou'dang'huang'di'ruan'ruo'wu'neng
阿斗的江山白送,a'dou'de'jiang'shan'bai'song
阿会喃,a'hui'nan
阿阳,a'yang
哀牢,ai'lao
艾县,ai'xian
安北将军,an'bei'jiang'jun
安城,an'cheng
安次,an'ci
安德,an'de
安定,an'ding
安定郡,an'ding'jun
安东将军,an'dong'jiang'jun
安丰,an'feng
安故,an'gu
安广,an'guang
安国,an'guo
安汉,an'han
安乐,an'le
安乐公,an'le'gong
安陵,an'ling
安陆,an'lu
安弥,an'mi
安南将军,an'nan'jiang'jun
安平,an'ping
安平国,an'ping'guo
安丘,an'qiu
安世,an'shi
安市,an'shi
安熹,an'xi
安西将军,an'xi'jiang'jun
安阳,an'yang
安夷,an'yi
安邑,an'yi
安远将军,an'yuan'jiang'jun
安众,an'zhong
奥汀多赖把,ao'ting'duo'lai'ba
鳌头两刃斧,ao'tou'liang'ren'fu
媪围,ao'wei
巴郡,ba'jun
霸陵,ba'ling
八路诸侯,ba'lu'zhu'hou
灞水,ba'shui
八校尉兵,ba'xiao'wei'bing
拔用,ba'yong
霸者之威,ba'zhe'zhi'wei
白帝城托孤,bai'di'cheng'tuo'gu
白鹤,bai'he
白虹,bai'hong
白虎银牙,bai'hu'yin'ya
百里,bai'li
白马,bai'ma
白马羌,bai'ma'qiang
白马寺,bai'ma'si
白马之围,bai'ma'zhi'wei
白门楼,bai'men'lou
白门楼吕布殒命,bai'men'lou'lv'bu'yun'ming
百辟刀,bai'pi'dao
柏人,bai'ren
白石,bai'shi
白寿,bai'shou
白兔,bai'tu
白土,bai'tu
白玉麒麟,bai'yu'qi'lin
白羽扇,bai'yu'shan
败走麦城,bai'zou'mai'cheng
班固,ban'gu
班氏,ban'shi
般县,ban'xian
般阳,ban'yang
宝鼎,bao'ding
报父仇曹操兴师,bao'fu'chou'cao'cao'xing'shi
枹罕,bao'han
鲍隆,bao'long
鲍素,bao'su
褒信,bao'xin
鲍信,bao'xin
爆炎弓,bao'yan'gong
暴雨,bao'yu
褒中,bao'zhong
鲍忠,bao'zhong
备从,bei'cong
北带,bei'dai
北地郡,bei'di'jun
北斗天浆,bei'dou'tian'jiang
北方大部,bei'fang'da'bu
北方的,bei'fang'de
北归,bei'gui
北归以后,bei'gui'yi'hou
北海国,bei'hai'guo
被绞死,bei'jiao'si
被立为,bei'li'wei
卑弥呼,bei'mi'hu
北平,bei'ping
北平邑,bei'ping'yi
贝丘,bei'qiu
北屈,bei'qu
北新城,bei'xin'cheng
卑衍,bei'yan
北宜春,bei'yi'chun
北舆,bei'yu
被尊称为,bei'zun'cheng'wei
本初,ben'chu
贲古,ben'gu
奔剑阁张郃中计,ben'jian'ge'zhang'he'zhong'ji
奔逃,ben'tao
本诸生家,ben'zhu'sheng'jia
彼此,bi'ci
毕轨,bi'gui
比景,bi'jing
比苏,bi'su
陛下慢而侮人,bi'xia'man'er'wu'ren
鄨县,bi'xian
辟邪,bi'xie
碧眼儿坐领江东,bi'yan'er'zuo'ling'jiang'dong
比阳,bi'yang
庇荫佃客,bi'yin'dian'ke
鞭打督邮,bian'da'du'you
边洪,bian'hong
边让,bian'rang
卞氏,bian'shi
编为,bian'wei
卞喜,bian'xi
便县,bian'xian
卞县,bian'xian
编县,bian'xian
编写的,bian'xie'de
表氏,biao'shi
别部司马,bie'bu'si'ma
别驾,bie'jia
别驾从事,bie'jia'cong'shi
宾伯,bin'bo
邠卿,bin'qing
宾徒,bin'tu
兵曹掾,bing'cao'yuan
并称,bing'cheng
兵法三十六计,bing'fa'san'shi'liu'ji
兵法韬略,bing'fa'tao'lue
兵户,bing'hu
冰凰炎凤,bing'huang'yan'feng
冰凰炎凤锻造书,bing'huang'yan'feng'duan'zao'shu
并实行,bing'shi'xing
邴原,bing'yuan
并州刺史部,bing'zhou'ci'shi'bu
伯安,bo'an
博昌,bo'chang
伯达,bo'da
僰道,bo'dao
伯符,bo'fu
伯恭,bo'gong
伯圭,bo'gui
伯海,bo'hai
渤海郡,bo'hai'jun
伯和,bo'he
伯济,bo'ji
伯喈,bo'jie
博罗,bo'luo
伯苗,bo'miao
伯宁,bo'ning
博平,bo'ping
伯歧,bo'qi
伯求,bo'qiu
伯仁,bo'ren
博望,bo'wang
博望坡,bo'wang'po
博望坡军师初用兵,bo'wang'po'jun'shi'chu'yong'bing
博县,bo'xian
波县,bo'xian
伯绪,bo'xu
伯言,bo'yan
伯业,bo'ye
伯奕,bo'yi
伯益,bo'yi
伯玉,bo'yu
伯瑜,bo'yu
伯舆,bo'yu
伯约,bo'yue
步兵,bu'bing
步兵校尉,bu'bing'xiao'wei
步阐,bu'chan
不绝粮道,bu'jue'liang'dao
步军,bu'jun
不念忠诚,bu'nian'zhong'cheng
不其,bu'qi
布山,bu'shan
不识其主而事之,bu'shi'qi'zhu'er'shi'zhi
不韦,bu'wei
步骘,bu'zhi
卜周易管辂知机,bu'zhou'yi'guan'lu'zhi'ji
蔡夫人隔屏听密语,cai'fu'ren'ge'ping'ting'mi'yu
蔡夫人议献荆州,cai'fu'ren'yi'xian'jing'zhou
才高八斗,cai'gao'ba'dou
蔡和,cai'he
蔡林,cai'lin
蔡瑁,cai'mao
才士,cai'shi
蔡氏,cai'shi
蔡王熏,cai'wang'xun
蔡琰,cai'yan
蔡阳,cai'yang
蔡邕,cai'yong
蔡中,cai'zhong
参军,can'jun
蚕陵,can'ling
参辔,can'pei
仓曹掾属,cang'cao'yuan'shu
苍松,cang'song
苍天帝剑,cang'tian'di'jian
苍天已死,cang'tian'yi'si
苍梧郡,cang'wu'jun
曹阿瞒,cao'a'man
曹阿瞒兵退斜谷,cao'a'man'bing'tui'xie'gu
曹阿瞒割须弃袍,cao'a'man'ge'xu'qi'pao
曹阿瞒许田打围,cao'a'man'xu'tian'da'wei
曹安民,cao'an'min
曹昂,cao'ang
曹豹,cao'bao
曹操,cao'cao
曹操败走华容道不出所料,cao'cao'bai'zou'hua'rong'dao'bu'chu'suo'liao
曹操仓亭破本初,cao'cao'cang'ting'po'ben'chu
曹操吃鸡肋食之无味弃之可惜,cao'cao'chi'ji'lei'shi'zhi'wu'wei'qi'zhi'ke'xi
曹操大宴铜雀台,cao'cao'da'yan'tong'que'tai
曹操对锋利刃,cao'cao'dui'feng'li'ren
曹操父子,cao'cao'fu'zi
曹操抹书间韩遂,cao'cao'mo'shu'jian'han'sui
曹操平定汉中地,cao'cao'ping'ding'han'zhong'di
曹操杀华佗讳疾忌医,cao'cao'sha'hua'tuo'hui'ji'ji'yi
曹操杀吕伯奢将错就错,cao'cao'sha'lv'bo'she'jiang'cuo'jiu'cuo
曹操下江南来得凶败得惨,cao'cao'xia'jiang'nan'lai'de'xiong'bai'de'can
曹操用计又奸又滑,cao'cao'yong'ji'you'jian'you'hua
曹操遇蒋干倒了大霉,cao'cao'yu'jiang'gan'dao'le'da'mei
曹操战宛城大败而逃,cao'cao'zhan'wan'cheng'da'bai'er'tao
曹操诸葛亮脾气不一样,cao'cao'zhu'ge'liang'pi'qi'bu'yi'yang
曹操煮酒论英雄,cao'cao'zhu'jiu'lun'ying'xiong
曹操转胎疑心重,cao'cao'zhuan'tai'yi'xin'zhong
曹操作事干干净净,cao'cao'zuo'shi'gan'gan'jing'jing
草船借箭,cao'chuan'jie'jian
草船借箭多多益善,cao'chuan'jie'jian'duo'duo'yi'shan
草船借箭满载而归,cao'chuan'jie'jian'man'zai'er'gui
草船借箭坐享其成,cao'chuan'jie'jian'zuo'xiang'qi'cheng
曹纯,cao'chun
曹德,cao'de
曹芳,cao'fang
曹洪,cao'hong
曹奂,cao'huan
曹节,cao'jie
曹据,cao'ju
曹军,cao'jun
曹军南下,cao'jun'nan'xia
曹军水师,cao'jun'shui'shi
曹霖,cao'lin
曹髦,cao'mao
曹髦驱车死南阙,cao'mao'qu'che'si'nan'que
曹孟德败师育水,cao'meng'de'bai'shi'yu'shui
曹孟德大战吕布,cao'meng'de'da'zhan'lv'bu
曹孟德会合三将,cao'meng'de'hui'he'san'jiang
曹孟德移驾幸许都,cao'meng'de'yi'jia'xing'xu'dou
曹丕,cao'pi
曹丕乘乱纳甄氏,cao'pi'cheng'luan'na'zhen'shi
曹丕代汉,cao'pi'dai'han
曹丕废帝篡炎刘,cao'pi'fei'di'cuan'yan'liu
操平生为人多疑,cao'ping'sheng'wei'ren'duo'yi
