凹叶厚朴,ao'ye'hou'po
八角苦梓,ba'jiao'ku'zi
八寨含笑,ba'zhai'han'xiao
白花含笑,bai'hua'han'xiao
白兰,bai'lan
白玉兰,bai'yu'lan
宝花玉兰,bao'hua'yu'lan
北京鹅掌楸,bei'jing'e'zhang'qiu
长梗木莲,chang'geng'mu'lian
长喙木莲,chang'hui'mu'lian
长蕊木兰,chang'rui'mu'lan
川滇木莲,chuan'dian'mu'lian
粗柄含笑,cu'bing'han'xiao
大果木莲,da'guo'mu'lian
大叶木兰,da'ye'mu'lan
单性木兰,dan'xing'mu'lan
滇桂木莲,dian'gui'mu'lian
吊鳞苦梓,diao'lin'ku'zi
缎子绿兰树,duan'zi'lv'lan'shu
多瓣紫玉兰,duo'ban'zi'yu'lan
多花含笑,duo'hua'han'xiao
鹅掌楸,e'zhang'qiu
二乔木兰,er'qiao'mu'lan
法斗含笑,fa'dou'han'xiao
法斗木莲,fa'dou'mu'lian
富宁含笑,fu'ning'han'xiao
盖裂木,gai'lie'mu
钙土含笑,gai'tu'han'xiao
古蔺厚朴,gu'lin'hou'po
观光木,guan'guang'mu
广东含笑,guang'dong'han'xiao
广东木莲,guang'dong'mu'lian
广南木莲,guang'nan'mu'lian
广西含笑,guang'xi'han'xiao
光叶白兰,guang'ye'bai'lan
广玉兰,guang'yu'lan
桂南木莲,gui'nan'mu'lian
含笑,han'xiao
合果木,he'guo'mu
荷花木兰,he'hua'mu'lan
黑心绿兰,hei'xin'lv'lan
红花木莲,hong'hua'mu'lian
厚果含笑,hou'guo'han'xiao
厚朴,hou'po
厚叶木兰,hou'ye'mu'lan
湖北木兰,hu'bei'mu'lan
虎克木莲,hu'ke'mu'lian
华盖木,hua'gai'mu
华木莲,hua'mu'lian
华中木兰,hua'zhong'mu'lan
焕镛木,huan'yong'mu
黄花苦梓,huang'hua'ku'zi
黄花木兰,huang'hua'mu'lan
黄兰,huang'lan
黄山木兰,huang'shan'mu'lan
黄心树,huang'xin'shu
灰毛含笑,hui'mao'han'xiao
灰木莲,hui'mu'lian
灰岩含笑,hui'yan'han'xiao
火力楠,huo'li'nan
金叶白兰,jin'ye'bai'lan
金叶含笑,jin'ye'han'xiao
金玉兰,jin'yu'lan
绢毛木兰,juan'mao'mu'lan
苦梓,ku'zi
苦梓含笑,ku'zi'han'xiao
阔瓣含笑,kuo'ban'han'xiao
阔叶白兰花,kuo'ye'bai'lan'hua
乐昌含笑,le'chang'han'xiao
乐东含笑,le'dong'han'xiao
亮叶含笑,liang'ye'han'xiao
亮叶木莲,liang'ye'mu'lian
龙楠树,long'nan'shu
庐山厚朴,lu'shan'hou'po
卵手木莲,luan'shou'mu'lian
落叶木莲,luo'ye'mu'lian
绿楠,lv'nan
马褂木,ma'gua'mu
马关含笑,ma'guan'han'xiao
麻栗坡木莲,ma'li'po'mu'lian
毛果含笑,mao'guo'han'xiao
毛果木莲,mao'guo'mu'lian
毛桃木莲,mao'tao'mu'lian
美丽紫玉兰,mei'li'zi'yu'lan
勐仑木兰,meng'lun'mu'lan
缅桂,mian'gui
蔑厂木莲,mie'chang'mu'lian
木笔,mu'bi
木兰,mu'lan
木莲,mu'lian
木论木兰,mu'lun'mu'lan
睦南木莲,mu'nan'mu'lian
南亚含笑,nan'ya'han'xiao
皮袋香,pi'dai'xiang
平伐含笑,ping'fa'han'xiao
青皮木兰,qing'pi'mu'lan
球花含笑,qiu'hua'han'xiao
仁昌木莲,ren'chang'mu'lian
日本玉兰,ri'ben'yu'lan
乳源木莲,ru'yuan'mu'lian
三瓣木兰,san'ban'mu'lan
三瓣木莲,san'ban'mu'lian
伞树,san'shu
山白兰,shan'bai'lan
山菠萝,shan'bo'luo
山桂花,shan'gui'hua
山缅桂,shan'mian'gui
山玉兰,shan'yu'lan
上思木兰,shang'si'mu'lan
深山含笑,shen'shan'han'xiao
石灰含笑,shi'hui'han'xiao
石碌含笑,shi'lu'han'xiao
水铁罗木,shui'tie'luo'mu
思茅玉兰,si'mao'yu'lan
梭叶树,suo'ye'shu
万山木莲,wan'shan'mu'lian
望春,wang'chun
望春花,wang'chun'hua
望春玉兰,wang'chun'yu'lan
武当木兰,wu'dang'mu'lan
显脉木兰,xian'mai'mu'lan
香港木兰,xiang'gang'mu'lan
香港玉兰,xiang'gang'yu'lan
香蕉花,xiang'jiao'hua
香木莲,xiang'mu'lian
香子含笑,xiang'zi'han'xiao
馨香玉兰,xin'xiang'yu'lan
辛夷,xin'yi
星花木兰,xing'hua'mu'lan
锈毛木莲,xiu'mao'mu'lian
雅致含笑,ya'zhi'han'xiao
盐津木莲,yan'jin'mu'lian
洋玉兰,yang'yu'lan
野含笑,ye'han'xiao
夜合,ye'he
夜香玉兰,ye'xiang'yu'lan
迎春花,ying'chun'hua
应春花,ying'chun'hua
迎春树,ying'chun'shu
优昙花,you'tan'hua
郁金香玉兰,yu'jin'xiang'yu'lan
玉兰,yu'lan
玉堂春,yu'tang'chun
云南含笑,yun'nan'han'xiao
杂交鹅掌楸,za'jiao'e'zhang'qiu
杂交马褂木,za'jiao'ma'gua'mu
展毛含笑,zhan'mao'han'xiao
长叶木兰,zhang'ye'mu'lan
中缅木莲,zhong'mian'mu'lian
朱砂玉兰,zhu'sha'yu'lan
紫花含笑,zi'hua'han'xiao
紫玉兰,zi'yu'lan
醉香含笑,zui'xiang'han'xiao
