产流,chan'liu
大循环,da'xun'huan
地表径流,di'biao'jing'liu
汇流,hui'liu
降水历时,jiang'shui'li'shi
流域或区域水文循环,liu'yu'huo'qu'yu'shui'wen'xun'huan
壤中流,rang'zhong'liu
水量平衡方程,shui'liang'ping'heng'fang'cheng
水平衡,shui'ping'heng
水文序列,shui'wen'xu'lie
水文循环,shui'wen'xun'huan
随机水文,sui'ji'shui'wen
系统水文循环,xi'tong'shui'wen'xun'huan
小循环,xiao'xun'huan
雨强,yu'qiang
