百花亭,bai'hua'ting
包待制陈州粜米,bao'dai'zhi'chen'zhou'tiao'mi
包待制判断盆儿鬼,bao'dai'zhi'pan'duan'pen'er'gui
鲍宣少君,bao'xuan'shao'jun
宝妆亭,bao'zhuang'ting
比射辕门,bi'she'yuan'men
丙吉教子立赵宣帝,bing'ji'jiao'zi'li'zhao'xuan'di
蔡伯喈琵琶记,cai'bo'jie'pi'pa'ji
蔡均仲,cai'jun'zhong
彩楼记,cai'lou'ji
草庐记,cao'lu'ji
陈光蕊江流和尚,chen'guang'rui'jiang'liu'he'shang
陈可忠剔目记,chen'ke'zhong'ti'mu'ji
陈巡检妻遇白猿精,chen'xun'jian'qi'yu'bai'yuan'jing
崔护觅水,cui'hu'mi'shui
崔怀宝月夜闻筝,cui'huai'bao'yue'ye'wen'zheng
崔君瑞江天暮雪,cui'jun'rui'jiang'tian'mu'xue
貂蝉女,diao'chan'nv
董解元智夺金玉兰传,dong'jie'yuan'zhi'duo'jin'yu'lan'chuan
董秀才遇仙记,dong'xiu'cai'yu'xian'ji
董秀英花月东墙记,dong'xiu'ying'hua'yue'dong'qiang'ji
多月亭,duo'yue'ting
范睢绨袍记,fan'sui'ti'pao'ji
方莲英,fang'lian'ying
凤凰坡越娘背灯,feng'huang'po'yue'niang'bei'deng
冯京三元记,feng'jing'san'yuan'ji
风流合三十,feng'liu'he'san'shi
风流王焕贺怜怜,feng'liu'wang'huan'he'lian'lian
风月亭,feng'yue'ting
高汉臣,gao'han'chen
高汉卿罗囊记,gao'han'qing'luo'nang'ji
高文举两世还魂记,gao'wen'ju'liang'shi'huan'hun'ji
高文举珍珠记,gao'wen'ju'zhen'zhu'ji
耿文远,geng'wen'yuan
关大王独赴单刀会,guan'da'wang'du'fu'dan'dao'hui
关大王古城会,guan'da'wang'gu'cheng'hui
观音鱼篮记,guan'yin'yu'lan'ji
鬼法师,gui'fa'shi
鬼元宵,gui'yuan'xiao
鬼子揭钵,gui'zi'jie'bo
韩彩云,han'cai'yun
韩翃章台柳,han'hong'zhang'tai'liu
韩寿窃香记,han'shou'qie'xiang'ji
韩文公风雪阻蓝关记,han'wen'gong'feng'xue'zu'lan'guan'ji
韩湘子三度韩文公,han'xiang'zi'san'du'han'wen'gong
韩玉筝,han'yu'zheng
何推官错认尸,he'tui'guan'cuo'ren'shi
洪和尚错下书,hong'he'shang'cuo'xia'shu
花花柳柳清明祭柳七记,hua'hua'liu'liu'qing'ming'ji'liu'qi'ji
怀香记,huai'xiang'ji
淮阴记,huai'yin'ji
宦门子弟错立身,huan'men'zi'di'cuo'li'shen
欢喜冤家,huan'xi'yuan'jia
黄孝子寻母,huang'xiao'zi'xun'mu
贾似道木棉庵记,jia'si'dao'mu'mian'an'ji
减灶记,jian'zao'ji
蒋爱莲,jiang'ai'lian
教子寻亲,jiao'zi'xun'qin
揭阳明抄本蔡伯皆,jie'yang'ming'chao'ben'cai'bo'jie
借烛赠珠,jie'zhu'zeng'zhu
金鼠银猫李宝,jin'shu'yin'mao'li'bao
金童玉女,jin'tong'yu'nv
金印记,jin'yin'ji
荆刘拜杀,jing'liu'bai'sha
京娘怨燕子传书,jing'niang'yuan'yan'zi'chuan'shu
葵花记,kui'hua'ji
兰蕙联芳楼,lan'hui'lian'fang'lou
老莱子斑衣,lao'lai'zi'ban'yi
乐昌公主破镜重圆,le'chang'gong'zhu'po'jing'chong'yuan
雷轰荐福碑,lei'hong'jian'fu'bei
雷世际,lei'shi'ji
李勉,li'mian
李婉,li'wan
李亚仙,li'ya'xian
李玉梅,li'yu'mei
林招得三负心,lin'zhao'de'san'fu'xin
刘盼盼,liu'pan'pan
柳耆卿诗酒玩江楼,liu'qi'qing'shi'jiu'wan'jiang'lou
刘文龙菱花镜,liu'wen'long'ling'hua'jing
柳文直正旦贺升平,liu'wen'zhi'zheng'dan'he'sheng'ping
刘希必金钗记,liu'xi'bi'jin'chai'ji
刘锡沉香太子,liu'xi'chen'xiang'tai'zi
刘先主跳檀溪,liu'xian'zhu'tiao'tan'xi
刘孝女金钗记,liu'xiao'nv'jin'chai'ji
柳毅洞庭龙女,liu'yi'dong'ting'long'nv
柳颖,liu'ying
刘知远白兔记,liu'zhi'yuan'bai'tu'ji
罗带记,luo'dai'ji
罗惜惜,luo'xi'xi
吕洞宾黄粱梦,lv'dong'bin'huang'liang'meng
吕洞宾三醉岳阳楼,lv'dong'bin'san'zui'yue'yang'lou
吕蒙正风雪破窑记,lv'meng'zheng'feng'xue'po'yao'ji
吕星哥,lv'xing'ge
马践杨妃,ma'jian'yang'fei
孟姜女送寒衣,meng'jiang'nv'song'han'yi
孟母三移,meng'mu'san'yi
孟月梅写恨锦香亭,meng'yue'mei'xie'hen'jin'xiang'ting
闵子骞单衣记,min'zi'qian'dan'yi'ji
明成化刊本白兔记,ming'cheng'hua'kan'ben'bai'tu'ji
目连救母劝善记,mu'lian'jiu'mu'quan'shan'ji
