阿干镇,a'gan'zhen
安定门,an'ding'men
安宁堡,an'ning'bao
安宁区医院,an'ning'qu'yi'yuan
安宁区政府,an'ning'qu'zheng'fu
安西路口,an'xi'lu'kou
八宝醪糟,ba'bao'lao'zao
八里窟,ba'li'ku
八路军办事处,ba'lu'jun'ban'shi'chu
柏道路,bai'dao'lu
白兰瓜百合,bai'lan'gua'bai'he
白塔公园,bai'ta'gong'yuan
北站,bei'zhan
扁豆子旗花面,bian'dou'zi'qi'hua'mian
滨河路口,bin'he'lu'kou
布鞋厂,bu'xie'chang
草场街,cao'chang'jie
柴家河,chai'jia'he
长风医院,chang'feng'yi'yuan
长津电机厂,chang'jin'dian'ji'chang
长征剧院,chang'zheng'ju'yuan
炒粉,chao'fen
朝家河,chao'jia'he
炒面,chao'mian
炒面片,chao'mian'pian
炒面条,chao'mian'tiao
车管所,che'guan'suo
陈官营,chen'guan'ying
齿轮厂,chi'lun'chang
春蕾机械厂,chun'lei'ji'xie'chang
崔家崖,cui'jia'ya
崔家庄,cui'jia'zhuang
大教梁,da'jiao'liang
大沙坪,da'sha'ping
大沙坪桥,da'sha'ping'qiao
党校,dang'xiao
道口,dao'kou
地服装公司,di'fu'zhuang'gong'si
地质宾馆,di'zhi'bin'guan
电力设计院,dian'li'she'ji'yuan
电力学校,dian'li'xue'xiao
甸子街,dian'zi'jie
电子商贸城,dian'zi'shang'mao'cheng
定西路东口,ding'xi'lu'dong'kou
定西路口,ding'xi'lu'kou
东部,dong'bu
东岗镇,dong'gang'zhen
冬果梨,dong'guo'li
东果园,dong'guo'yuan
东河湾,dong'he'wan
东河湾西,dong'he'wan'xi
东湖宾馆,dong'hu'bin'guan
杜家台,du'jia'tai
二厂五,er'chang'wu
二马路,er'ma'lu
二热,er're
二十里铺,er'shi'li'pu
二通厂,er'tong'chang
儿童公园,er'tong'gong'yuan
发菜,fa'cai
法子面肠,fa'zi'mian'chang
范家坪,fan'jia'ping
费家营,fei'jia'ying
飞天商场,fei'tian'shang'chang
福利东路,fu'li'dong'lu
副食商场,fu'shi'shang'chang
辐照站,fu'zhao'zhan
干拌面,gan'ban'mian
甘报社家属院,gan'bao'she'jia'shu'yuan
甘工厂,gan'gong'chang
甘工大,gan'gong'da
甘农厂,gan'nong'chang
甘肃画院,gan'su'hua'yuan
甘肃铝厂,gan'su'lv'chang
甘肃农大,gan'su'nong'da
