八中,ba'zhong
白虎头,bai'hu'tou
白屋村,bai'wu'cun
宝谊,bao'yi
北部湾路,bei'bu'wan'lu
北海大道,bei'hai'da'dao
北中,bei'zhong
畀面,bi'mian
畀我,bi'wo
边呢,bian'ne
波板,bo'ban
菜街,cai'jie
炒屁耳,chao'pi'er
车大炮,che'da'pao
迟啲倾,chi'di'qing
出去捞冇,chu'qu'lao'mao
出去捞某,chu'qu'lao'mou
打波,da'bo
大菜街,da'cai'jie
大农,da'nong
得冇,de'mao
得没,de'mei
睇到,di'dao
地角,di'jiao
睇乜,di'mie
癫佬,dian'lao
癫婆,dian'po
独树根,du'shu'gen
二十四味,er'shi'si'wei
二中,er'zhong
废佬,fei'lao
废婆,fei'po
富贵路,fu'gui'lu
甘摸噶,gan'mo'ga
咁内噶,gan'nei'ga
高德,gao'de
搞屎棍,gao'shi'gun
恭喜发财封包跌落袋,gong'xi'fa'cai'feng'bao'die'luo'dai
够摸嗦啊,gou'mo'suo'a
罐头岭,guan'tou'ling
广场西里,guang'chang'xi'li
龟鱼,gui'yu
国发,guo'fa
国通,guo'tong
海堤街,hai'di'jie
海角路,hai'jiao'lu
海角市场,hai'jiao'shi'chang
海提街,hai'ti'jie
喊湿,han'shi
喊鱼,han'yu
行行街,hang'hang'jie
好冇,hao'mao
好某,hao'mou
红坎污水厂,hong'kan'wu'shui'chang
华侨,hua'qiao
皇都,huang'dou
火烧床,huo'shao'chuang
脚仔,jiao'zi
九中,jiu'zhong
劳联,lao'lian
六中,liu'zhong
龙潭,long'tan
冇到笋,mao'dao'sun
冇去,mao'qu
冇是啪,mao'shi'pa
冇有,mao'you
某去,mou'qu
某是啪,mou'shi'pa
某有,mou'you
南万,nan'wan
南珠市场,nan'zhu'shi'chang
泥丁,ni'ding
泥丁粥,ni'ding'zhou
启东,qi'dong
七中,qi'zhong
侨港,qiao'gang
去冇,qu'mao
去某,qu'mou
去先呢,qu'xian'ne
三中,san'zhong
沙虫,sha'chong
沙虫粥,sha'chong'zhou
十成十,shi'cheng'shi
屎忽痒,shi'hu'yang
使冇,shi'mao
是冇,shi'mao
使某,shi'mou
是某,shi'mou
是喔,shi'wo
十足十,shi'zu'shi
疏港大道,shu'gang'da'dao
嗦噶呐,suo'ga'na
外沙,wai'sha
外沙岛,wai'sha'dao
涠洲岛,wei'zhou'dao
五中,wu'zhong
屋仔村,wu'zi'cun
系喔,xi'wo
下底街,xia'di'jie
下火乐,xia'huo'le
新力,xin'li
行得没,xing'de'mei
徐屋南,xu'wu'nan
徐屋西,xu'wu'xi
野仔,ye'zi
一啲,yi'di
一中,yi'zhong
银滩,yin'tan
在屋企,zai'wu'qi
中玉,zhong'yu
中玉大酒店,zhong'yu'da'jiu'dian
猪咧编狗腿,zhu'lie'bian'gou'tui
