阿昌族服饰,a'chang'zu'fu'shi
阿尔巴卡,a'er'ba'ka
暗的,an'de
暗缝,an'feng
安哥拉兔毛,an'ge'la'tu'mao
暗灰调,an'hui'tiao
暗裥袋,an'jian'dai
氨纶,an'lun
按钮,an'niu
暗缲针法,an'sao'zhen'fa
奥佩纶,ao'pei'lun
八分裤,ba'fen'ku
摆衩,bai'cha
摆缝,bai'feng
百裥裙,bai'jian'qun
百褶裙,bai'zhe'qun
白族服饰,bai'zu'fu'shi
扳针法,ban'zhen'fa
包边布,bao'bian'bu
包布扣,bao'bu'kou
包缝,bao'feng
宝剑头,bao'jian'tou
包领,bao'ling
暴露服装,bao'lu'fu'zhuang
包烫门里襟,bao'tang'men'li'jin
包烫小领并划线,bao'tang'xiao'ling'bing'hua'xian
包橡筋,bao'xiang'jin
包装,bao'zhuang
背衩,bei'cha
背带裤,bei'dai'ku
背带裙,bei'dai'qun
背缝,bei'feng
背开衩,bei'kai'cha
贝壳钮,bei'ke'niu
贝壳形状线迹,bei'ke'xing'zhuang'xian'ji
背宽,bei'kuan
背心,bei'xin
背心裙,bei'xin'qun
背中缝,bei'zhong'feng
绷缝,beng'feng
崩龙族服饰,beng'long'zu'fu'shi
臂围,bi'wei
碧纹洗,bi'wen'xi
比翼线迹,bi'yi'xian'ji
便服,bian'fu
蝙蝠袖,bian'fu'xiu
扁机领,bian'ji'ling
变形线迹,bian'xing'xian'ji
表袋,biao'dai
标志服装,biao'zhi'fu'zhuang
冰兰洗,bing'lan'xi
驳口,bo'kou
波浪裙,bo'lang'qun
波浪式,bo'lang'shi
驳头,bo'tou
布衬,bu'chen
不可撤销信用证,bu'ke'che'xiao'xin'yong'zheng
布朗族服饰,bu'lang'zu'fu'shi
布依族服饰,bu'yi'zu'fu'shi
裁剪,cai'jian
参考线,can'kao'xian
蚕丝,can'si
侧摆衩,ce'bai'cha
侧缝,ce'feng
插袋,cha'dai
插肩袖,cha'jian'xiu
插扣,cha'kou
产前样,chan'qian'yang
长裤,chang'ku
长袍,chang'pao
长裙,chang'qun
超短裙,chao'duan'qun
朝鲜族服装,chao'xian'zu'fu'zhuang
车缝,che'feng
车线,che'xian
衬衫,chen'shan
衬衫领,chen'shan'ling
衬衫袖,chen'shan'xiu
衬衫袖口,chen'shan'xiu'kou
尘土洗,chen'tu'xi
成衣,cheng'yi
抽纱,chou'sha
抽针,chou'zhen
抽针双面,chou'zhen'shuang'mian
初样,chu'yang
串口,chuan'kou
船头样,chuan'tou'yang
创新精神,chuang'xin'jing'shen
刺绣线迹,ci'xiu'xian'ji
大裆,da'dang
大豆纤维,da'dou'xian'wei
大货样,da'huo'yang
打裥,da'jian
大礼服,da'li'fu
大麻,da'ma
搭门,da'men
大袖,da'xiu
大袖上,da'xiu'shang
大袖下,da'xiu'xia
打褶,da'zhe
袋布,dai'bu
待复,dai'fu
袋盖,dai'gai
袋高,dai'gao
袋口,dai'kou
袋宽,dai'kuan
袋贴,dai'tie
傣族服饰,dai'zu'fu'shi
单车裤,dan'che'ku
单面,dan'mian
单排扣,dan'pai'kou
单嵌线袋,dan'qian'xian'dai
单嵌线口袋,dan'qian'xian'kou'dai
单针,dan'zhen
刀背缝,dao'bei'feng
倒缝,dao'feng
倒挂领,dao'gua'ling
倒针法,dao'zhen'fa
灯笼裤,deng'long'ku
灯笼袖,deng'long'xiu
灯芯绒,deng'xin'rong
底边,di'bian
底脚,di'jiao
低蓝洗,di'lan'xi
底浪,di'lang
底领,di'ling
涤纶,di'lun
低腰裤,di'yao'ku
地址,di'zhi
点划线迹,dian'hua'xian'ji
电汇,dian'hui
电脑辅助工程,dian'nao'fu'zhu'gong'cheng
电脑辅助画样,dian'nao'fu'zhu'hua'yang
电脑辅助排料,dian'nao'fu'zhu'pai'liao
电脑辅助设计,dian'nao'fu'zhu'she'ji
电脑辅助制造,dian'nao'fu'zhu'zhi'zao
吊带,diao'dai
吊挂系统,diao'gua'xi'tong
吊袢,diao'pan
吊色,diao'se
吊钟,diao'zhong
叠门,die'men
叠针法,die'zhen'fa
定购单,ding'gou'dan
订口袋,ding'kou'dai
定型带,ding'xing'dai
侗族服饰,dong'zu'fu'shi
肚省,du'sheng
短裤,duan'ku
短裙,duan'qun
短外衣夹克,duan'wai'yi'jia'ke
短袖,duan'xiu
对称线迹,dui'chen'xian'ji
钝色洗,dun'se'xi
多重性,duo'chong'xing
多元化,duo'yuan'hua
耳仔,er'zai
翻脚口,fan'jiao'kou
翻领,fan'ling
翻门襟,fan'men'jin
翻折点,fan'zhe'dian
仿旧洗,fang'jiu'xi
方领,fang'ling
方领口,fang'ling'kou
放码,fang'ma
仿生服装,fang'sheng'fu'zhuang
分机号,fen'ji'hao
缝骨类型错,feng'gu'lei'xing'cuo
风帽,feng'mao
风琴袋,feng'qin'dai
缝式线迹,feng'shi'xian'ji
缝头,feng'tou
蜂窝形状线迹,feng'wo'xing'zhuang'xian'ji
凤眼,feng'yan
风衣,feng'yi
复合线迹,fu'he'xian'ji
付款交货,fu'kuan'jiao'huo
辅料,fu'liao
复领子夹尺码,fu'ling'zi'jia'chi'ma
服饰,fu'shi
服饰色彩,fu'shi'se'cai
服饰式样,fu'shi'shi'yang
服饰纹样,fu'shi'wen'yang
复式线迹,fu'shi'xian'ji
腹围,fu'wei
服装,fu'zhuang
服装板型,fu'zhuang'ban'xing
服装材料,fu'zhuang'cai'liao
服装产品,fu'zhuang'chan'pin
服装的本质,fu'zhuang'de'ben'zhi
服装分类,fu'zhuang'fen'lei
服装风格,fu'zhuang'feng'ge
服装功能,fu'zhuang'gong'neng
服装功效,fu'zhuang'gong'xiao
服装工艺,fu'zhuang'gong'yi
服装绘画,fu'zhuang'hui'hua
服装结构,fu'zhuang'jie'gou
服装款式,fu'zhuang'kuan'shi
服装款式图,fu'zhuang'kuan'shi'tu
服装色彩,fu'zhuang'se'cai
服装设计,fu'zhuang'she'ji
服装饰品,fu'zhuang'shi'pin
服装项目,fu'zhuang'xiang'mu
服装效果图,fu'zhuang'xiao'guo'tu
服装心理,fu'zhuang'xin'li
服装制作,fu'zhuang'zhi'zuo
高山族服饰,gao'shan'zu'fu'shi
羔羊毛,gao'yang'mao
