爱到史艳文,ai'dao'shi'yan'wen
爱的箴言,ai'de'zhen'yan
爱你太真,ai'ni'tai'zhen
爱情的真相,ai'qing'de'zhen'xiang
爱情海,ai'qing'hai
爱情就是听不到,ai'qing'jiu'shi'ting'bu'dao
暗恋,an'lian
把思念寄托远方,ba'si'nian'ji'tuo'yuan'fang
把他换做你,ba'ta'huan'zuo'ni
白纱窗的女孩,bai'sha'chuang'de'nv'hai
白天的星星,bai'tian'de'xing'xing
斑马线,ban'ma'xian
别忘记,bie'wang'ji
不快乐的爱人,bu'kuai'le'de'ai'ren
不让你看到我的泪,bu'rang'ni'kan'dao'wo'de'lei
不下雨就出太阳吧,bu'xia'yu'jiu'chu'tai'yang'ba
不要太多,bu'yao'tai'duo
不再,bu'zai
晨,chen
乘风乘月乘忧去,cheng'feng'cheng'yue'cheng'you'qu
重返故里,chong'fan'gu'li
春雪,chun'xue
答案,da'an
等待花开,deng'dai'hua'kai
弟弟,di'di
第二道彩虹,di'er'dao'cai'hong
电影结束之后,dian'ying'jie'shu'zhi'hou
冬季到台北来看雨,dong'ji'dao'tai'bei'lai'kan'yu
冬季来台北看雨新版,dong'ji'lai'tai'bei'kan'yu'xin'ban
阿弥陀佛摇篮曲,e'mi'tuo'fo'yao'lan'qu
放在心里面,fang'zai'xin'li'mian
飞梦,fei'meng
飞往异乡的,fei'wang'yi'xiang'de
粉红色的凸床,fen'hong'se'de'tu'chuang
凤凰木,feng'huang'mu
风里的梦,feng'li'de'meng
风是我回忆的方向,feng'shi'wo'hui'yi'de'fang'xiang
风中有朵雨做的云,feng'zhong'you'duo'yu'zuo'de'yun
个失恋的木偶,ge'shi'lian'de'mu'ou
跟影子说,gen'ying'zi'shuo
勾心斗角,gou'xin'dou'jiao
孤独时候你想谁呢,gu'du'shi'hou'ni'xiang'shui'ne
故作浪漫,gu'zuo'lang'man
光明指引,guang'ming'zhi'yin
过冬,guo'dong
红花,hong'hua
红雨,hong'yu
蝴蝶是花,hu'die'shi'hua
琥珀,hu'po
化身为海,hua'shen'wei'hai
偈,ji
嫉妒,ji'du
将错就错,jiang'cuo'jiu'cuo
金缕鞋,jin'lv'xie
静静的生命慢慢的河,jing'jing'de'sheng'ming'man'man'de'he
就要挥别,jiu'yao'hui'bie
抉择,jue'ze
看着你眼睛微笑,kan'zhe'ni'yan'jing'wei'xiao
空中花园,kong'zhong'hua'yuan
口白,kou'bai
困爱,kun'ai
泪海,lei'hai
恋人,lian'ren
两小无猜,liang'xiao'wu'cai
美丽新世界,mei'li'xin'shi'jie
梦与诗,meng'yu'shi
明天,ming'tian
默认,mo'ren
幕,mu
木棉道,mu'mian'dao
你的味道,ni'de'wei'dao
你究竟有几个好妹妹,ni'jiu'jing'you'ji'ge'hao'mei'mei
你看你看月亮的脸,ni'kan'ni'kan'yue'liang'de'lian
你看你看月亮的脸新版,ni'kan'ni'kan'yue'liang'de'lian'xin'ban
你那好冷的小手,ni'na'hao'leng'de'xiao'shou
你敲敲敲痛了我的心,ni'qiao'qiao'qiao'tong'le'wo'de'xin
你是谁,ni'shi'shui
你是我不该靠近的人,ni'shi'wo'bu'gai'kao'jin'de'ren
你听海是不是在笑,ni'ting'hai'shi'bu'shi'zai'xiao
念念不忘阿弥陀,nian'nian'bu'wang'a'mi'tuo
偶遇,ou'yu
偏心,pian'xin
祈请阿弥陀,qi'qing'a'mi'tuo
千年的新娘,qian'nian'de'xin'niang
强欲放袂记,qiang'yu'fang'mei'ji
情不自禁吻了你,qing'bu'zi'jin'wen'le'ni
情愿一个人,qing'yuan'yi'ge'ren
请在我落泪以前离开我,qing'zai'wo'luo'lei'yi'qian'li'kai'wo
秋天的眼泪,qiu'tian'de'yan'lei
去吧我的爱,qu'ba'wo'de'ai
日以继夜的想你,ri'yi'ji'ye'de'xiang'ni
如果你不再爱我,ru'guo'ni'bu'zai'ai'wo
若我,ruo'wo
三生三世,san'sheng'san'shi
闪亮的日子,shan'liang'de'ri'zi
伤了你的心的我的心,shang'le'ni'de'xin'de'wo'de'xin
深白色,shen'bai'se
拭去你的泪,shi'qu'ni'de'lei
手语,shou'yu
谁的眼泪在飞,shui'de'yan'lei'zai'fei
谁来晚餐,shui'lai'wan'can
谁说我生命中只能有你,shui'shuo'wo'sheng'ming'zhong'zhi'neng'you'ni
锁上记忆,suo'shang'ji'yi
她沿着沙滩的边缘走,ta'yan'zhe'sha'tan'de'bian'yuan'zou
逃,tao
天使之歌,tian'shi'zhi'ge
天使之歌独唱版,tian'shi'zhi'ge'du'chang'ban
天堂,tian'tang
天天天蓝,tian'tian'tian'lan
听说远方有片海洋,ting'shuo'yuan'fang'you'pian'hai'yang
透过开满鲜花的月亮,tou'guo'kai'man'xian'hua'de'yue'liang
忘了,wang'le
往事,wang'shi
往天涯的尽头单飞,wang'tian'ya'de'jin'tou'dan'fei
我们仨,wo'men'sa
无处可藏,wu'chu'ke'cang
雾里看花,wu'li'kan'hua
无声的雨,wu'sheng'de'yu
喜欢自己,xi'huan'zi'ji
细声话,xi'sheng'hua
相爱的可能性,xiang'ai'de'ke'neng'xing
相约,xiang'yue
小公主,xiao'gong'zhu
心的旅途,xin'de'lv'tu
心电感应,xin'dian'gan'ying
心港,xin'gang
心疼的最爱,xin'teng'de'zui'ai
幸福感,xing'fu'gan
幸福感吉他版,xing'fu'gan'ji'ta'ban
羞答答的玫瑰静悄悄地开,xiu'da'da'de'mei'gui'jing'qiao'qiao'de'kai
羞答答的玫瑰静敲敲地开新版,xiu'da'da'de'mei'gui'jing'qiao'qiao'di'kai'xin'ban
亚亚,ya'ya
哑哑与亚亚,ya'ya'yu'ya'ya
夜,ye
野百合也有春天,ye'bai'he'ye'you'chun'tian
夜的告白,ye'de'gao'bai
野姜花我的回忆,ye'jiang'hua'wo'de'hui'yi
一个爱上浪漫的人,yi'ge'ai'shang'lang'man'de'ren
一个人的伤心,yi'ge'ren'de'shang'xin
忆念,yi'nian
萤火虫,ying'huo'chong
右边,you'bian
预感,yu'gan
雨过心晴,yu'guo'xin'qing
遇见阿弥陀,yu'jian'a'mi'tuo
原本今生以为,yuan'ben'jin'sheng'yi'wei
月亮船,yue'liang'chuan
怎么能,zen'me'neng
找一个人,zhao'yi'ge'ren
这一季有多长,zhe'yi'ji'you'duo'chang
真的还是假的,zhen'de'hai'shi'jia'de
知影,zhi'ying
住在我心上,zhu'zai'wo'xin'shang
紫浣花,zi'huan'hua
走出爱情,zou'chu'ai'qing
走在雨中,zou'zai'yu'zhong
最后的小火车,zui'hou'de'xiao'huo'che
最深的感动,zui'shen'de'gan'dong
