哀咕,ai'gu
挨剋,ai'ke
挨梃,ai'ting
爱小儿,ai'xiao'er
爱咋咋地,ai'za'za'di
嗷嗷,ao'ao
叭叭的,ba'ba'de
八杆子拨拉不着,ba'gan'zi'bo'la'bu'zhao
把家虎儿,ba'jia'hu'er
拔尖儿,ba'jian'er
拔犟眼子,ba'jiang'yan'zi
巴锔子,ba'ju'zi
扒拉,ba'la
笆篱子,ba'li'zi
扒瞎,ba'xia
八字没一撇,ba'zi'mei'yi'pie
掰扯,bai'che
摆儿摆儿的,bai'er'bai'er'de
白话,bai'hua
败家,bai'jia
败家子儿,bai'jia'zi'er
白肉血肠,bai'rou'xue'chang
白眼狼儿,bai'yan'lang'er
板板正正,ban'ban'zheng'zheng
班儿对班儿,ban'er'dui'ban'er
半拉咔叽,ban'la'ka'ji
半拉克叽,ban'la'ke'ji
棒槌,bang'chui
包公断后,bao'gong'duan'hou
苞米茬子,bao'mi'cha'zi
包屈,bao'qu
报山名,bao'shan'ming
备不住,bei'bu'zhu
笨笨咔咔,ben'ben'ka'ka
彪乎乎,biao'hu'hu
摽劲儿,biao'jin'er
瘪茄子,bie'qie'zi
憋屈,bie'qu
饽饽,bo'bo
卜楞,bo'leng
不打锛儿,bu'da'ben'er
不缕会儿,bu'lv'hui'er
不是物,bu'shi'wu
不玩儿活儿,bu'wan'er'huo'er
不着调,bu'zhao'diao
岔纰,cha'pi
馇条,cha'tiao
吵儿巴火,chao'er'ba'huo
扯犊子,che'du'zi
臭得瑟,chou'de'se
刺挠,ci'nao
大观灯,da'guan'deng
大块雪糕,da'kuai'xue'gao
倒骑驴,dao'qi'lv
倒腾,dao'teng
得瑟,de'se
犊子,du'zi
嗯呐,en'na
嗯哪,en'na
二倚子,er'yi'zi
反正对花,fan'zheng'dui'hua
放风筝,fang'feng'zheng
富贵九子图,fu'gui'jiu'zi'tu
夫妻串门,fu'qi'chuan'men
噶哈,ga'ha
噶哈嗫,ga'ha'nie
噶哈玩意儿,ga'ha'wan'yi'er
嘎拉哈,ga'la'ha
胳肢窝,ga'zhi'wo
干哈,gan'ha
干哈玩意,gan'ha'wan'yi
赶趟,gan'tang
干仗,gan'zhang
高老庄,gao'lao'zhuang
隔路,ge'lu
咯能,ge'neng
硌应,ge'ying
沟满壕平,gou'man'hao'ping
逛新城,guang'xin'cheng
滚犊子,gun'du'zi
锅包肉,guo'bao'rou
海了,hai'le
海了去了,hai'le'qu'le
饸饹条,he'ge'tiao
涸旯,he'la
黑瞎子,hei'xia'zi
红焖肉,hong'men'rou
红月娥做梦,hong'yue'e'zuo'meng
护犊子,hu'du'zi
忽悠,hu'you
回杯记,hui'bei'ji
祸祸,huo'huo
汲菜粉,ji'cai'fen
喞个啷,ji'ge'lang
鲫瓜子,ji'gua'zi
急歪,ji'wai
鲫鱼瓜子,ji'yu'gua'zi
煎粉,jian'fen
尖椒干豆腐,jian'jiao'gan'dou'fu
卡吧裆,ka'ba'dang
卡倒,ka'dao
看秧歌,kan'yang'ge
烤冷面,kao'leng'mian
棵碜,ke'chen
拉场戏,la'chang'xi
拉倒,la'dao
老鼻子了,lao'bi'zi'le
唠嗑,lao'ke
老么卡刺眼,lao'me'ka'ci'yan
冷不丁,leng'bu'ding
李连贵,li'lian'gui
李连贵熏肉大饼,li'lian'gui'xun'rou'da'bing
撩扯,liao'che
撩闲,liao'xian
列巴,lie'ba
刘姥姥还乡,liu'lao'lao'huan'xiang
熘肉段,liu'rou'duan
马寡妇开店,ma'gua'fu'kai'dian
麻将豆腐,ma'jiang'dou'fu
蚂蛉,ma'ling
麻溜,ma'liu
马前泼水,ma'qian'po'shui
蚂蚱子,ma'zha'zi
埋汰,mai'tai
毛楞,mao'leng
嚰叽,me'ji
墨迹,mo'ji
那可不,na'ke'bu
挠岗,nao'gang
脑瓜子,nao'gua'zi
闹挺,nao'ting
脑袖子,nao'xiu'zi
能歪,neng'wai
尿性,niao'xing
攀亲家,pan'qing'jia
破闷儿,po'men'er
婆婆丁,po'po'ding
欠不登,qian'bu'deng
欠儿不登,qian'er'bu'deng
欠儿欠儿的,qian'er'qian'er'de
墙里墙外,qiang'li'qiang'wai
情蘖,qing'nie
曲么菜,qu'me'cai
傻柱子求爱记,sha'zhu'zi'qiu'ai'ji
上赶子,shang'gan'zi
上杆子,shang'gan'zi
神调,shen'tiao
十八里相送,shi'ba'li'xiang'song
石锅拌饭,shi'guo'ban'fan
手闷子,shou'men'zi
摔三弦,shuai'san'xian
水梢,shui'shao
死乞白列,si'qi'bai'lie
送情郎,song'qing'lang
酸菜汆白肉,suan'cai'cuan'bai'rou
体腾,ti'teng
土瘪,tu'bie
土拉机,tu'la'ji
妥了,tuo'le
围脖,wei'bo
为得罗,wei'de'luo
无极六受,wu'ji'liu'shou
乌拉草,wu'la'cao
乌了巴涂,wu'le'ba'tu
惜命,xi'ming
显摆,xian'bai
小拜年,xiao'bai'nian
小鸡炖蘑菇,xiao'ji'dun'mo'gu
小看牌,xiao'kan'pai
小看戏,xiao'kan'xi
小抠儿,xiao'kou'er
小帽,xiao'mao
邪乎,xie'hu
熊瞎子,xiong'xia'zi
血了糊连,xue'le'hu'lian
眼力见,yan'li'jian
眼力见儿,yan'li'jian'er
扬得二正,yang'de'er'zheng
油茶面,you'cha'mian
月牙五更,yue'ya'wu'geng
咋地,za'di
咋整,za'zheng
沾包,zhan'bao
猪肉炖粉条,zhu'rou'dun'fen'tiao
