办公自动化,ban'gong'zi'dong'hua
民间美术,min'jian'mei'shu
民生教育集团,min'sheng'jiao'yu'ji'tuan
民族服饰鉴赏与风采,min'zu'fu'shi'jian'shang'yu'feng'cai
明园,ming'yuan
泥塑,ni'su
排版设计,pai'ban'she'ji
平面构成,ping'mian'gou'cheng
平面设计师,ping'mian'she'ji'shi
企业形象设计,qi'ye'xing'xiang'she'ji
嵌入式系统技术与应用,qian'ru'shi'xi'tong'ji'shu'yu'ying'yong
前厅部运行与管理,qian'ting'bu'yun'xing'yu'guan'li
勤工俭学领导小组,qin'gong'jian'xue'ling'dao'xiao'zu
青年教师讲课大赛,qing'nian'jiao'shi'jiang'ke'da'sai
冉隆惠,ran'long'hui
冉新明,ran'xin'ming
染织图案设计,ran'zhi'tu'an'she'ji
三才庄,san'cai'zhuang
三维动画设计,san'wei'dong'hua'she'ji
色彩,se'cai
色彩构成,se'cai'gou'cheng
社会大学,she'hui'da'xue
社会实践,she'hui'shi'jian
师德师风建设,shi'de'shi'feng'jian'she
师德师风教育月,shi'de'shi'feng'jiao'yu'yue
视觉传达艺术设计,shi'jue'chuan'da'yi'shu'she'ji
室内设计师,shi'nei'she'ji'shi
时装画技法,shi'zhuang'hua'ji'fa
书籍装帧设计,shu'ji'zhuang'zhen'she'ji
数据库结构,shu'ju'ku'jie'gou
思想道德修养与法律基础,si'xiang'dao'de'xiu'yang'yu'fa'lv'ji'chu
思想政治理论课,si'xiang'zheng'zhi'li'lun'ke
思想政治理论课教研小组,si'xiang'zheng'zhi'li'lun'ke'jiao'yan'xiao'zu
素描,su'miao
唐志兴,tang'zhi'xing
陶行知,tao'xing'zhi
陶艺设计与制作,tao'yi'she'ji'yu'zhi'zuo
体育教研组,ti'yu'jiao'yan'zu
听说读写译,ting'shuo'du'xie'yi
通风与空调技术,tong'feng'yu'kong'tiao'ji'shu
土木工程制图,tu'mu'gong'cheng'zhi'tu
图形创意,tu'xing'chuang'yi
图形图像学基础,tu'xing'tu'xiang'xue'ji'chu
图形图像制作,tu'xing'tu'xiang'zhi'zuo
团委学生会,tuan'wei'xue'sheng'hui
万传德,wan'chuan'de
王俊昌,wang'jun'chang
网络安全工程师,wang'luo'an'quan'gong'cheng'shi
网络安全实践,wang'luo'an'quan'shi'jian
网络操作系统,wang'luo'cao'zuo'xi'tong
网络工程师,wang'luo'gong'cheng'shi
网络管理,wang'luo'guan'li
网络数据库,wang'luo'shu'ju'ku
网络通信技术,wang'luo'tong'xin'ji'shu
王晓平,wang'xiao'ping
网页设计,wang'ye'she'ji
网页设计师,wang'ye'she'ji'shi
网页设计与制作,wang'ye'she'ji'yu'zhi'zuo
汪沂,wang'yi
网站建设与安全,wang'zhan'jian'she'yu'an'quan
微机组装和故障分析,wei'ji'zu'zhuang'he'gu'zhang'fen'xi
五福庄,wu'fu'zhuang
物业管理员,wu'ye'guan'li'yuan
物业设备管理,wu'ye'she'bei'guan'li
物业设施管理,wu'ye'she'shi'guan'li
武育秦,wu'yu'qin
西班牙语国家概况,xi'ban'ya'yu'guo'jia'gai'kuang
西班牙语应用文写作,xi'ban'ya'yu'ying'yong'wen'xie'zuo
西译汉,xi'yi'han
现代汉语与普通话,xian'dai'han'yu'yu'pu'tong'hua
庠园,xiang'yuan
信息安全概论,xin'xi'an'quan'gai'lun
信息安全技术,xin'xi'an'quan'ji'shu
新校区建设,xin'xiao'qu'jian'she
行录设计,xing'lu'she'ji
熊笃,xiong'du
徐淑琴,xu'shu'qin
徐志伦,xu'zhi'lun
学生科,xue'sheng'ke
杨兴才,yang'xing'cai
姚学渊,yao'xue'yuan
艺术设计系,yi'shu'she'ji'xi
迎新工作领导小组,ying'xin'gong'zuo'ling'dao'xiao'zu
应用徳语,ying'yong'de'yu
应用法语,ying'yong'fa'yu
应用密码学技术,ying'yong'mi'ma'xue'ji'shu
应用外语系,ying'yong'wai'yu'xi
应用文写作,ying'yong'wen'xie'zuo
应用西班牙语,ying'yong'xi'ban'ya'yu
应用英语,ying'yong'ying'yu
英语国家概况,ying'yu'guo'jia'gai'kuang
英语教研室,ying'yu'jiao'yan'shi
英语应用能力等级考试,ying'yu'ying'yong'neng'li'deng'ji'kao'shi
院办,yuan'ban
袁明儒,yuan'ming'ru
院务委员,yuan'wu'wei'yuan
院务委员会,yuan'wu'wei'yuan'hui
扎染设计与制作,za'ran'she'ji'yu'zhi'zuo
造价员,zao'jia'yuan
展示设计,zhan'shi'she'ji
张一璠,zhang'yi'fan
招生就业办公室,zhao'sheng'jiu'ye'ban'gong'shi
郑声莲,zheng'sheng'lian
政治学习,zheng'zhi'xue'xi
智园,zhi'yuan
中共重庆民生职业技术学院委员会,zhong'gong'chong'qing'min'sheng'zhi'ye'ji'shu'xue'yuan'wei'yuan'hui
中国风物特产与饮食,zhong'guo'feng'wu'te'chan'yu'yin'shi
中国共青团重庆民生职业技术学院委员会,zhong'guo'gong'qing'tuan'chong'qing'min'sheng'zhi'ye'ji'shu'xue'yuan'wei'yuan'hui
中国古代建筑与园林,zhong'guo'gu'dai'jian'zhu'yu'yuan'lin
中国历史文化与民俗,zhong'guo'li'shi'wen'hua'yu'min'su
中国书画欣赏,zhong'guo'shu'hua'xin'shang
中级电工,zhong'ji'dian'gong
竹木雕刻,zhu'mu'diao'ke
抓党建促三风建三高,zhua'dang'jian'cu'san'feng'jian'san'gao
专升本考试,zhuan'sheng'ben'kao'shi
专业英语,zhuan'ye'ying'yu
转制,zhuan'zhi
装饰基础,zhuang'shi'ji'chu
装饰色彩写生,zhuang'shi'se'cai'xie'sheng
字体设计,zi'ti'she'ji
组网技术与网络管理,zu'wang'ji'shu'yu'wang'luo'guan'li
