茶山镇,cha'shan'zhen
长安镇,chang'an'zhen
常平镇,chang'ping'zhen
大朗镇,da'lang'zhen
大岭山镇,da'ling'shan'zhen
道滘镇,dao'jiao'zhen
东城区,dong'cheng'qu
东莞市,dong'guan'shi
东坑镇,dong'keng'zhen
凤岗镇,feng'gang'zhen
高埗镇,gao'bu'zhen
莞城区,guan'cheng'qu
横沥镇,heng'li'zhen
洪梅镇,hong'mei'zhen
厚街镇,hou'jie'zhen
虎门镇,hu'men'zhen
黄江镇,huang'jiang'zhen
居民委员会,ju'min'wei'yuan'hui
寮步镇,liao'bu'zhen
麻涌镇,ma'chong'zhen
南城区,nan'cheng'qu
企石镇,qi'shi'zhen
桥头镇,qiao'tou'zhen
清溪镇,qing'xi'zhen
沙田镇,sha'tian'zhen
石碣镇,shi'jie'zhen
石龙镇,shi'long'zhen
石排镇,shi'pai'zhen
塘厦镇,tang'xia'zhen
万江区,wan'jiang'qu
望牛墩镇,wang'niu'dun'zhen
谢岗镇,xie'gang'zhen
樟木头镇,zhang'mu'tou'zhen
中堂镇,zhong'tang'zhen
