爱心学校,ai'xin'xue'xiao
编宣部,bian'xuan'bu
策划执行中心,ce'hua'zhi'xing'zhong'xin
车管会,che'guan'hui
创业节,chuang'ye'jie
调研部,diao'yan'bu
东门,dong'men
读书节,du'shu'jie
对外汉语学院,dui'wai'han'yu'xue'yuan
二教,er'jiao
法政学院,fa'zheng'xue'yuan
奉贤校区,feng'xian'xiao'qu
服务管理中心,fu'wu'guan'li'zhong'xin
共青团上海师范大学委员会,gong'qing'tuan'shang'hai'shi'fan'da'xue'wei'yuan'hui
海棠诗社,hai'tang'shi'she
厚德博学求是笃行,hou'de'bo'xue'qiu'shi'du'xing
伙管会,huo'guan'hui
活力团支部,huo'li'tuan'zhi'bu
加油网,jia'you'wang
建工学院,jian'gong'xue'yuan
教管会,jiao'guan'hui
教育学院,jiao'yu'xue'yuan
金桂,jin'gui
精彩双休日,jing'cai'shuang'xiu'ri
科技节,ke'ji'jie
礼仪队,li'yi'dui
楼兰剧社,lou'lan'ju'she
陆建非,lu'jian'fei
旅游学院,lv'you'xue'yuan
马克思学院,ma'ke'si'xue'yuan
美食节,mei'shi'jie
美术学院,mei'shu'xue'yuan
媒体制作部,mei'ti'zhi'zuo'bu
秘书处,mi'shu'chu
男人村,nan'ren'cun
女人村,nv'ren'cun
女子学院,nv'zi'xue'yuan
起航班,qi'hang'ban
企划部,qi'hua'bu
寝室文化节,qin'shi'wen'hua'jie
青马班,qing'ma'ban
青年团校,qing'nian'tuan'xiao
青年文化研究中心,qing'nian'wen'hua'yan'jiu'zhong'xin
秋石印社,qiu'shi'yin'she
人文学院,ren'wen'xue'yuan
三教,san'jiao
上海师范大学,shang'hai'shi'fan'da'xue
上海师范大学学生联合会,shang'hai'shi'fan'da'xue'xue'sheng'lian'he'hui
上师大,shang'shi'da
商学院,shang'xue'yuan
社会实践部,she'hui'shi'jian'bu
社会实践中心,she'hui'shi'jian'zhong'xin
社团管理中心,she'tuan'guan'li'zhong'xin
社团联合会,she'tuan'lian'he'hui
社团文化节,she'tuan'wen'hua'jie
生环学院,sheng'huan'xue'yuan
师大杯,shi'da'bei
师大杯辩论赛,shi'da'bei'bian'lun'sai
十大歌手,shi'da'ge'shou
师大之星,shi'da'zhi'xing
数理学院,shu'li'xue'yuan
双周音乐会,shuang'zhou'yin'yue'hui
四教,si'jiao
宿管会,su'guan'hui
跆拳道协会,tai'quan'dao'xie'hui
体管会,ti'guan'hui
体育部,ti'yu'bu
体育节,ti'yu'jie
体育学院,ti'yu'xue'yuan
挑战杯,tiao'zhan'bei
图管会,tu'guan'hui
图书馆,tu'shu'guan
团在上师大,tuan'zai'shang'shi'da
外联部,wai'lian'bu
外语学院,wai'yu'xue'yuan
网络管理部,wang'luo'guan'li'bu
网络信息协会,wang'luo'xin'xi'xie'hui
网络宣传部,wang'luo'xuan'chuan'bu
微课堂,wei'ke'tang
文体艺术中心,wen'ti'yi'shu'zhong'xin
文艺部,wen'yi'bu
我是讲师微课堂,wo'shi'jiang'shi'wei'ke'tang
五教,wu'jiao
谢晋影视艺术学院,xie'jin'ying'shi'yi'shu'xue'yuan
信机学院,xin'ji'xue'yuan
新闻部,xin'wen'bu
新闻传媒中心,xin'wen'chuan'mei'zhong'xin
新闻宣传中心,xin'wen'xuan'chuan'zhong'xin
行政联络中心,xing'zheng'lian'luo'zhong'xin
行政楼,xing'zheng'lou
行知杯,xing'zhi'bei
行知杯辩论赛,xing'zhi'bei'bian'lun'sai
徐汇校区,xu'hui'xiao'qu
学联,xue'lian
学生民主管理组织,xue'sheng'min'zhu'guan'li'zu'zhi
学术部,xue'shu'bu
学术调研中心,xue'shu'diao'yan'zhong'xin
学思湖,xue'si'hu
医管会,yi'guan'hui
一教,yi'jiao
音乐学院,yin'yue'xue'yuan
尤斯羽毛球社,you'si'yu'mao'qiu'she
玉兰,yu'lan
舆情部,yu'qing'bu
月亮湖,yue'liang'hu
运动会,yun'dong'hui
治管会,zhi'guan'hui
志愿者管理中心,zhi'yuan'zhe'guan'li'zhong'xin
主持人大赛,zhu'chi'ren'da'sai
朱自强,zhu'zi'qiang
紫藤,zi'teng
