百底村,bai'di'cun
半坡,ban'po
北里,bei'li
北山公园,bei'shan'gong'yuan
北王堡,bei'wang'bao
北王村,bei'wang'cun
北午芹,bei'wu'qin
北小区,bei'xiao'qu
北辛兴,bei'xin'xing
北原村,bei'yuan'cun
北张村,bei'zhang'cun
北张吴村,bei'zhang'wu'cun
堡子沟,bu'zi'gou
蔡家庄,cai'jia'zhuang
仓底村,cang'di'cun
苍头村,cang'tou'cun
曹家窑,cao'jia'yao
柴家村,chai'jia'cun
常好,chang'hao
常好堡,chang'hao'bao
陈家岭,chen'jia'ling
城关街道办,cheng'guan'jie'dao'ban
吃食沟,chi'shi'gou
翠微区,cui'wei'qu
翠微西区,cui'wei'xi'qu
翠西区,cui'xi'qu
大山宾馆,da'shan'bin'guan
叠翠南区,die'cui'nan'qu
叠翠区,die'cui'qu
东沟村,dong'gou'cun
东关,dong'guan
东光德,dong'guang'de
东侯家庄,dong'hou'jia'zhuang
东活村,dong'huo'cun
东辛封,dong'xin'feng
东窑头,dong'yao'tou
东庄,dong'zhuang
杜家湾,du'jia'wan
樊村,fan'cun
樊村堡,fan'cun'bao
樊家坡,fan'jia'po
范家庄,fan'jia'zhuang
樊家庄,fan'jia'zhuang
汾滨街,fen'bin'jie
汾河公园,fen'he'gong'yuan
凤翔路,feng'xiang'lu
风源大厦,feng'yuan'da'sha
伏伯,fu'bo
干涧,gan'jian
干泥坪,gan'ni'ping
高家湾,gao'jia'wan
耿街,geng'jie
古垛,gu'duo
固垛坡,gu'duo'po
固镇,gu'zhen
官庄,guan'zhuang
郭村,guo'cun
海华名园,hai'hua'ming'yuan
韩家院,han'jia'yuan
贺家巷,he'jia'xiang
河津电厂,he'jin'dian'chang
河津二中,he'jin'er'zhong
河津三中,he'jin'san'zhong
河津一中,he'jin'yi'zhong
河津中学,he'jin'zhong'xue
和平小区,he'ping'xiao'qu
河运高速,he'yun'gao'su
河中南校,he'zhong'nan'xiao
宏达集团,hong'da'ji'tuan
侯家庄,hou'jia'zhuang
侯西铁路,hou'xi'tie'lu
华兴东路,hua'xing'dong'lu
华兴西路,hua'xing'xi'lu
花苑小区,hua'yuan'xiao'qu
华泽铝厂,hua'ze'lv'chang
华泽铝电,hua'ze'lv'dian
黄韩侯铁路,huang'han'hou'tie'lu
黄路道,huang'lu'dao
黄窑科,huang'yao'ke
检修分厂,jian'xiu'fen'chang
津辉小区,jin'hui'xiao'qu
津粮大酒店,jin'liang'da'jiu'dian
晋铝东区,jin'lv'dong'qu
晋铝路,jin'lv'lu
晋铝耐材,jin'lv'nai'cai
晋铝西区,jin'lv'xi'qu
敬宾街,jing'bin'jie
京昆高速,jing'kun'gao'su
九龙大街,jiu'long'da'jie
九龙公园,jiu'long'gong'yuan
九龙头,jiu'long'tou
峻岭村,jun'ling'cun
康家庄,kang'jia'zhuang
康家庄家属楼,kang'jia'zhuang'jia'shu'lou
康家庄焦化,kang'jia'zhuang'jiao'hua
康家庄新村,kang'jia'zhuang'xin'cun
老窑头,lao'yao'tou
李家堡,li'jia'bao
李家庄,li'jia'zhuang
莲池路,lian'chi'lu
麟岛,lin'dao
岭里,ling'li
柳壕村,liu'hao'cun
刘家堡,liu'jia'bao
刘家院,liu'jia'yuan
刘西嘴,liu'xi'zui
龙岗,long'gang
龙岗东路,long'gang'dong'lu
龙岗路,long'gang'lu
龙门村,long'men'cun
龙门大道,long'men'da'dao
龙门大厦,long'men'da'sha
龙门电解,long'men'dian'jie
龙门焦化,long'men'jiao'hua
芦庄,lu'zhuang
铝厂二中,lv'chang'er'zhong
铝厂一中,lv'chang'yi'zhong
铝建,lv'jian
铝联路,lv'lian'lu
马家村,ma'jia'cun
马家堡,ma'jia'pu
米家关,mi'jia'guan
米家湾,mi'jia'wan
南方平,nan'fang'ping
南里,nan'li
南桑峪,nan'sang'yu
南午芹,nan'wu'qin
南辛兴,nan'xin'xing
南张吴村,nan'zhang'wu'cun
宁家岭,ning'jia'ling
牛家庄,niu'jia'zhuang
裴方岭,pei'fang'ling
琵琶垣村,pi'pa'yuan'cun
偏店,pian'dian
桥子沟,qiao'zi'gou
清涧二村,qing'jian'er'cun
清涧三村,qing'jian'san'cun
清涧四村,qing'jian'si'cun
清涧一村,qing'jian'yi'cun
任家窑,ren'jia'yao
任家庄,ren'jia'zhuang
人民村,ren'min'cun
三联集团,san'lian'ji'tuan
三迁村,san'qian'cun
僧楼公社,seng'lou'gong'she
沙樊头,sha'fan'tou
山王村,shan'wang'cun
山西铝厂,shan'xi'lv'chang
山西铝厂水泥厂,shan'xi'lv'chang'shui'ni'chang
山西铝厂碳素厂,shan'xi'lv'chang'tan'su'chang
上化,shang'hua
上岭,shang'ling
