安定器,an'ding'qi
按计划,an'ji'hua
按计划出动,an'ji'hua'chu'dong
靶机,ba'ji
半圆形落地拱,ban'yuan'xing'luo'di'gong
保持空域位置,bao'chi'kong'yu'wei'zhi
爆破弹,bao'po'tan
保险道,bao'xian'dao
保障队,bao'zhang'dui
保障引导,bao'zhang'yin'dao
报知通信,bao'zhi'tong'xin
备降,bei'jiang
备降场,bei'jiang'chang
备降机场,bei'jiang'ji'chang
变后掠翼,bian'hou'lue'yi
变后掠翼飞机,bian'hou'lue'yi'fei'ji
标志灯塔,biao'zhi'deng'ta
标志弹,biao'zhi'tan
兵器系统,bing'qi'xi'tong
波瓣间,bo'ban'jian
波瓣间盲区,bo'ban'jian'mang'qu
布板,bu'ban
布板信号,bu'ban'xin'hao
仓库,cang'ku
舱门,cang'men
侧保险道,ce'bao'xian'dao
测定方位,ce'ding'fang'wei
侧净空区,ce'jing'kong'qu
场道,chang'dao
场界灯,chang'jie'deng
场内,chang'nei
场内迫降场,chang'nei'po'jiang'chang
长期,chang'qi
场外,chang'wai
场外迫降场,chang'wai'po'jiang'chang
超低空,chao'di'kong
超高空,chao'gao'kong
超音速,chao'yin'su
超音速飞机,chao'yin'su'fei'ji
充电,chong'dian
充冷,chong'leng
充氧,chong'yang
出动率,chu'dong'lv
触发爆炸,chu'fa'bao'zha
传爆,chuan'bao
传爆系列,chuan'bao'xi'lie
穿甲弹,chuan'jia'dan
穿云下降,chuan'yun'xia'jiang
垂直起落,chui'zhi'qi'luo
垂直起落飞机,chui'zhi'qi'luo'fei'ji
大后掠角,da'hou'lue'jiao
待命开机值班,dai'ming'kai'ji'zhi'ban
待用阵地,dai'yong'zhen'di
待战,dai'zhan
弹体,dan'ti
导弹推进剂,dao'dan'tui'jin'ji
导弹性能,dao'dan'xing'neng
导航,dao'hang
导航点,dao'hang'dian
导航设备,dao'hang'she'bei
导航台,dao'hang'tai
灯光信号,deng'guang'xin'hao
地标,di'biao
敌机,di'ji
低界,di'jie
低空,di'kong
地空导弹兵,di'kong'dao'dan'bing
地空导弹兵战斗准备等级,di'kong'dao'dan'bing'zhan'dou'zhun'bei'deng'ji
地空导弹发射架,di'kong'dao'dan'fa'she'jia
地空导弹发射区,di'kong'dao'dan'fa'she'qu
地空导弹发射阵地,di'kong'dao'dan'fa'she'zhen'di
地空导弹火力范围,di'kong'dao'dan'huo'li'fan'wei
地空导弹禁射区,di'kong'dao'dan'jin'she'qu
地空导弹杀伤概率,di'kong'dao'dan'sha'shang'gai'lv
地空导弹杀伤区,di'kong'dao'dan'sha'shang'qu
地空导弹射击指挥,di'kong'dao'dan'she'ji'zhi'hui
地空导弹责任射界,di'kong'dao'dan'ze'ren'she'jie
低空盲区,di'kong'mang'qu
地空通信,di'kong'tong'xin
地面导航设备,di'mian'dao'hang'she'bei
地面盲区,di'mian'mang'qu
地面目标,di'mian'mu'biao
地面能见度,di'mian'neng'jian'du
地面询问机,di'mian'xun'wen'ji
地面障碍物所遮蔽的盲区,di'mian'zhang'ai'wu'suo'zhe'bi'de'mang'qu
地速,di'su
低阻弹,di'zu'tan
电视制导炸弹,dian'shi'zhi'dao'zha'dan
电源设备,dian'yuan'she'bei
电子对抗,dian'zi'dui'kang
电子干扰,dian'zi'gan'rao
电子干扰机,dian'zi'gan'rao'ji
电子预警机,dian'zi'yu'jing'ji
定角度发射式,ding'jiao'du'fa'she'shi
顶空,ding'kong
顶空盲区,ding'kong'mang'qu
定时开机值班,ding'shi'kai'ji'zhi'ban
定向台,ding'xiang'tai
定向天线,ding'xiang'tian'xian
动升限,dong'sheng'xian
端保险道,duan'bao'xian'dao
端净空区,duan'jing'kong'qu
短距起落,duan'ju'qi'luo
短距起落飞机,duan'ju'qi'luo'fei'ji
对空警戒侦察,dui'kong'jing'jie'zhen'cha
对空指挥,dui'kong'zhi'hui
对流层顶,dui'liu'ceng'ding
二等,er'deng
二级,er'ji
二级机场,er'ji'ji'chang
二线机场,er'xian'ji'chang
发光烟火,fa'guang'yan'huo
发射设备,fa'she'she'bei
反潜,fan'qian
反潜机,fan'qian'ji
反射面,fan'she'mian
反射特性,fan'she'te'xing
反坦克弹,fan'tan'ke'tan
防护装甲,fang'hu'zhuang'jia
防空作战区,fang'kong'zuo'zhan'qu
飞机,fei'ji
飞机敌我识别器,fei'ji'di'wo'shi'bie'qi
飞机颠簸,fei'ji'dian'bo
飞机定向,fei'ji'ding'xiang
飞机洞库,fei'ji'dong'ku
飞机积冰,fei'ji'ji'bing
飞机加油,fei'ji'jia'you
飞机加油线,fei'ji'jia'you'xian
飞机上升限度,fei'ji'shang'sheng'xian'du
飞机疏散,fei'ji'shu'san
飞机疏散区,fei'ji'shu'san'qu
飞机尾迹,fei'ji'wei'ji
飞机尾迹层,fei'ji'wei'ji'ceng
飞机掩蔽库,fei'ji'yan'bi'ku
飞机掩体,fei'ji'yan'ti
飞机在下滑着陆过程中,fei'ji'zai'xia'hua'zhuo'lu'guo'cheng'zhong
飞机战术技术性能,fei'ji'zhan'shu'ji'shu'xing'neng
飞机最大速度,fei'ji'zui'da'su'du
飞艇,fei'ting
飞行,fei'xing
飞行场地,fei'xing'chang'di
飞行大队,fei'xing'da'dui
飞行地带,fei'xing'di'dai
飞行高度,fei'xing'gao'du
飞行高度层,fei'xing'gao'du'ceng
飞行管制,fei'xing'guan'zhi
飞行技术,fei'xing'ji'shu
飞行马赫数,fei'xing'ma'he'shu
飞行器,fei'xing'qi
飞行人员,fei'xing'ren'yuan
飞行申请,fei'xing'shen'qing
飞行速度,fei'xing'su'du
飞行梯队,fei'xing'ti'dui
飞行调配,fei'xing'tiao'pei
飞行团,fei'xing'tuan
