暗语,an'yu
保密,bao'mi
保密话网,bao'mi'hua'wang
保密性,bao'mi'xing
报知通信,bao'zhi'tong'xin
报知通信网,bao'zhi'tong'xin'wang
被覆线,bei'fu'xian
被覆线路,bei'fu'xian'lu
边走边联络,bian'zou'bian'lian'luo
波段静止卫星体制,bo'duan'jing'zhi'wei'xing'ti'zhi
步话机,bu'hua'ji
步炮协同通信,bu'pao'xie'tong'tong'xin
步谈机,bu'tan'ji
步坦协同通信,bu'tan'xie'tong'tong'xin
长度电话自动交换网,chang'du'dian'hua'zi'dong'jiao'huan'wang
长途电话,chang'tu'dian'hua
长途电话自动交换机,chang'tu'dian'hua'zi'dong'jiao'huan'ji
超短波,chao'duan'bo
超短波小型无线电话机,chao'duan'bo'xiao'xing'wu'xian'dian'hua'ji
出联,chu'lian
传递时限,chuan'di'shi'xian
传输传真,chuan'shu'chuan'zhen
传输电报,chuan'shu'dian'bao
传输电视,chuan'shu'dian'shi
传输数据,chuan'shu'shu'ju
传输信息,chuan'shu'xin'xi
传真,chuan'zhen
传真电报,chuan'zhen'dian'bao
代号,dai'hao
担负通信联络任务,dan'fu'tong'xin'lian'luo'ren'wu
导航,dao'hang
地面站,di'mian'zhan
电报,dian'bao
电报等级,dian'bao'deng'ji
电报机,dian'bao'ji
电报交换机,dian'bao'jiao'huan'ji
电报全程预告,dian'bao'quan'cheng'yu'gao
电报数据,dian'bao'shu'ju
电报数据集中站,dian'bao'shu'ju'ji'zhong'zhan
电报数据自动交换,dian'bao'shu'ju'zi'dong'jiao'huan
电报网,dian'bao'wang
电报站,dian'bao'zhan
电场强度,dian'chang'qiang'du
电杆,dian'gan
电话,dian'hua
电话保密设备,dian'hua'bao'mi'she'bei
电话等级,dian'hua'deng'ji
电话网,dian'hua'wang
电话站,dian'hua'zhan
电缆,dian'lan
电缆线路,dian'lan'xian'lu
电脑数据自动交换网,dian'nao'shu'ju'zi'dong'jiao'huan'wang
电视,dian'shi
电台,dian'tai
电信设备,dian'xin'she'bei
电源设备,dian'yuan'she'bei
定时守听,ding'shi'shou'ting
短波,duan'bo
短波无线电通信,duan'bo'wu'xian'dian'tong'xin
对称电缆线路,dui'chen'dian'lan'xian'lu
多路通信,duo'lu'tong'xin
发射,fa'she
发射功率,fa'she'gong'lv
发射机,fa'she'ji
反射信号,fan'she'xin'hao
防水,fang'shui
防震,fang'zhen
防止干扰,fang'zhi'gan'rao
分终端站,fen'zhong'duan'zhan
敷设,fu'she
干扰,gan'rao
干扰来源,gan'rao'lai'yuan
高频电缆线路,gao'pin'dian'lan'xian'lu
高速数据传输,gao'su'shu'ju'chuan'shu
根据需要守听,gen'ju'xu'yao'shou'ting
跟踪,gen'zong
工业电器干扰,gong'ye'dian'qi'gan'rao
沟通,gou'tong
观测,guan'ce
管道电缆线路,guan'dao'dian'lan'xian'lu
光导纤维,guang'dao'xian'wei
光缆,guang'lan
光色信号,guang'se'xin'hao
光纤,guang'xian
光纤通信,guang'xian'tong'xin
海底电缆线路,hai'di'dian'lan'xian'lu
海空协同通信,hai'kong'xie'tong'tong'xin
红外线通信,hong'wai'xian'tong'xin
后方通信,hou'fang'tong'xin
后方通信网,hou'fang'tong'xin'wang
呼号,hu'hao
呼叫,hu'jiao
话网,hua'wang
回令,hui'ling
激光通信,ji'guang'tong'xin
既设电路,ji'she'dian'lu
既设线路,ji'she'xian'lu
技术指标,ji'shu'zhi'biao
集中站,ji'zhong'zhan
加急,jia'ji
加急电话,jia'ji'dian'hua
架空电缆线路,jia'kong'dian'lan'xian'lu
简易信号通信,jian'yi'xin'hao'tong'xin
交换机,jiao'huan'ji
接力通信,jie'li'tong'xin
接力站,jie'li'zhan
接收,jie'shou
接收机,jie'shou'ji
紧急出联,jin'ji'chu'lian
警报,jing'bao
警报和报知通信,jing'bao'he'bao'zhi'tong'xin
警报通播网,jing'bao'tong'bo'wang
警报网,jing'bao'wang
静默,jing'mo
静止卫星,jing'zhi'wei'xing
救生电台,jiu'sheng'dian'tai
军内,jun'nei
军事邮件,jun'shi'you'jian
军外,jun'wai
军邮,jun'you
军邮分局,jun'you'fen'ju
军邮机构,jun'you'ji'gou
军邮局,jun'you'ju
军邮站,jun'you'zhan
抗干扰,kang'gan'rao
空炮协同通信,kong'pao'xie'tong'tong'xin
空中电波,kong'zhong'dian'bo
口令,kou'ling
快速通信,kuai'su'tong'xin
流星余迹,liu'xing'yu'ji
流星余迹通信,liu'xing'yu'ji'tong'xin
陆海协同通信,lu'hai'xie'tong'tong'xin
陆空协同通信,lu'kong'xie'tong'tong'xin
裸线,luo'xian
密化,mi'hua
明线,ming'xian
频带宽度,pin'dai'kuan'du
频率,pin'lv
频率固定,pin'lv'gu'ding
频率划分,pin'lv'hua'fen
频率稳定度,pin'lv'wen'ding'du
频率指配,pin'lv'zhi'pei
频谱,pin'pu
