泊金水库,bo'jin'shui'ku
才子嘉园,cai'zi'jia'yuan
曾家园,ceng'jia'yuan
长岭,chang'ling
长岭新村,chang'ling'xin'cun
长途汽车站,chang'tu'qi'che'zhan
城市星座,cheng'shi'xing'zuo
城西乡政府,cheng'xi'xiang'zheng'fu
崇岗,chong'gang
储运公司,chu'yun'gong'si
创业嘉园,chuang'ye'jia'yuan
春光,chun'guang
大桥,da'qiao
帝景豪苑,di'jing'hao'yuan
第五医院,di'wu'yi'yuan
东华理工,dong'hua'li'gong
东华理工北区,dong'hua'li'gong'bei'qu
东华理工大学,dong'hua'li'gong'da'xue
东洲村,dong'zhou'cun
东洲路口,dong'zhou'lu'kou
丰临医械,feng'lin'yi'xie
抚八线路口,fu'ba'xian'lu'kou
妇幼保健院,fu'you'bao'jian'yuan
抚州一中,fu'zhou'yi'zhong
抚州职业技术学校,fu'zhou'zhi'ye'ji'shu'xue'xiao
公交三场,gong'jiao'san'chang
翰城国际,han'cheng'guo'ji
瀚海龙蟠,han'hai'long'pan
翰海龙蟠,han'hai'long'pan
河西农机站,he'xi'nong'ji'zhan
鸿河山水人家,hong'he'shan'shui'ren'jia
洪客隆,hong'ke'long
洪亮阳光城,hong'liang'yang'guang'cheng
红旗桥,hong'qi'qiao
湖北村,hu'bei'cun
湖南乡,hu'nan'xiang
湖田,hu'tian
华东理工驾校,hua'dong'li'gong'jia'xiao
华艺服装,hua'yi'fu'zhuang
黄远山,huang'yuan'shan
荟萃中央,hui'cui'zhong'yang
回归园,hui'gui'yuan
火车站,huo'che'zhan
建材一区,jian'cai'yi'qu
建鼎华城,jian'ding'hua'cheng
江铃底盘,jiang'ling'di'pan
交警车管所,jiao'jing'che'guan'suo
交警一大队,jiao'jing'yi'da'dui
交通宾馆,jiao'tong'bin'guan
金安小区,jin'an'xiao'qu
金巢广场,jin'chao'guang'chang
金巢花园,jin'chao'hua'yuan
金崇开发区管委会,jin'chong'kai'fa'qu'guan'wei'hui
锦绣前程公寓,jin'xiu'qian'cheng'gong'yu
孔家桥头,kong'jia'qiao'tou
老底盘厂,lao'di'pan'chang
老剪子口,lao'jian'zi'kou
利群机械,li'qun'ji'xie
梁宪村,liang'xian'cun
临川大道路口,lin'chuan'da'dao'lu'kou
临川第一人民医院,lin'chuan'di'yi'ren'min'yi'yuan
临川九小,lin'chuan'jiu'xiao
临川汽车站,lin'chuan'qi'che'zhan
临川区医院,lin'chuan'qu'yi'yuan
临川三小,lin'chuan'san'xiao
临川十六中,lin'chuan'shi'liu'zhong
临川十中,lin'chuan'shi'zhong
临川四中,lin'chuan'si'zhong
临川新城,lin'chuan'xin'cheng
临川信用联社,lin'chuan'xin'yong'lian'she
临川信用社,lin'chuan'xin'yong'she
临川一中,lin'chuan'yi'zhong
临川一中新校区,lin'chuan'yi'zhong'xin'xiao'qu
灵谷峰,ling'gu'feng
流坊,liu'fang
马家山广场,ma'jia'shan'guang'chang
贸易广场,mao'yi'guang'chang
贸易广场汽车站,mao'yi'guang'chang'qi'che'zhan
梅岗,mei'gang
梦湖,meng'hu
梦湖商务宾馆,meng'hu'shang'wu'bin'guan
名都国际,ming'du'guo'ji
名仕家园,ming'shi'jia'yuan
南昌大学医学分院,nan'chang'da'xue'yi'xue'fen'yuan
南坊,nan'fang
南区,nan'qu
农科所,nong'ke'suo
鹏溪,peng'xi
平山,ping'shan
汽车站后门,qi'che'zhan'hou'men
区法院,qu'fa'yuan
区国税局,qu'guo'shui'ju
区检察院,qu'jian'cha'yuan
区五交化,qu'wu'jiao'hua
区武装部,qu'wu'zhuang'bu
人民公园,ren'min'gong'yuan
三中路口,san'zhong'lu'kou
畲塘,she'tang
市财政局,shi'cai'zheng'ju
市财政中心,shi'cai'zheng'zhong'xin
市地税局,shi'di'shui'ju
市电信公司,shi'dian'xin'gong'si
市二医院,shi'er'yi'yuan
石抚路口,shi'fu'lu'kou
市公交公司,shi'gong'jiao'gong'si
市疾控中心,shi'ji'kong'zhong'xin
市检察院,shi'jian'cha'yuan
市交警支队,shi'jiao'jing'zhi'dui
市劳动保障局,shi'lao'dong'bao'zhang'ju
市劳动和社会保障局,shi'lao'dong'he'she'hui'bao'zhang'ju
市联通公司,shi'lian'tong'gong'si
市六医院,shi'liu'yi'yuan
市审计局,shi'shen'ji'ju
市实验学校,shi'shi'yan'xue'xiao
市委党校,shi'wei'dang'xiao
市消防支队,shi'xiao'fang'zhi'dui
市新华书店,shi'xin'hua'shu'dian
市行政中心,shi'xing'zheng'zhong'xin
市移动公司,shi'yi'dong'gong'si
市一医院,shi'yi'yi'yuan
市邮政局,shi'you'zheng'ju
市中心血站,shi'zhong'xin'xue'zhan
市总工会,shi'zong'gong'hui
四眼井,si'yan'jing
汤显祖大剧院,tang'xian'zu'da'ju'yuan
汤显祖纪念馆,tang'xian'zu'ji'nian'guan
体育场,ti'yu'chang
体育路口,ti'yu'lu'kou
体育休闲广场,ti'yu'xiu'xian'guang'chang
未来城,wei'lai'cheng
五皇殿,wu'huang'dian
伍塘路口,wu'tang'lu'kou
西湖绿洲,xi'hu'lv'zhou
西门口,xi'men'kou
下保,xia'bao
消防支队,xiao'fang'zhi'dui
孝桥乡政府,xiao'qiao'xiang'zheng'fu
小商品市场,xiao'shang'pin'shi'chang
孝义亭,xiao'yi'ting
新城二期,xin'cheng'er'qi
新春园,xin'chun'yuan
新华书店,xin'hua'shu'dian
新剪子口,xin'jian'zi'kou
新时代材家居市场,xin'shi'dai'cai'jia'ju'shi'chang
新时代建材家居市场,xin'shi'dai'jian'cai'jia'ju'shi'chang
新时代建筑家居市场,xin'shi'dai'jian'zhu'jia'ju'shi'chang
学府世家,xue'fu'shi'jia
沿河路,yan'he'lu
羊城广场,yang'cheng'guang'chang
杨家,yang'jia
瑶坪湖花园,yao'ping'hu'hua'yuan
瑶山,yao'shan
医药公司,yi'yao'gong'si
印染厂,yin'ran'chang
迎宾大道路口,ying'bin'da'dao'lu'kou
游家,you'jia
玉茗路口,yu'ming'lu'kou
章舍路口,zhang'she'lu'kou
中医药高专附属医院,zhong'yi'yao'gao'zhuan'fu'shu'yi'yuan
中医药高专新校区,zhong'yi'yao'gao'zhuan'xin'xiao'qu
竹溪路口,zhu'xi'lu'kou
资溪工业园,zi'xi'gong'ye'yuan
