阿尔斯通,a'er'si'tong
按车次增加,an'che'ci'zeng'jia
按二等软座发售,an'er'deng'ruan'zuo'fa'shou
按二等座发售,an'er'deng'zuo'fa'shou
按规定,an'gui'ding
按规定不办理该站,an'gui'ding'bu'ban'li'gai'zhan
按哈尔滨站的里程计算,an'ha'er'bin'zhan'de'li'cheng'ji'suan
安庆铁路,an'qing'tie'lu
安庆线,an'qing'xian
按软座发售,an'ruan'zuo'fa'shou
鞍山火车迷俱乐部,an'shan'huo'che'mi'ju'le'bu
鞍山网,an'shan'wang
按实际乘车径路计算,an'shi'ji'cheng'che'jing'lu'ji'suan
按特等软座发售,an'te'deng'ruan'zuo'fa'shou
安西,an'xi
按线增加,an'xian'zeng'jia
按需加开临客,an'xu'jia'kai'lin'ke
按一等软座发售,an'yi'deng'ruan'zuo'fa'shou
按一等座发售,an'yi'deng'zuo'fa'shou
按硬座发售,an'ying'zuo'fa'shou
按站增加,an'zhan'zeng'jia
按最短径路计算,an'zui'duan'jing'lu'ji'suan
昂齐红,ang'qi'hong
昂榆红,ang'yu'hong
霸衡石郑宝,ba'heng'shi'zheng'bao
霸衡石郑兰,ba'heng'shi'zheng'lan
霸衡石郑西,ba'heng'shi'zheng'xi
霸津,ba'jin
霸津狼山锦,ba'jin'lang'shan'jin
霸津狼山沈,ba'jin'lang'shan'shen
霸庐,ba'lu
霸南,ba'nan
霸向,ba'xiang
霸向梁,ba'xiang'liang
霸向潭,ba'xiang'tan
白阿铁路,bai'a'tie'lu
白阿线,bai'a'xian
白贵,bai'gui
白和,bai'he
白和铁路,bai'he'tie'lu
白和线,bai'he'xian
摆式列车,bai'shi'lie'che
半包,ban'bao
版本,ban'ben
版本号,ban'ben'hao
半对,ban'dui
半价票,ban'jia'piao
办客,ban'ke
斑马,ban'ma
斑马条码打印机,ban'ma'tiao'ma'da'yin'ji
斑马制票机,ban'ma'zhi'piao'ji
板票,ban'piao
办事处,ban'shi'chu
蚌水淮,bang'shui'huai
包白,bao'bai
包白铁路,bao'bai'tie'lu
包白线,bao'bai'xian
包车,bao'che
包车停留费,bao'che'ting'liu'fei
宝成,bao'cheng
宝成成渝,bao'cheng'cheng'yu
宝成成渝铁路,bao'cheng'cheng'yu'tie'lu
宝成成渝线,bao'cheng'cheng'yu'xian
宝成铁路,bao'cheng'tie'lu
宝成线,bao'cheng'xian
包段,bao'duan
鲍尔,bao'er
包干武,bao'gan'wu
包干武吐,bao'gan'wu'tu
包裹,bao'guo
包环,bao'huan
包环铁路,bao'huan'tie'lu
包环线,bao'huan'xian
包昆,bao'kun
包兰,bao'lan
包兰铁路,bao'lan'tie'lu
包兰线,bao'lan'xian
宝漯,bao'luo
宝内,bao'nei
宝内六,bao'nei'liu
包神,bao'shen
包神铁路,bao'shen'tie'lu
包神铁路南段,bao'shen'tie'lu'nan'duan
包神线,bao'shen'xian
包神线南段,bao'shen'xian'nan'duan
包石,bao'shi
包石铁路,bao'shi'tie'lu
包石线,bao'shi'xian
包西,bao'xi
包西铁路,bao'xi'tie'lu
包西线,bao'xi'xian
包西线神钟段,bao'xi'xian'shen'zhong'duan
保险,bao'xian
保险费,bao'xian'fei
包厢,bao'xiang
包厢硬卧代座,bao'xiang'ying'wo'dai'zuo
包厢硬卧代座高速,bao'xiang'ying'wo'dai'zuo'gao'su
包厢硬卧代座快慢,bao'xiang'ying'wo'dai'zuo'kuai'man
包厢硬卧代座快速,bao'xiang'ying'wo'dai'zuo'kuai'su
包厢硬卧代座普客,bao'xiang'ying'wo'dai'zuo'pu'ke
包厢硬卧代座普快,bao'xiang'ying'wo'dai'zuo'pu'kuai
包厢硬卧代座特快,bao'xiang'ying'wo'dai'zuo'te'kuai
包厢硬卧代座直达,bao'xiang'ying'wo'dai'zuo'zhi'da
包厢硬卧代座准高,bao'xiang'ying'wo'dai'zuo'zhun'gao
包厢硬卧高速,bao'xiang'ying'wo'gao'su
包厢硬卧快慢,bao'xiang'ying'wo'kuai'man
包厢硬卧快速,bao'xiang'ying'wo'kuai'su
包厢硬卧普客,bao'xiang'ying'wo'pu'ke
包厢硬卧普快,bao'xiang'ying'wo'pu'kuai
包厢硬卧特快,bao'xiang'ying'wo'te'kuai
包厢硬卧直达,bao'xiang'ying'wo'zhi'da
包厢硬卧准高,bao'xiang'ying'wo'zhun'gao
宝徐,bao'xu
包硬,bao'ying
宝渝,bao'yu
宝渝贵,bao'yu'gui
宝郑,bao'zheng
宝中,bao'zhong
宝中铁路,bao'zhong'tie'lu
宝中线,bao'zhong'xian
北北尻,bei'bei'kao
北曹联络线,bei'cao'lian'luo'xian
北曹线,bei'cao'xian
备份经由,bei'fen'jing'you
备份与恢复,bei'fen'yu'hui'fu
北航,bei'hang
北行,bei'hang
北黑铁路,bei'hei'tie'lu
北黑线,bei'hei'xian
北环铁路,bei'huan'tie'lu
北环线,bei'huan'xian
北皇联络线,bei'huang'lian'luo'xian
北皇线,bei'huang'xian
