创建窗口,chuang'jian'chuang'kou
窗口取分层,chuang'kou'qu'fen'ceng
窗口取缓存图形,chuang'kou'qu'huan'cun'tu'xing
窗口取缓存位图,chuang'kou'qu'huan'cun'wei'tu
窗口刷新显示,chuang'kou'shua'xin'xian'shi
窗口置分层,chuang'kou'zhi'fen'ceng
合高低数,he'gao'di'shu
解析皮肤,jie'xi'pi'fu
解析素材,jie'xi'su'cai
解析字体,jie'xi'zi'ti
开启扩展接口,kai'qi'kuo'zhan'jie'kou
取低位,qu'di'wei
取高位,qu'gao'wei
生成皮肤,sheng'cheng'pi'fu
生成素材,sheng'cheng'su'cai
生成字体,sheng'cheng'zi'ti
元素本级消息,yuan'su'ben'ji'xiao'xi
元素捕获鼠标,yuan'su'bu'huo'shu'biao
元素尺寸同步,yuan'su'chi'cun'tong'bu
元素创建,yuan'su'chuang'jian
元素枚举父级元素,yuan'su'mei'ju'fu'ji'yuan'su
元素枚举子级元素,yuan'su'mei'ju'zi'ji'yuan'su
元素取标记,yuan'su'qu'biao'ji
元素取捕获元素,yuan'su'qu'bu'huo'yuan'su
元素取层次,yuan'su'qu'ceng'ci
元素取穿透,yuan'su'qu'chuan'tou
元素取顶边,yuan'su'qu'ding'bian
元素取父,yuan'su'qu'fu
元素取父级元素数,yuan'su'qu'fu'ji'yuan'su'shu
元素取高度,yuan'su'qu'gao'du
元素取光标,yuan'su'qu'guang'biao
元素取缓存位图,yuan'su'qu'huan'cun'wei'tu
元素取绘画模式,yuan'su'qu'hui'hua'mo'shi
元素取绘画图形,yuan'su'qu'hui'hua'tu'xing
元素取绘画位图,yuan'su'qu'hui'hua'wei'tu
元素取焦点,yuan'su'qu'jiao'dian
元素取焦点元素,yuan'su'qu'jiao'dian'yuan'su
元素取禁止,yuan'su'qu'jin'zhi
元素取矩形,yuan'su'qu'ju'xing
元素取可视,yuan'su'qu'ke'shi
元素取宽度,yuan'su'qu'kuan'du
元素取宽高,yuan'su'qu'kuan'gao
元素取事件指针,yuan'su'qu'shi'jian'zhi'zhen
元素取所在窗口,yuan'su'qu'suo'zai'chuang'kou
元素取透明度,yuan'su'qu'tou'ming'du
元素取尾层次,yuan'su'qu'wei'ceng'ci
元素取位置,yuan'su'qu'wei'zhi
元素取真实禁止,yuan'su'qu'zhen'shi'jin'zhi
元素取真实可视,yuan'su'qu'zhen'shi'ke'shi
元素取子级元素数,yuan'su'qu'zi'ji'yuan'su'shu
元素取组件类型,yuan'su'qu'zu'jian'lei'xing
元素取组件逻辑属性,yuan'su'qu'zu'jian'luo'ji'shu'xing
元素取组件所有属性,yuan'su'qu'zu'jian'suo'you'shu'xing
元素取组件文本属性,yuan'su'qu'zu'jian'wen'ben'shu'xing
元素取组件整数属性,yuan'su'qu'zu'jian'zheng'shu'shu'xing
元素取组件字节集属性,yuan'su'qu'zu'jian'zi'jie'ji'shu'xing
元素取左边,yuan'su'qu'zuo'bian
元素是否已创建,yuan'su'shi'fou'yi'chuang'jian
元素刷新到窗口,yuan'su'shua'xin'dao'chuang'kou
元素位置同步,yuan'su'wei'zhi'tong'bu
元素销毁,yuan'su'xiao'hui
元素置标记,yuan'su'zhi'biao'ji
元素置层次,yuan'su'zhi'ceng'ci
元素置穿透,yuan'su'zhi'chuan'tou
元素置顶边,yuan'su'zhi'ding'bian
元素置父,yuan'su'zhi'fu
元素置高度,yuan'su'zhi'gao'du
元素置光标,yuan'su'zhi'guang'biao
元素置绘画模式,yuan'su'zhi'hui'hua'mo'shi
元素置焦点,yuan'su'zhi'jiao'dian
元素置禁止,yuan'su'zhi'jin'zhi
元素置矩形,yuan'su'zhi'ju'xing
元素置可视,yuan'su'zhi'ke'shi
元素置宽度,yuan'su'zhi'kuan'du
元素置宽高,yuan'su'zhi'kuan'gao
元素置事件指针,yuan'su'zhi'shi'jian'zhi'zhen
元素置透明度,yuan'su'zhi'tou'ming'du
元素置位置,yuan'su'zhi'wei'zhi
元素置组件类型,yuan'su'zhi'zu'jian'lei'xing
元素置组件逻辑属性,yuan'su'zhi'zu'jian'luo'ji'shu'xing
元素置组件所有属性,yuan'su'zhi'zu'jian'suo'you'shu'xing
元素置组件文本属性,yuan'su'zhi'zu'jian'wen'ben'shu'xing
元素置组件整数属性,yuan'su'zhi'zu'jian'zheng'shu'shu'xing
元素置组件字节集属性,yuan'su'zhi'zu'jian'zi'jie'ji'shu'xing
元素置左边,yuan'su'zhi'zuo'bian
元素子级消息,yuan'su'zi'ji'xiao'xi
