半犁式转弯,ban'li'shi'zhuan'wan
超级大回转,chao'ji'da'hui'zhuan
大回转,da'hui'zhuan
单板横滑,dan'ban'heng'hua
单板斜划,dan'ban'xie'hua
横滑,heng'hua
横滑降,heng'hua'jiang
缆车,lan'che
犁式刹车,li'shi'sha'che
犁式制动,li'shi'zhi'dong
犁式转弯,li'shi'zhuan'wan
双板滑雪,shuang'ban'hua'xue
小回转,xiao'hui'zhuan
斜划,xie'hua
斜滑降,xie'hua'jiang
雪板,xue'ban
雪具,xue'ju
雪橇,xue'qiao
雪仗,xue'zhang
直板滑雪,zhi'ban'hua'xue
直式转弯,zhi'shi'zhuan'wan
直线滑降,zhi'xian'hua'jiang
