白虹剑,bai'hong'jian
白金点钢娥媚刺,bai'jin'dian'gang'e'mei'ci
白龙剑,bai'long'jian
背弩,bei'nu
碧磷针,bi'lin'zhen
碧水剑,bi'shui'jian
镔铁点钢穿,bin'tie'dian'gang'chuan
镔铁判官笔,bin'tie'pan'guan'bi
冰魄银针,bing'po'yin'zhen
蟾蜍毒砂,chan'chu'du'sha
穿心针,chuan'xin'zhen
打狗棒,da'gou'bang
大青,da'qing
点穴橛,dian'xue'jue
毒蟾砂,du'chan'sha
毒蒺藜,du'ji'li
独脚铜人,du'jiao'tong'ren
毒针环,du'zhen'huan
断魂蜈蚣镖,duan'hun'wu'gong'biao
鳄尾鞭,e'wei'bian
鳄嘴剪,e'zui'jian
飞蝗石,fei'huang'shi
飞燕银梭,fei'yan'yin'suo
附骨钉,fu'gu'ding
附骨针,fu'gu'zhen
芙蓉金针,fu'rong'jin'zhen
钢盾,gang'dun
鹤嘴笔,he'zui'bi
黑剑,hei'jian
黑血神针,hei'xue'shen'zhen
怀杖,huai'zhang
黄金杵,huang'jin'chu
回龙璧,hui'long'bi
极乐刺,ji'le'ci
剑盾珠索,jian'dun'zhu'suo
降魔杖,jiang'mo'zhang
金刚杵,jin'gang'chu
金铃索,jin'ling'suo
金龙鞭,jin'long'bian
金钱镖,jin'qian'biao
金蛇剑,jin'she'jian
金蛇锥,jin'she'zhui
金丝掌套,jin'si'zhang'tao
金蜈钩,jin'wu'gou
锯齿金刀,ju'chi'jin'dao
君子剑,jun'zi'jian
哭丧棒,ku'sang'bang
烂银虎头钩,lan'yin'hu'tou'gou
烂银小笔,lan'yin'xiao'bi
雷公轰,lei'gong'hong
雷震挡,lei'zhen'dang
冷月宝刀,leng'yue'bao'dao
炼心弹,lian'xin'dan
灵蛇短鞭,ling'she'duan'bian
鹿角杖,lu'jiao'zhang
绿波香露刀,lv'bo'xiang'lu'dao
蟒鞭,mang'bian
梅花镖,mei'hua'biao
墨剑,mo'jian
凝碧剑,ning'bi'jian
琵琶钉,pi'pa'ding
泼风大环刀,po'feng'da'huan'dao
破甲锥,po'jia'zhui
菩提子,pu'ti'zi
七绝针,qi'jue'zhen
七星钉,qi'xing'ding
轻盾,qing'dun
青蜂钉,qing'feng'ding
青铜杵,qing'tong'chu
青竹镖,qing'zhu'biao
柔丝索,rou'si'suo
软红珠索,ruan'hong'zhu'suo
闪电锥,shan'dian'zhui
石沉大海,shi'chen'da'hai
淑女剑,shu'nv'jian
天王补心针,tian'wang'bu'xin'zhen
铁蒺藜,tie'ji'li
铁桨,tie'jiang
铁莲子,tie'lian'zi
铁菱,tie'ling
铁灵牌,tie'ling'pai
铁琵琶,tie'pi'pa
铁菩提,tie'pu'ti
透骨锥,tou'gu'zhui
屠龙刀,tu'long'dao
屠牛刀,tu'niu'dao
驼剑,tuo'jian
蚊须针,wen'xu'zhen
吴钩剑,wu'gou'jian
无形钉,wu'xing'ding
五行轮,wu'xing'lun
无影神针,wu'ying'shen'zhen
西瓜流星锤,xi'gua'liu'xing'chui
仙都戒杀刀,xian'du'jie'sha'dao
小青,xiao'qing
蝎尾鞭,xie'wei'bian
蝎尾镖,xie'wei'biao
袖箭,xiu'jian
修罗刀,xiu'luo'dao
玄铁剑,xuan'tie'jian
血刀,xue'dao
雁翎刀,yan'ling'dao
药锄,yao'chu
倚天剑,yi'tian'jian
银管,yin'guan
银弧刀,yin'hu'dao
阴阳扇,yin'yang'shan
阴阳双刃,yin'yang'shuang'ren
玉蜂针,yu'feng'zhen
鸳鸯刀,yuan'yang'dao
枣核钉,zao'he'ding
招魂幡,zhao'hun'fan
真武剑,zhen'wu'jian
追命毒龙锥,zhui'ming'du'long'zhui
紫金八卦刀,zi'jin'ba'gua'dao
紫金刀,zi'jin'dao
紫薇软剑,zi'wei'ruan'jian
子午透骨钉,zi'wu'tou'gu'ding
