阿克尼,a'ke'ni
阿札割只,a'zha'ge'zhi
芭良,ba'liang
百工衙,bai'gong'ya
北大王院,bei'da'wang'yuan
北面官,bei'mian'guan
北洋通商大臣,bei'yang'tong'shang'da'chen
币制局,bi'zhi'ju
边务大臣,bian'wu'da'chen
卜大夫,bo'dai'fu
卜人,bo'ren
卜士,bo'shi
博闻师,bo'wen'shi
蕃学,bo'xue
卜尹,bo'yin
采山啬夫,cai'shan'se'fu
财政部,cai'zheng'bu
财政处,cai'zheng'chu
财政委员会,cai'zheng'wei'yuan'hui
骖乘,can'cheng
差遣院,chai'qian'yuan
常关,chang'guan
常侍郎,chang'shi'lang
朝内官,chao'nei'guan
朝内杂职官,chao'nei'za'zhi'guan
朝内正职官,chao'nei'zheng'zhi'guan
车令,che'ling
车正,che'zheng
成均监,cheng'jun'jian
乘马御,cheng'ma'yu
程谟,cheng'mo
崇福司,chong'fu'si
船政大臣,chuan'zheng'da'chen
春官,chun'guan
春官府,chun'guan'fu
春约,chun'yue
磋迈,cuo'mai
大国舅司,da'guo'jiu'si
大鸿胪,da'hong'lu
大阍,da'hun
大谏,da'jian
大林牙院,da'lin'ya'yuan
达鲁花赤,da'lu'hua'chi
大内令,da'nei'ling
大农,da'nong
大农令,da'nong'ling
大晟府,da'sheng'fu
大司农,da'si'nong
大司农司,da'si'nong'si
大田,da'tian
大王院,da'wang'yuan
大行令,da'xing'ling
大学院,da'xue'yuan
导淮委员会,dao'huai'wei'yuan'hui
道录司,dao'lu'si
德明,de'ming
登记司,deng'ji'si
地官,di'guan
地官府,di'guan'fu
敌烈麻都司,di'lie'ma'du'si
地政部,di'zheng'bu
地政署,di'zheng'shu
殿阁学士,dian'ge'xue'shi
典官,dian'guan
典客,dian'ke
典礼院,dian'li'yuan
典令,dian'ling
典起居注,dian'qi'ju'zhu
甸人,dian'ren
典瑞院,dian'rui'yuan
典属国,dian'shu'guo
电政大臣,dian'zheng'da'chen
鼎利,ding'li
鼎罗,ding'luo
丁拏,ding'na
冬官,dong'guan
冬官府,dong'guan'fu
东省,dong'sheng
都匠,dou'jiang
都水监,dou'shui'jian
都水台,dou'shui'tai
督办铁路大臣,du'ban'tie'lu'da'chen
督办盐政处,du'ban'yan'zheng'chu
阇里必,du'li'bi
度支部,du'zhi'bu
多君,duo'jun
多尹,duo'yin
法典编纂会,fa'dian'bian'zuan'hui
法律编查会,fa'lv'bian'cha'hui
汾祠署令丞,fen'ci'shu'ling'cheng
奉常,feng'chang
奉常寺,feng'chang'si
奉礼郎,feng'li'lang
副监,fu'jian
符节台,fu'jie'tai
府人,fu'ren
各关监督,ge'guan'jian'du
閤门司,ge'men'si
工部,gong'bu
宫观官,gong'guan'guan
工商部,gong'shang'bu
工巡总局,gong'xun'zong'ju
工尹,gong'yin
工正,gong'zheng
鼓吹局,gu'chui'ju
瞽宗,gu'zong
官告院,guan'gao'yuan
馆阁,guan'ge
管理英国退还庚款董事会,guan'li'ying'guo'tui'huan'geng'kuan'dong'shi'hui
广方言馆,guang'fang'yan'guan
广乐,guang'le
光禄寺,guang'lu'si
国舅别部,guo'jiu'bie'bu
国老,guo'lao
