哎哟费,ai'yo'fei
俺嗒的,an'da'de
俺么,an'me
爸不,ba'bu
八梗子,ba'geng'zi
把屎,ba'shi
板的了,ban'de'le
板给我,ban'gei'wo
包被儿,bao'bei'er
包被子,bao'bei'zi
逼打胡话,bi'da'hu'hua
边边线子,bian'bian'xian'zi
表生东西,biao'sheng'dong'xi
步绷,bu'beng
不吊卓,bu'diao'zhuo
不识字,bu'shi'zi
不照气,bu'zhao'qi
猜猜着,cai'cai'zhe
菜秧,cai'yang
菜秧儿,cai'yang'er
藏蒙蒙,cang'meng'meng
草对,cao'dui
叉个里,cha'ge'li
差心眼子,cha'xin'yan'zi
吵嘴,chao'zui
持鱼,chi'yu
吃约,chi'yue
揣一顿,chuai'yi'dun
吹牛比,chui'niu'bi
刺挠,ci'nao
茨钱,ci'qian
搓笑话,cuo'xiao'hua
打场的,da'chang'de
搭的,da'de
大芦棒子,da'lu'bang'zi
大芦食,da'lu'shi
大芦稀饭,da'lu'xi'fan
打平伙,da'ping'huo
打一顿,da'yi'dun
刀吃,dao'chi
倒赌子,dao'du'zi
刀旧,dao'jiu
倒劳食,dao'lao'shi
捣牢食,dao'lao'shi
蹬锅门,deng'guo'men
滴屎,di'shi
屌能,diao'neng
吊烧,diao'shao
爹滴,die'di
爹爹,die'die
豆革子,dou'ge'zi
毒怪,du'guai
多海得了,duo'hai'de'liao
二呗五,er'bai'wu
二五唠叨,er'wu'lao'dao
翻嘴子,fan'zui'zi
分鸽子,fen'ge'zi
分疙子,fen'ge'zi
粪机子,fen'ji'zi
夹肢窝,ga'zhi'wo
干摸地,gan'mo'di
干摩地汗,gan'mo'di'han
搞什么鬼,gao'shen'me'gui
戈拜子,ge'bai'zi
个逼养地,ge'bi'yang'di
各么的唉,ge'me'de'ai
个么滴,ge'me'di
搁着膜事,ge'zhe'mo'shi
给我秃地呢,gei'wo'tu'di'ne
更六,geng'liu
古大蒙,gu'da'meng
姑捏,gu'nie
乖乖龙涤东,guai'guai'long'di'dong
怪俊喽,guai'jun'lou
怪难吃了,guai'nan'chi'le
怪丧了,guai'sang'le
怪着,guai'zhao
锅不盖子,guo'bu'gai'zi
锅锅,guo'guo
锅屋,guo'wu
哈六叶子,ha'liu'ye'zi
海的了,hai'de'le
海得了,hai'de'liao
海掉了,hai'diao'le
海虾,hai'xia
海熊了,hai'xiong'le
好头,hao'tou
号意地,hao'yi'di
河边线子,he'bian'xian'zi
黑海的了,hei'hai'de'le
洪桥头,hong'qiao'tou
红雨妈么,hong'yu'ma'me
胡扯,hu'che
胡吊扯,hu'diao'che
湖砍六缺,hu'kan'liu'que
湖里,hu'li
忽你,hu'ni
花外子,hua'wai'zi
欢吉,huan'ji
缓正,huan'zheng
黄锒子,huang'lang'zi
活边险,huo'bian'xian
假马六离,jia'ma'liu'li
假滋,jia'zi
假资六离,jia'zi'liu'li
将才,jiang'cai
犟嘴,jiang'zui
角搭车子,jiao'da'che'zi
焦壳,jiao'ke
嚼舌根子,jiao'she'gen'zi
焦乙巴,jiao'yi'ba
焦已不,jiao'yi'bu
界黄子,jie'huang'zi
节六,jie'liu
金巴,jin'ba
金定,jin'ding
金光,jin'guang
精八,jing'ba
舅吉,jiu'ji
揪揪左左,jiu'jiu'zuo'zuo
觉搭车,jue'da'che
卡跌倒,ka'die'dao
卡破了,ka'po'le
侃空,kan'kong
砍老堆,kan'lao'dui
剋饭,ke'fan
可管经,ke'guan'jing
磕头溜子,ke'tou'liu'zi
磕头子,ke'tou'zi
剋仗,ke'zhang
坑得了卖,keng'de'liao'mai
苦不到钱,ku'bu'dao'qian
苦侠子,ku'xia'zi
苦咸,ku'xian
苦咸地,ku'xian'di
拉灯,la'deng
癞股子,lai'gu'zi
烂骚泥,lan'sao'ni
狼不猪,lang'bu'zhu
老逼老吊,lao'bi'lao'diao
捞不到,lao'bu'dao
捞害,lao'hai
老马么,lao'ma'me
老猫及子,lao'mao'ji'zi
老太特,lao'tai'te
愣子,leng'zi
历嗨,li'hai
撂好了,liao'hao'le
遛班晚着,liu'ban'wan'zhe
留细,liu'xi
六页着,liu'ye'zhe
六叶子,liu'ye'zi
六噎子,liu'ye'zi
乱遭,luan'zao
妈么,ma'me
马蜻蜓,ma'qing'ting
马猩猩,ma'xing'xing
茅厕,mao'ce
茅次缸,mao'ci'gang
毛疙子,mao'ge'zi
猫急子,mao'ji'zi
卯票子,mao'piao'zi
魅浮子,mei'fu'zi
美两天子,mei'liang'tian'zi
眯一会,mi'yi'hui
米油子,mi'you'zi
摸不了,mo'bu'liao
摸摸了,mo'mo'le
母家,mu'jia
木么家,mu'me'jia
木先,mu'xian
那吃那挖,na'chi'na'wa
哪吃哪挖,na'chi'na'wa
哪孩个,na'hai'ge
那黄子,na'huang'zi
拿集,na'ji
拿急,na'ji
哪拧个,na'ning'ge
奶呢,nai'ne
孬熊,nao'xiong
拧嘎嘎,ning'ga'ga
徘死的了,pai'si'de'le
螃海,pang'hai
跑奔着,pao'ben'zhe
屁头子,pi'tou'zi
漂亮海的了,piao'liang'hai'de'le
瓢片了,piao'pian'le
瓶叉子,ping'cha'zi
濮的了,pu'de'le
铅疙子,qian'ge'zi
枪才,qiang'cai
呛强,qiang'qiang
枪强,qiang'qiang
瞧病,qiao'bing
锹奇,qiao'qi
庆你,qing'ni
日簇人,ri'cu'ren
日逮,ri'dai
日歹,ri'dai
日个冷灯,ri'ge'leng'deng
日艳,ri'yan
日厌,ri'yan
日烟的样,ri'yan'de'yang
森人,sen'ren
森疼地,sen'teng'di
晒叼根子,shai'diao'gen'zi
晌佛,shang'fo
晌付,shang'fu
上该,shang'gai
晌新着,shang'xin'zhe
晌新子,shang'xin'zi
烧锅,shao'guo
少页肺,shao'ye'fei
糁人,shen'ren
盛人,sheng'ren
时代超市,shi'dai'chao'shi
十三点,shi'san'dian
手扶子,shou'fu'zi
手捏子,shou'nie'zi
手情聂子,shou'qing'nie'zi
手只盖子,shou'zhi'gai'zi
舒谈,shu'tan
摔漂片得了,shuai'piao'pian'de'liao
泗洪,si'hong
泗洪垓,si'hong'gai
泗洪论坛,si'hong'lun'tan
泗州,si'zhou
宿迁市,su'qian'shi
酸不留鸡的,suan'bu'liu'ji'de
太影,tai'ying
堂灰,tang'hui
掏一气,tao'yi'qi
疼囔子,teng'nang'zi
天擦黑,tian'ca'hei
甜地吼人,tian'di'hou'ren
条把,tiao'ba
条实,tiao'shi
土疙得,tu'ge'de
土磕了,tu'ke'le
秃人,tu'ren
妥尸,tuo'shi
哇哇五五,wa'wa'wu'wu
挖挖五五,wa'wa'wu'wu
外爹滴,wai'die'di
外奶呢,wai'nai'ne
晚新着,wan'xin'zhe
晚新子,wan'xin'zi
我地各亲乖,wo'di'ge'qin'guai
卧了,wo'le
窝年人,wo'nian'ren
无国录出,wu'guo'lu'chu
无七六受,wu'qi'liu'shou
乌漆吗姑,wu'qi'ma'gu
乌其妈黑,wu'qi'ma'hei
瞎搓滴,xia'cuo'di
瞎吊操,xia'diao'cao
瞎叼撤,xia'diao'che
瞎合实,xia'he'shi
下湖,xia'hu
瞎讲,xia'jiang
响忽,xiang'hu
乡下土痞子,xiang'xia'tu'pi'zi
小锛,xiao'ben
小表森子,xiao'biao'sen'zi
小裱子,xiao'biao'zi
小大姐,xiao'da'jie
小闺捏,xiao'gui'nie
小芦食,xiao'lu'shi
小芦十,xiao'lu'shi
小魅,xiao'mei
小年幼滴,xiao'nian'you'di
小猪秧子,xiao'zhu'yang'zi
写酒,xie'jiu
楔你,xie'ni
楔你个,xie'ni'ge
鞋拖子,xie'tuo'zi
熊囊的,xiong'nang'de
熊囊样,xiong'nang'yang
熊人,xiong'ren
旭迁,xu'qian
宣超地,xuan'chao'di
血咯拉喳,xue'ge'la'zha
舀子,yao'zi
一觉,yi'jiao
一觉牌死拟,yi'jiao'pai'si'ni
意了嘛增,yi'le'ma'zeng
姨捏,yi'nie
油鬼,you'gui
有年人,you'nian'ren
约出来,yue'chu'lai
约十,yue'shi
早新着,zao'xin'zhe
早新子,zao'xin'zi
渣不朗腿,zha'bu'lang'tui
扎不六手,zha'bu'liu'shou
照坏,zhao'huai
真来四,zhen'lai'si
真三似的,zhen'san'shi'de
周正,zhou'zheng
猪秧子,zhu'yang'zi
转头六子,zhuan'tou'liu'zi
砖头瘤子,zhuan'tou'liu'zi
砖头楔,zhuan'tou'xie
装鬼,zhuang'gui
滋么,zi'me
纵雕戴,zong'diao'dai
祖奶奶,zu'nai'nai
纂地,zuan'di
攥我,zuan'wo
