阿妈,a'ma
俺爸,an'ba
俺妈,an'ma
百足之虫,bai'zu'zhi'chong
扮猪吃虎,ban'zhu'chi'hu
暴退,bao'tui
抱元守一,bao'yuan'shou'yi
敝帮,bi'bang
逼得,bi'de
敝盟,bi'meng
敝派,bi'pai
不舍得,bu'she'de
不相及,bu'xiang'ji
长篇,chang'pian
楚江王,chu'jiang'wang
出指,chu'zhi
纯武侠,chun'wu'xia
催稿,cui'gao
大半夜,da'ban'ye
打发,da'fa
大闺女,da'gui'nv
大铁枪,da'tie'qiang
带挈,dai'qie
丹术,dan'shu
刀芒,dao'mang
道派,dao'pai
得罪,de'zui
蝶花盟,die'hua'meng
都市王,du'shi'wang
短篇,duan'pian
方兴未艾,fang'xing'wei'ai
飞奔,fei'ben
肤浅,fu'qian
负手,fu'shou
福缘深厚,fu'yuan'shen'hou
干系,gan'xi
刚愎,gang'bi
够劲,gou'jin
棺木,guan'mu
国主,guo'zhu
寒心,han'xin
合卺酒,he'jin'jiu
何在,he'zai
横生,heng'sheng
厚厚,hou'hou
饥餐渴饮,ji'can'ke'yin
假死,jia'si
剑柄,jian'bing
坚定,jian'ding
截教,jie'jiao
尽皆,jin'jie
金樽对月,jin'zun'dui'yue
惊惶,jing'huang
久等,jiu'deng
俱通,ju'tong
口角,kou'jiao
两女,liang'nv
灵珠,ling'zhu
没敢,mei'gan
没事,mei'shi
蓦得,mo'de
蓦地,mo'di
墨门,mo'men
魔由心生,mo'you'xin'sheng
穆贝德,mu'bei'de
穆护,mu'hu
暮宿晓行,mu'su'xiao'xing
妮子,ni'zi
偶染风寒,ou'ran'feng'han
拍断,pai'duan
皮裘,pi'qiu
平等王,ping'deng'wang
千夫长,qian'fu'chang
强抢民女,qiang'qiang'min'nv
秦广王,qin'guang'wang
轻功,qing'gong
清闲,qing'xian
觑准,qu'zhun
全是,quan'shi
儒以文非今,ru'yi'wen'fei'jin
三江阁,san'jiang'ge
上坟,shang'fen
商榷,shang'que
是不是,shi'bu'shi
事端,shi'duan
世间,shi'jian
世事,shi'shi
倏得,shu'de
倏地,shu'di
谁知,shui'zhi
死而不僵,si'er'bu'jiang
四姐,si'jie
四妹,si'mei
随即,sui'ji
抬杠,tai'gang
檀中,tan'zhong
天赋秉异,tian'fu'bing'yi
天赋异秉,tian'fu'yi'bing
填坑,tian'keng
徒儿,tu'er
晚辈,wan'bei
未尝,wei'chang
文风,wen'feng
武版,wu'ban
物事,wu'shi
侠以武犯禁,xia'yi'wu'fan'jin
纤细,xian'xi
想必,xiang'bi
小腹,xiao'fu
虚与委蛇,xu'yu'wei'yi
玄衣,xuan'yi
阳跷脉,yang'qiao'mai
阳维脉,yang'wei'mai
一辈子,yi'bei'zi
一遍,yi'bian
一柄,yi'bing
疑兵之计,yi'bing'zhi'ji
一部分,yi'bu'fen
一丁点,yi'ding'dian
一回事,yi'hui'shi
一模一样,yi'mu'yi'yang
一时间,yi'shi'jian
阴跷脉,yin'qiao'mai
阴维脉,yin'wei'mai
有仇报仇,you'chou'bao'chou
油尽灯枯,you'jin'deng'ku
有用,you'yong
有冤报冤,you'yuan'bao'yuan
御下不严,yu'xia'bu'yan
渊停岳峙,yuan'ting'yue'zhi
元婴,yuan'ying
在侧,zai'ce
湛卢,zhan'lu
毡毯,zhan'tan
着急,zhao'ji
阵子,zhen'zi
正宫,zheng'gong
支绌,zhi'chu
值夜,zhi'ye
转轮王,zhuan'lun'wang
赚便宜,zhuan'pian'yi
