昂热,ang're
奥丁,ao'ding
奥丁之渊,ao'ding'zhi'yuan
白王,bai'wang
邦达列夫,bang'da'lie'fu
陈墨瞳,chen'mo'tong
楚子航,chu'zi'hang
纯血龙族,chun'xue'long'zu
村雨,cun'yu
大地与山之王,da'di'yu'shan'zhi'wang
狄克推多,di'ke'tui'duo
芬格尔,fen'ge'er
芬里厄,fen'li'e
风间琉璃,feng'jian'liu'li
风魔小太郎,feng'mo'xiao'tai'lang
高天原,gao'tian'yuan
宫本志雄,gong'ben'zhi'xiong
海洋与水之王,hai'yang'yu'shui'zhi'wang
赫尔佐格,he'er'zuo'ge
黑王,hei'wang
黑月之潮,hei'yue'zhi'chao
黄金瞳,huang'jin'tong
混血种,hun'xue'zhong
火之晨曦,huo'zhi'chen'xi
加图索,jia'tu'suo
江南,jiang'nan
酒德麻衣,jiu'de'ma'yi
酒德亚纪,jiu'de'ya'ji
橘政宗,ju'zheng'zong
凯撒,kai'sa
凯撒加图索,kai'sa'jia'tu'suo
康斯坦丁,kang'si'tan'ding
雷娜塔,lei'na'ta
列宁号,lie'ning'hao
龙蛋,long'dan
龙马弦一郎,long'ma'xian'yi'lang
龙族,long'zu
路明非,lu'ming'fei
路鸣泽,lu'ming'ze
猛鬼众,meng'gui'zhong
秘党,mi'dang
魔鬼路鸣泽,mo'gui'lu'ming'ze
南叔,nan'shu
尼德霍格,ni'de'huo'ge
诺顿,nuo'dun
诺诺,nuo'nuo
青铜与火之王,qing'tong'yu'huo'zhi'wang
犬山贺,quan'shan'he
三无妞,san'wu'niu
上杉绘梨衣,shang'shan'hui'li'yi
上杉越,shang'shan'yue
蛇岐八家,she'qi'ba'jia
神葬所,shen'zang'suo
四大君主,si'da'jun'zhu
死侍,si'shi
苏恩曦,su'en'xi
苏茜,su'qian
天空与风之王,tian'kong'yu'feng'zhi'wang
天照命,tian'zhao'ming
夏弥,xia'mi
须佐之男命,xu'zuo'zhi'nan'ming
血之衰,xue'zhi'shuai
言灵,yan'ling
言灵不要死,yan'ling'bu'yao'si
言灵风王之瞳,yan'ling'feng'wang'zhi'tong
言灵君焰,yan'ling'jun'yan
言灵镰鼬,yan'ling'lian'you
言灵审判,yan'ling'shen'pan
言灵时间零,yan'ling'shi'jian'ling
言灵湿婆业舞,yan'ling'shi'po'ye'wu
言灵王权,yan'ling'wang'quan
言灵吸血镰,yan'ling'xi'xue'lian
耶梦加得,ye'meng'jia'de
叶胜,ye'sheng
樱井七海,ying'jing'qi'hai
攸亡者之瞳,you'wang'zhe'zhi'tong
御神刀村雨,yu'shen'dao'cun'yu
源稚女,yuan'zhi'nv
源稚生,yuan'zhi'sheng
月读命,yue'du'ming
