暗裥袋,an'jian'dai
摆衩,bai'cha
摆缝,bai'feng
背衩,bei'cha
背缝,bei'feng
背开衩,bei'kai'cha
背中缝,bei'zhong'feng
蝙蝠袖,bian'fu'xiu
驳口,bo'kou
驳头川,bo'tou'chuan
侧摆衩,ce'bai'cha
侧缝,ce'feng
插袋,cha'dai
衬衫领,chen'shan'ling
衬衫袖,chen'shan'xiu
衬衫袖口,chen'shan'xiu'kou
串口,chuan'kou
搭门,da'men
大袖,da'xiu
袋盖,dai'gai
袋爿袋,dai'pan'dai
单排扣,dan'pai'kou
单嵌线袋,dan'qian'xian'dai
刀背缝,dao'bei'feng
倒挂领,dao'gua'ling
灯笼袖,deng'long'xiu
底边,di'bian
底领,di'ling
吊袋,diao'dai
吊袢,diao'pan
肚省,du'sheng
耳朵皮,er'duo'pi
翻脚口,fan'jiao'kou
翻领,fan'ling
翻门襟,fan'men'jin
方领,fang'ling
方领口,fang'ling'kou
风琴袋,feng'qin'dai
挂面,gua'mian
滚条,gun'tiao
滚眼,gun'yan
海军领,hai'jun'ling
荷叶边领,he'ye'bian'ling
横裆,heng'dang
后搭门,hou'da'men
后裆缝,hou'dang'feng
后肩省,hou'jian'sheng
后领省,hou'ling'sheng
后袖缝,hou'xiu'feng
后腰省,hou'yao'sheng
后育克,hou'yu'ke
花瓣袖,hua'ban'xiu
化纤服装,hua'xian'fu'zhuang
鸡心领口,ji'xin'ling'kou
茄克,jia'ke
肩缝,jian'feng
肩宽,jian'kuan
尖领,jian'ling
肩袢,jian'pan
脚口折边,jiao'kou'zhe'bian
锯齿形里袋,ju'chi'xing'li'dai
卡袋,ka'dai
开袋,kai'dai
扣位,kou'wei
扣眼,kou'yan
裤裥,ku'jian
裤脚口,ku'jiao'kou
裤腰省,ku'yao'sheng
喇叭袖,la'ba'xiu
里袋,li'dai
里襟,li'jin
立领,li'ling
连肩袖,lian'jian'xiu
连袖,lian'xiu
两用领,liang'yong'ling
领豁口,ling'huo'kou
领里口,ling'li'kou
领袢,ling'pan
领上口,ling'shang'kou
领省,ling'sheng
领外口,ling'wai'kou
领窝,ling'wo
领下口,ling'xia'kou
领嘴,ling'zui
罗纹袖口,luo'wen'xiu'kou
毛呢服装,mao'ni'fu'zhuang
门襟,men'jin
棉布服装,mian'bu'fu'zhuang
明裥袋,ming'jian'dai
泡泡袖,pao'pao'xiu
平驳头,ping'bo'tou
前过肩,qian'guo'jian
前肩省,qian'jian'sheng
前袖缝,qian'xiu'feng
前腰省,qian'yao'sheng
前圆后连袖,qian'yuan'hou'lian'xiu
戗驳头,qiang'bo'tou
青果领,qing'guo'ling
裘革服装,qiu'ge'fu'zhuang
裙裥,qun'jian
裙腰省,qun'yao'sheng
人造毛皮服装,ren'zao'mao'pi'fu'zhuang
上裆,shang'dang
手巾袋,shou'jin'dai
双排扣,shuang'pai'kou
双嵌线袋,shuang'qian'xian'dai
双袖头,shuang'xiu'tou
丝绸服装,si'chou'fu'zhuang
塔克,ta'ke
烫迹线,tang'ji'xian
贴袋,tie'dai
通省,tong'sheng
通天落地省,tong'tian'luo'di'sheng
下摆,xia'bai
下裆缝,xia'dang'feng
下翻折点,xia'fan'zhe'dian
线袢,xian'pan
橡皮筋袖口,xiang'pi'jin'xiu'kou
小裆缝,xiao'dang'feng
小袖,xiao'xiu
胸部,xiong'bu
袖衩条,xiu'cha'tiao
袖开衩,xiu'kai'cha
袖口,xiu'kou
袖窿,xiu'long
袖袢,xiu'pan
袖头,xiu'tou
袖中缝,xiu'zhong'feng
压条,ya'tiao
眼镜袋,yan'jing'dai
眼距,yan'ju
燕子领,yan'zi'ling
腰带,yao'dai
腰缝,yao'feng
腰节,yao'jie
腰里,yao'li
腰袢,yao'pan
腰上口,yao'shang'kou
腰头,yao'tou
腋下省,ye'xia'sheng
一字领口,yi'zi'ling'kou
育克,yu'ke
羽绒服装,yu'rong'fu'zhuang
圆领,yuan'ling
圆领口,yuan'ling'kou
圆袖,yuan'xiu
扎结领,zha'jie'ling
止口,zhi'kou
止口圆角,zhi'kou'yuan'jiao
中裆,zhong'dang
中缝连袖,zhong'feng'lian'xiu
中山服领,zhong'shan'fu'ling
中式领,zhong'shi'ling
字领口,zi'ling'kou
总后过肩,zong'hou'guo'jian
