安眠,an'mian
安眠穴,an'mian'xue
八风,ba'feng
八风穴,ba'feng'xue
八会穴,ba'hui'xue
八邪,ba'xie
八邪穴,ba'xie'xue
百虫窝,bai'chong'wo
百虫窝穴,bai'chong'wo'xue
白环俞,bai'huan'yu
白环俞穴,bai'huan'yu'xue
百会,bai'hui
百会穴,bai'hui'xue
胞肓,bao'huang
胞肓穴,bao'huang'xue
背俞穴,bei'shu'xue
贲门,ben'men
本神,ben'shen
本神穴,ben'shen'xue
髀关,bi'guan
髀关穴,bi'guan'xue
臂臑,bi'nao
臂臑穴,bi'nao'xue
便秘点,bian'mi'dian
扁桃,bian'tao
扁桃体,bian'tao'ti
秉风,bing'feng
秉风穴,bing'feng'xue
补法,bu'fa
步廊,bu'lang
步廊穴,bu'lang'xue
不容,bu'rong
不容穴,bu'rong'xue
补泻,bu'xie
长强,chang'qiang
长强穴,chang'qiang'xue
承扶,cheng'fu
承扶穴,cheng'fu'xue
承光,cheng'guang
承光穴,cheng'guang'xue
承浆,cheng'jiang
承浆穴,cheng'jiang'xue
承筋,cheng'jin
承筋穴,cheng'jin'xue
承灵,cheng'ling
承灵穴,cheng'ling'xue
承满,cheng'man
承满穴,cheng'man'xue
承泣,cheng'qi
承泣穴,cheng'qi'xue
承山,cheng'shan
承山穴,cheng'shan'xue
瘛脉,chi'mai
瘛脉穴,chi'mai'xue
尺泽,chi'ze
尺泽穴,chi'ze'xue
冲门,chong'men
冲门穴,chong'men'xue
冲阳,chong'yang
冲阳穴,chong'yang'xue
垂前,chui'qian
次髎,ci'liao
次髎穴,ci'liao'xue
攒竹,cuan'zhu
攒竹穴,cuan'zhu'xue
大包,da'bao
大包穴,da'bao'xue
大肠,da'chang
大肠经,da'chang'jing
大肠俞穴,da'chang'shu'xue
大肠俞,da'chang'yu
大都,da'dou
大都穴,da'dou'xue
大敦,da'dun
大敦穴,da'dun'xue
大骨空,da'gu'kong
大骨空穴,da'gu'kong'xue
大赫,da'he
大赫穴,da'he'xue
大横,da'heng
大横穴,da'heng'xue
大巨,da'ju
