保宁路,bao'ning'lu
保宁西路,bao'ning'xi'lu
保险公司,bao'xian'gong'si
北岳庙村,bei'yue'miao'cun
财政局,cai'zheng'ju
草海则新区,cao'hai'ze'xin'qu
长乐路,chang'le'lu
长庆采气二厂,chang'qing'cai'qi'er'chang
长途汽车北站,chang'tu'qi'che'bei'zhan
长途汽车站,chang'tu'qi'che'zhan
氮肥厂,dan'fei'chang
第二幼儿园,di'er'you'er'yuan
电管局,dian'guan'ju
电力工委,dian'li'gong'wei
东沙医院,dong'sha'yi'yuan
东岳路,dong'yue'lu
二毛纺厂,er'mao'fang'chang
二毛纺厂西门,er'mao'fang'chang'xi'men
福利院,fu'li'yuan
公交公司,gong'jiao'gong'si
工商银行,gong'shang'yin'hang
古城中路,gu'cheng'zhong'lu
谷地峁村,gu'di'mao'cun
广济大厦,guang'ji'da'sha
广榆巷,guang'yu'xiang
国道,guo'dao
郭家伙场,guo'jia'huo'chang
国税局加气站,guo'shui'ju'jia'qi'zhan
好日子购物广场,hao'ri'zi'gou'wu'guang'chang
华栋中学,hua'dong'zhong'xue
环保局,huan'bao'ju
惠丰小区,hui'feng'xiao'qu
荟景家园,hui'jing'jia'yuan
火车站,huo'che'zhan
贾家河村,jia'jia'he'cun
加气站,jia'qi'zhan
建安路,jian'an'lu
建榆路,jian'yu'lu
交警二大队,jiao'jing'er'da'dui
交通工程公司,jiao'tong'gong'cheng'gong'si
金花购物广场,jin'hua'gou'wu'guang'chang
军分区,jun'fen'qu
开发区电厂,kai'fa'qu'dian'chang
开发区管委会,kai'fa'qu'guan'wei'hui
开光路,kai'guang'lu
凯信大厦,kai'xin'da'sha
康复医院,kang'fu'yi'yuan
科技示范园,ke'ji'shi'fan'yuan
凌霄广场,ling'xiao'guang'chang
柳营路,liu'ying'lu
麻地湾,ma'di'wan
麻地湾驾校,ma'di'wan'jia'xiao
马家圪堵,ma'jia'ge'du
马家圪堵乡,ma'jia'ge'du'xiang
马家峁乡,ma'jia'mao'xiang
民生建司,min'sheng'jian'si
明珠大道,ming'zhu'da'dao
牛家梁乡,niu'jia'liang'xiang
农场,nong'chang
农科所,nong'ke'suo
农垦砖厂,nong'ken'zhuan'chang
芹河乡政府,qin'he'xiang'zheng'fu
芹建路,qin'jian'lu
芹涧路,qin'jian'lu
芹涧路口,qin'jian'lu'kou
青山路,qing'shan'lu
青山西路,qing'shan'xi'lu
青云乡政府,qing'yun'xiang'zheng'fu
区党校,qu'dang'xiao
区法院,qu'fa'yuan
区检查院,qu'jian'cha'yuan
区运管所,qu'yun'guan'suo
人民路,ren'min'lu
三岔湾,san'cha'wan
三岔湾村,san'cha'wan'cun
沙河加气站,sha'he'jia'qi'zhan
沙河路口,sha'he'lu'kou
神煤炭公司,shen'mei'tan'gong'si
圣邦工贸,sheng'bang'gong'mao
市财政局,shi'cai'zheng'ju
市发改,shi'fa'gai
市发改委,shi'fa'gai'wei
市公安局,shi'gong'an'ju
世纪广场,shi'ji'guang'chang
市交通局,shi'jiao'tong'ju
食品厂家属院,shi'pin'chang'jia'shu'yuan
食品公司家属院,shi'pin'gong'si'jia'shu'yuan
市人大,shi'ren'da
市人大保宁路,shi'ren'da'bao'ning'lu
市委家属院,shi'wei'jia'shu'yuan
市一中,shi'yi'zhong
市运管处,shi'yun'guan'chu
水利商场,shui'li'shang'chang
水泥制管厂,shui'ni'zhi'guan'chang
水掌村,shui'zhang'cun
四小操场,si'xiao'cao'chang
苏州中学,su'zhou'zhong'xue
苏庄则路口,su'zhuang'ze'lu'kou
苏庄则新区,su'zhuang'ze'xin'qu
天然气化工厂,tian'ran'qi'hua'gong'chang
天然气化工厂家属院,tian'ran'qi'hua'gong'chang'jia'shu'yuan
跳沟村,tiao'gou'cun
头道河则,tou'dao'he'ze
望湖东路,wang'hu'dong'lu
王家楼,wang'jia'lou
王家楼村,wang'jia'lou'cun
文化路,wen'hua'lu
文化路小学,wen'hua'lu'xiao'xue
五金厂,wu'jin'chang
无量殿,wu'liang'dian
西部三辰建材市场,xi'bu'san'chen'jian'cai'shi'chang
校场路,xiao'chang'lu
新建北路,xin'jian'bei'lu
新楼下巷,xin'lou'xia'xiang
新楼巷,xin'lou'xiang
新榆林中学,xin'yu'lin'zhong'xue
幸福家园,xing'fu'jia'yuan
幸福路,xing'fu'lu
兴中路,xing'zhong'lu
宣沟,xuan'gou
烟草公司,yan'cao'gong'si
阳光广场,yang'guang'guang'chang
阳光汽贸,yang'guang'qi'mao
羊毛衫厂,yang'mao'shan'chang
医科所,yi'ke'suo
艺术团,yi'shu'tuan
永济桥,yong'ji'qiao
邮电大楼,you'dian'da'lou
友谊北路,you'yi'bei'lu
友谊南路,you'yi'nan'lu
榆卜界,yu'bu'jie
榆佳路,yu'jia'lu
榆靖高速收费站,yu'jing'gao'su'shou'fei'zhan
榆林二中,yu'lin'er'zhong
榆林建设局,yu'lin'jian'she'ju
榆林林校,yu'lin'lin'xiao
榆林六小,yu'lin'liu'xiao
榆林七中,yu'lin'qi'zhong
榆林小吃街,yu'lin'xiao'chi'jie
榆林学院,yu'lin'xue'yuan
榆林学院附中,yu'lin'xue'yuan'fu'zhong
榆林学院小区,yu'lin'xue'yuan'xiao'qu
榆兴桥,yu'xing'qiao
榆阳区党校,yu'yang'qu'dang'xiao
榆阳区电视台,yu'yang'qu'dian'shi'tai
榆阳区委,yu'yang'qu'wei
鸳鸯湖公园,yuan'yang'hu'gong'yuan
张家湾村,zhang'jia'wan'cun
镇北台,zhen'bei'tai
郑家川,zheng'jia'chuan
治沙所,zhi'sha'suo
中行,zhong'hang
钟楼下巷,zhong'lou'xia'xiang
钟楼巷,zhong'lou'xiang
中医院,zhong'yi'yuan
