挨黑息儿,ai'hei'xi'er
巴巴,ba'ba
柏杨,bai'yang
棒老二,bang'lao'er
包鸡壳,bao'ji'ke
包皮,bao'pi
背时,bei'shi
背万年时,bei'wan'nian'shi
钵钵,bo'bo
簸箕,bo'ji
不说哒,bu'shuo'da
才将,cai'jiang
差火,cha'huo
铲他,chan'ta
炒炮炮,chao'pao'pao
扯拐,che'guai
扯锅巴担,che'guo'ba'dan
扯卵谈,che'luan'tan
虫生儿,chong'sheng'er
蜍蜍儿,chu'chu'er
攒劲,cuan'jing
撮箕,cuo'ji
搓一邓,cuo'yi'deng
打板儿,da'ban'er
搭谷子,da'gu'zi
打光懂胴,da'guang'dong'dong
打毛线衣,da'mao'xian'yi
打咪功,da'mi'gong
达爬扑,da'pa'pu
打三朝,da'san'zhao
哒哟,da'yo
哒捉,da'zhuo
搭坐斗,da'zuo'dou
歹饭,dai'fan
当门,dang'men
倒拐子,dao'guai'zi
嘚包儿,de'bao'er
等我把饭奇哒捉,deng'wo'ba'fan'qi'da'zhuo
电水,dian'shui
掉鼻龙,diao'bi'long
叼持,diao'chi
叼二不像滴,diao'er'bu'xiang'di
掉眼睛水儿,diao'yan'jing'shui'er
东城,dong'cheng
兜兜夹,dou'dou'jia
逗是,dou'shi
逗是嘞们格,dou'shi'lei'men'ge
逗是哦,dou'shi'o
都亭,dou'ting
短命儿,duan'ming'er
短命秧秧儿,duan'ming'yang'yang'er
饿老鹚,e'lao'ci
屙尿,e'niao
饿着哒,e'zhe'da
儿哄,er'hong
二皇二慌,er'huang'er'huang
二麻二麻滴,er'ma'er'ma'di
方子,fang'zi
粪舀子,fen'yao'zi
凤鸡巴,feng'ji'ba
蜂子,feng'zi
浮澡儿,fu'zao'er
嘎嘎,ga'ga
赶场,gan'chang
赶生,gan'sheng
岗岗儿,gang'gang'er
告花儿,gao'hua'er
搞凉哒,gao'liang'da
搞么子,gao'me'zi
各不行哒,ge'bu'xing'da
鼓捣起,gu'dao'qi
鼓迷日眼,gu'mi'ri'yan
姑娘家,gu'niang'jia
姑娘客,gu'niang'ke
姑娘娃儿,gu'niang'wa'er
刮毒,gua'du
拐哒,guai'da
拐拐,guai'guai
怪迷日眼,guai'mi'ri'yan
惯视哒,guan'shi'da
官屋,guan'wu
光懂胴,guang'dong'dong
归余,gui'yu
国人,guo'ren
哈包儿,ha'bao'er
哈儿,ha'er
哈格杂,ha'ge'za
哈哈儿,ha'ha'er
哈里日气,ha'li'ri'qi
哈嘛批,ha'ma'pi
哈数,ha'shu
海椒,hai'jiao
憨包儿,han'bao'er
憨吃哈胀,han'chi'ha'zhang
汗架架儿,han'jia'jia'er
喊起,han'qi
好撇,hao'pie
嘿气,hei'qi
黑区马拱,hei'qu'ma'gong
后头,hou'tou
花迷日眼,hua'mi'ri'yan
鸡巴娃,ji'ba'wa
鸡公,ji'gong
鲫壳儿,ji'ke'er
假巴,jia'ba
假巴意思,jia'ba'yi'si
架篾,jia'mie
建南,jian'nan
焦倒哒,jiao'dao'da
脚杆,jiao'gan
嚼腮帮子,jiao'sai'bang'zi
嚼牙包骨,jiao'ya'bao'gu
颈扛,jing'kang
九渡,jiu'du
九渡小学,jiu'du'xiao'xue
舅老倌儿,jiu'lao'guan'er
喀喀郭郭,ka'ka'guo'guo
喀喀头的,ka'ka'tou'de
开山儿,kai'shan'er
砍老壳,kan'lao'ke
砍老壳滴,kan'lao'ke'di
客息包,ke'xi'bao
客奚老壳儿,ke'xi'lao'ke'er
扣手,kou'shou
跨耳胡,kua'er'hu
拉筋扯皮,la'jin'che'pi
癞包,lai'bao
癞客包,lai'ke'bao
老汗儿,lao'han'er
老火,lao'huo
老娃,lao'wa
劳慰,lao'wei
老许儿,lao'xu'er
老许子,lao'xu'zi
勒哈儿,le'ha'er
勒截,le'jie
嘞们,lei'men
累着哒,lei'zhe'da
利川一中,li'chuan'yi'zhong
亮亮,liang'liang
凉雾,liang'wu
凉务,liang'wu
龙船调,long'chuan'diao
录蚊子,lu'wen'zi
箩兜,luo'dou
裸连,luo'lian
裸欠,luo'qian
麻麻亮,ma'ma'liang
麻炸,ma'zha
忙的像卵形,mang'de'xiang'luan'xing
毛坝,mao'ba
毛肆,mao'si
么子,me'zi
妹娃子,mei'wa'zi
妹仔,mei'zi
蔑起,mie'qi
谋道,mou'dao
哪截,na'jie
哪接切哒,na'jie'qie'da
哪垮,na'kua
那们,na'men
哪们,na'men
那们滴,na'men'di
奈呆,nai'dai
南坪,nan'ping
囊个搞起滴,nang'ge'gao'qi'di
囊给的,nang'gei'de
囊们,nang'men
囊们个,nang'men'ge
脑壳,nao'ke
你个狗日的,ni'ge'gou'ri'de
你个哈皮哟,ni'ge'ha'pi'yo
你个鸡巴娃儿,ni'ge'ji'ba'wa'er
你个杂皮,ni'ge'za'pi
你妈拉嘛批,ni'ma'la'ma'pi
你娃子,ni'wa'zi
皮皮,pi'pi
皮头,pi'tou
瓢瓢,piao'piao
撇得很,pie'de'hen
铺盖,pu'gai
七换,qi'huan
起先,qi'xian
雀儿,qiao'er
清鼻子,qing'bi'zi
青克马儿,qing'ke'ma'er
清痛,qing'tong
区区儿,qu'qu'er
染行沟投,ran'xing'gou'tou
日白,ri'bai
日白佬,ri'bai'lao
日决人,ri'jue'ren
日麻滴,ri'ma'di
色巴,se'ba
刹郭,sha'guo
杀角哒,sha'jiao'da
杀猫儿,sha'mao'er
沙溪,sha'xi
潲水,shao'shui
潲子,shao'zi
蛇奈,she'nai
使力搞,shi'li'gao
手板儿,shou'ban'er
手杆,shou'gan
手笼子,shou'long'zi
舒服惨哒,shu'fu'can'da
涮坛子,shuan'tan'zi
说夹子话,shuo'jia'zi'hua
死妹仔,si'mei'zi
死人子,si'ren'zi
算哒,suan'da
讨嫌,tao'xian
腾龙洞,teng'long'dong
田鸡子,tian'ji'zi
透夹,tou'jia
土地坡,tu'di'po
团堡,tuan'bao
汪营,wang'ying
文斗,wen'dou
我操你妈,wo'cao'ni'ma
我逗是不说哒,wo'dou'shi'bu'shuo'da
我各不行哒哟,wo'ge'bu'xing'da'yo
我蔑起,wo'mie'qi
窝尿,wo'niao
我日你屁眼,wo'ri'ni'pi'yan
窝屎,wo'shi
屋头,wu'tou
细娃儿,xi'wa'er
下牙包骨,xia'ya'bao'gu
仙人,xian'ren
向花儿,xiang'hua'er
向溜儿,xiang'liu'er
香殷,xiang'yin
小迷日眼,xiao'mi'ri'yan
许鸡儿,xu'ji'er
癣巴虫,xuan'ba'chong
牙巴骨,ya'ba'gu
牙包骨,ya'bao'gu
眼睛水儿,yan'jing'shui'er
厌台,yan'tai
洋丁丁儿,yang'ding'ding'er
腰杆,yao'gan
摇裤儿,yao'ku'er
夜蚊子,ye'wen'zi
一耳氏,yi'er'shi
一坨屎,yi'tuo'shi
硬嗝是,ying'ge'shi
硬是乖,ying'shi'guai
有哈数了,you'ha'shu'le
元堡,yuan'bao
在透夹,zai'tou'jia
栽秧子,zai'yang'zi
造孽巴沙滴,zao'nie'ba'sha'di
札妹仔,zha'mei'zi
着哒,zhe'da
整生酒,zheng'sheng'jiu
忠路,zhong'lu
猪脑壳,zhu'nao'ke
猪潲,zhu'shao
钻觅子,zuan'mi'zi
坐堆儿,zuo'dui'er
坐席,zuo'xi
