啊吔,a'ye
挨次,ai'ci
挨次得死,ai'ci'de'si
挨得死,ai'de'si
娭毑,ai'jie
艾接,ai'jie
爱相,ai'xiang
熬实,ao'shi
傲腿,ao'tui
霸缸,ba'gang
霸蛮,ba'man
八咪子,ba'mi'zi
霸脑壳,ba'nao'ke
白师傅,bai'shi'fu
扮矮,ban'ai
拌矮,ban'ai
伴大款者,ban'da'kuan'zhe
拌达脑壳,ban'da'nao'ke
绊哒脑壳,ban'da'nao'ke
拌禾,ban'he
绊坏哒,ban'huai'da
扮俏,ban'qiao
般翘,ban'qiao
扮式样,ban'shi'yang
拌式样,ban'shi'yang
扳坨子,ban'tuo'zi
半夜哈子,ban'ye'ha'zi
帮老倌,bang'lao'guan
宝里宝气,bao'li'bao'qi
宝妹子,bao'mei'zi
宝气,bao'qi
宝崽子,bao'zai'zi
背时,bei'shi
背运,bei'yun
鼻斗龙,bi'dou'long
不睬你,bu'cai'ni
不齿你,bu'chi'ni
不次你,bu'ci'ni
不此人,bu'ci'ren
不带爱相,bu'dai'ai'xiang
不得,bu'de
不得不,bu'de'bu
不汗点,bu'han'dian
不罕颠,bu'han'dian
不焊定,bu'han'ding
不罕定,bu'han'ding
不嬲腮,bu'niao'sai
不晓得,bu'xiao'de
不秀气,bu'xiu'qi
不装象,bu'zhuang'xiang
踩一脚,cai'yi'jiao
策得死,ce'de'si
策神,ce'shen
策粟壳,ce'su'ke
叉胡子,cha'hu'zi
唱调子,chang'diao'zi
炒地皮,chao'di'pi
扯谎,che'huang
扯宿嗑,che'su'ke
扯谈,che'tan
抽逼,chou'bi
抽胡说,chou'hu'shuo
抽糊学,chou'hu'xue
出宝,chu'bao
出桂桂,chu'gui'gui
出鬼哦,chu'gui'o
出六滴,chu'liu'di
出西西,chu'xi'xi
出鱼,chu'yu
蠢得死,chun'de'si
戳巴子,chuo'ba'zi
戳把子,chuo'ba'zi
骢上岭,cong'shang'ling
搓巴子,cuo'ba'zi
撮八子,cuo'ba'zi
撮巴子,cuo'ba'zi
撮把子,cuo'ba'zi
撮哒,cuo'da
撮起克哒,cuo'qi'ke'da
撮汤锅子,cuo'tang'guo'zi
打板子,da'ban'zi
大宝六,da'bao'liu
打抱秋,da'bao'qiu
打胞鳅,da'bao'qiu
打别港,da'bie'gang
打出子,da'chu'zi
打垫子,da'dian'zi
打屌胯,da'diao'kua
打工仔,da'gong'zai
打嗨港,da'hai'gang
打良心港,da'liang'xin'gang
打流,da'liu
打乱港,da'luan'gang
打跳挂,da'tiao'gua
呆次,dai'ci
带笼子,dai'long'zi
戴笼子,dai'long'zi
呆滞,dai'zhi
到哪里克嗨咯,dao'na'li'ke'hai'ge
瞪兜,deng'dou
等我一哈咯,deng'wo'yi'ha'ge
等一哈,deng'yi'ha
等一哈子,deng'yi'ha'zi
等一下子,deng'yi'xia'zi
嗲嗲,dia'dia
电脑鬼,dian'nao'gui
屌屌,diao'diao
屌呢,diao'ne
吊我胃口,diao'wo'wei'kou
丢堆,diu'dui
丢够,diu'gou
丢雷,diu'lei
丢陀,diu'tuo
丢驼,diu'tuo
懂味,dong'wei
斗霸,dou'ba
斗盒子,dou'he'zi
对亲家,dui'qing'jia
剁一刀,duo'yi'dao
恩菜,en'cai
恩咯,en'ge
嗯咯,en'lo
嗯喽,en'lou
恩妈,en'ma
嗯男家,en'nan'jia
恩杂,en'za
发狗疯,fa'gou'feng
