阿乾,a'qian
白石,bai'shi
白石藏之介,bai'shi'cang'zhi'jie
伴田干也,ban'tian'gan'ye
北村航,bei'cun'hang
比嘉,bi'jia
比嘉中,bi'jia'zhong
比吕士,bi'lv'shi
冰帝,bing'di
不动峰,bu'dong'feng
不二,bu'er
不二由美子,bu'er'you'mei'zi
不二裕太,bu'er'yu'tai
不二周助,bu'er'zhou'zhu
不知火知弥,bu'zhi'huo'zhi'mi
财前,cai'qian
财前光,cai'qian'guang
藏之介,cang'zhi'jie
长太郎,chang'tai'lang
城成湘南,cheng'cheng'xiang'nan
惩罚茶,cheng'fa'cha
池田雅也,chi'tian'ya'ye
赤也,chi'ye
赤泽,chi'ze
赤泽吉朗,chi'ze'ji'lang
慈郎,ci'lang
大和佑大,da'he'you'da
大石,da'shi
大石秀一郎,da'shi'xiu'yi'lang
荻之介,di'zhi'jie
东方雅美,dong'fang'ya'mei
渡边修,du'bian'xiu
凤长太郎,feng'chang'tai'lang
高濑圣人,gao'lai'sheng'ren
关西狼,guan'xi'lang
观月,guan'yue
观月初,guan'yue'chu
国光,guo'guang
海堂,hai'tang
海堂薰,hai'tang'xun
浩平,hao'ping
河村,he'cun
河村隆,he'cun'long
黑羽春风,hei'yu'chun'feng
红酢,hong'zuo
虎次郎,hu'ci'lang
胡狼桑原,hu'lang'sang'yuan
华村葵,hua'cun'kui
桦地,hua'di
桦地崇弘,hua'di'chong'hong
荒井将史,huang'jing'jiang'shi
迹部,ji'bu
迹部景吾,ji'bu'jing'wu
吉朗,ji'lang
季乐靖幸,ji'le'jing'xing
季乐泰造,ji'le'tai'zao
甲斐裕次郎,jia'fei'yu'ci'lang
夹克鲁,jia'ke'lu
甲罗,jia'luo
加藤胜郎,jia'teng'sheng'lang
剑太郎,jian'tai'lang
芥川,jie'chuan
芥川慈郎,jie'chuan'ci'lang
堇菜,jin'cai
津多茜,jin'duo'qian
金色小春,jin'se'xiao'chun
金田,jin'tian
金田一郎,jin'tian'yi'lang
锦织翼,jin'zhi'yi
京介,jing'jie
井上守,jing'shang'shou
精市,jing'shi
景吾,jing'wu
靖幸,jing'xing
橘桔平,ju'ju'ping
桔平,ju'ping
菊丸,ju'wan
菊丸英二,ju'wan'ying'er
橘杏,ju'xing
卡鲁宾,ka'lu'bin
堀尾聪史,ku'wei'cong'shi
葵剑太郎,kui'jian'tai'lang
昆川纯平,kun'chuan'chun'ping
老教练,lao'jiao'lian
立海大,li'hai'da
立海神,li'hai'shen
莲二,lian'er
林大介,lin'da'jie
六角,liu'jiao
柳莲二,liu'lian'er
柳生,liu'sheng
柳生比吕士,liu'sheng'bi'lv'shi
柳泽,liu'ze
柳泽慎也,liu'ze'shen'ye
泷荻之介,long'di'zhi'jie
龙马,long'ma
龙崎,long'qi
龙崎堇,long'qi'jin
龙崎樱乃,long'qi'ying'nai
木更津,mu'geng'jin
木更津淳,mu'geng'jin'chun
木更津亮,mu'geng'jin'liang
木手,mu'shou
木手永四郎,mu'shou'yong'si'lang
奈川,nai'chuan
南健太郎,nan'jian'tai'lang
内村,nei'cun
内村京介,nei'cun'jing'jie
朋香,peng'xiang
平古场,ping'gu'chang
平古场凛,ping'gu'chang'lin
琦玉,qi'yu
千石,qian'shi
千石清纯,qian'shi'qing'chun
千岁千里,qian'sui'qian'li
谦也,qian'ye
乾贞治,qian'zhen'zhi
乾汁,qian'zhi
切原,qie'yuan
切原赤也,qie'yuan'chi'ye
清纯,qing'chun
青学,qing'xue
青酢,qing'zuo
仁王,ren'wang
仁王雅治,ren'wang'ya'zhi
忍足,ren'zu
忍足狼,ren'zu'lang
忍足谦也,ren'zu'qian'ye
忍足侑士,ren'zu'you'shi
日吉,ri'ji
日吉若,ri'ji'ruo
宍户,rou'hu
宍户亮,rou'hu'liang
若人弘,ruo'ren'hong
桑原,sang'yuan
桑原夹克鲁,sang'yuan'jia'ke'lu
森辰德,sen'chen'de
沙丁鱼汁,sha'ding'yu'zhi
山吹,shan'chui
神城玲治,shen'cheng'ling'zhi
深司,shen'si
神尾,shen'wei
神尾明,shen'wei'ming
神之子,shen'zhi'zi
圣鲁道夫,sheng'lu'dao'fu
室町十次,shi'ding'shi'ci
石田,shi'tian
石田铁,shi'tian'tie
石田银,shi'tian'yin
首藤,shou'teng
首藤聪,shou'teng'cong
手冢,shou'zhong
手塚,shou'zhong
手冢国光,shou'zhong'guo'guang
手塚国光,shou'zhong'guo'guang
树希彦,shu'xi'yan
水野胜雄,shui'ye'sheng'xiong
太田翔,tai'tian'xiang
太一,tai'yi
坛太一,tan'tai'yi
桃城,tao'cheng
桃城武,tao'cheng'wu
天根,tian'gen
天根光,tian'gen'guang
田仁志慧,tian'ren'zhi'hui
田志仁,tian'zhi'ren
田志仁慧,tian'zhi'ren'hui
田中浩平,tian'zhong'hao'ping
田中洋平,tian'zhong'yang'ping
桐山大地,tong'shan'da'di
丸井,wan'jing
丸井太,wan'jing'tai
丸井文太,wan'jing'wen'tai
梶本,wei'ben
梶本贵久,wei'ben'gui'jiu
文太,wen'tai
喜多一马,xi'duo'yi'ma
弦一郎,xian'yi'lang
向日,xiang'ri
向日岳人,xiang'ri'yue'ren
小坂田朋香,xiao'ban'tian'peng'xiang
小石川,xiao'shi'chuan
小石川健二郎,xiao'shi'chuan'jian'er'lang
新渡米稻吉,xin'du'mi'dao'ji
幸村,xing'cun
幸村精市,xing'cun'jing'shi
秀一郎,xiu'yi'lang
亚久津,ya'jiu'jin
亚久津仁,ya'jiu'jin'ren
亚久津优纪,ya'jiu'jin'you'ji
雅也,ya'ye
雅治,ya'zhi
洋平,yang'ping
野菜治,ye'cai'zhi
野村拓也,ye'cun'tuo'ye
一氏,yi'shi
一氏勇次,yi'shi'yong'ci
