安邦花园小区,an'bang'hua'yuan'xiao'qu
八马路,ba'ma'lu
百货,bai'huo
北方家电,bei'fang'jia'dian
北秀公园,bei'xiu'gong'yuan
北翼,bei'yi
宾馆小区,bin'guan'xiao'qu
殡仪馆,bin'yi'guan
采石厂,cai'shi'chang
财政局,cai'zheng'ju
财政小区,cai'zheng'xiao'qu
长安屯,chang'an'tun
长胜乡,chang'sheng'xiang
车辆厂,che'liang'chang
传染病医院,chuan'ran'bing'yi'yuan
传染医院,chuan'ran'yi'yuan
春晖小区,chun'hui'xiao'qu
春晖小学,chun'hui'xiao'xue
大理石厂,da'li'shi'chang
大园子,da'yuan'zi
德政小区,de'zheng'xiao'qu
第二加油站,di'er'jia'you'zhan
第一道口,di'yi'dao'kou
第一加油站,di'yi'jia'you'zhan
第一幼儿园,di'yi'you'er'yuan
第一中学,di'yi'zhong'xue
电务厂,dian'wu'chang
电业局,dian'ye'ju
东方公司,dong'fang'gong'si
东福大桥,dong'fu'da'qiao
东井,dong'jing
东鹏家具城,dong'peng'jia'ju'cheng
东鹏家私城,dong'peng'jia'si'cheng
东山宾馆,dong'shan'bin'guan
二马路,er'ma'lu
二十六中,er'shi'liu'zhong
方圆公司,fang'yuan'gong'si
富安派出所,fu'an'pai'chu'suo
富兴村,fu'xing'cun
钢联,gang'lian
国酒茅台专卖店,guo'jiu'mao'tai'zhuan'mai'dian
锅炉厂,guo'lu'chang
国贸商城,guo'mao'shang'cheng
国贸商厦,guo'mao'shang'sha
国税分局,guo'shui'fen'ju
国税局,guo'shui'ju
河西,he'xi
弘烨公司,hong'ye'gong'si
汇丰商城,hui'feng'shang'cheng
汇丰鞋城,hui'feng'xie'cheng
火车站,huo'che'zhan
机电厂,ji'dian'chang
家俱厂,jia'ju'chang
驾校,jia'xiao
建龙钢铁,jian'long'gang'tie
尖山法院,jian'shan'fa'yuan
尖山交警大队,jian'shan'jiao'jing'da'dui
尖山区法院,jian'shan'qu'fa'yuan
建设村,jian'she'cun
建设局,jian'she'ju
建设路,jian'she'lu
建设路菜市场,jian'she'lu'cai'shi'chang
建设路市场,jian'she'lu'shi'chang
焦化厂,jiao'hua'chang
交通局,jiao'tong'ju
锦城中学,jin'cheng'zhong'xue
金隆小区,jin'long'xiao'qu
净水路,jing'shui'lu
救护大队,jiu'hu'da'dui
旧货,jiu'huo
克代尔啤酒厂,ke'dai'er'pi'jiu'chang
矿工大厦,kuang'gong'da'sha
矿务局总院,kuang'wu'ju'zong'yuan
矿总医院,kuang'zong'yi'yuan
