阿散井恋次,a'san'jing'lian'ci
八番队,ba'fan'dui
白打,bai'da
白雷,bai'lei
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
崩点,beng'dian
冰轮丸,bing'lun'wan
狛村左阵,bo'cun'zuo'zhen
草鹿八千流,cao'lu'ba'qian'liu
茶渡泰虎,cha'du'tai'hu
侘助,cha'zhu
瀞灵壁,cheng'ling'bi
赤火炮,chi'huo'pao
紬屋雨,chou'wu'yu
雏森桃,chu'sen'tao
穿点,chuan'dian
穿界门,chuan'jie'men
传令部,chuan'ling'bu
大前田希千代,da'qian'tian'xi'qian'dai
东仙要,dong'xian'yao
冻云,dong'yun
独眼罩,du'yan'zhao
断界,duan'jie
对灵子的隶属,dui'ling'zi'de'li'shu
对灵子的收束,dui'ling'zi'de'shou'shu
二番队,er'fan'dui
反鬼相杀,fan'gui'xiang'sha
非番队,fei'fan'dui
飞镰脚,fei'lian'jiao
飞梅,fei'mei
封灵铐,feng'ling'kao
缚道,fu'dao
浮竹十四郎,fu'zhu'shi'si'lang
改造魂魄,gai'zao'hun'po
更木剣八,geng'mu'jian'ba
鬼道,gui'dao
鬼灯丸,gui'deng'wan
桧佐木修兵,gui'zuo'mu'xiu'bing
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎真咲,hei'qi'zhen'xiao
红姫,hong'zhen
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
花天狂骨,hua'tian'kuang'gu
花刈甚太,hua'yi'shen'tai
荒巻真木造,huang'juan'zhen'mu'zao
魂葬,hun'zang
吉良伊鹤,ji'liang'yi'he
剑八,jian'ba
京乐春水,jing'le'chun'shui
镜门,jing'men
井上织姬,jing'shang'zhi'ji
精神体,jing'shen'ti
九番队,jiu'fan'dui
拘流,ju'liu
拘突,ju'tu
蓝染惣右介,lan'ran'zong'you'jie
理吉,li'ji
捩花,lie'hua
绫濑川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
灵珠核,ling'zhu'he
灵子转换机,ling'zi'zhuan'huan'ji
六番队,liu'fan'dui
流刃若火,liu'ren'ruo'huo
乱装天傀,luan'zhuang'tian'kui
旅祸,lv'huo
卯之花烈,mao'zhi'hua'lie
灭却师,mie'que'shi
灭却专精,mie'que'zhuan'jing
涅茧利,nie'jian'li
涅音无,nie'yin'wu
疋杀地蔵,pi'sha'di'zang
劈乌,pi'wu
破道,po'dao
破芒阵,po'mang'zhen
破弃咏唱,po'qi'yong'chang
浦原喜助,pu'yuan'xi'zhu
七番队,qi'fan'dui
千本樱,qian'ben'ying
牵星箝,qian'xing'qian
切魂之物,qie'hun'zhi'wu
清虫,qing'chong
雀蜂,que'feng
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
肉雫唼,rou'na'sha
三番队,san'fan'dui
散灵手套,san'ling'shou'tao
杀气石,sha'qi'shi
山本元柳斎重国,shan'ben'yuan'liu'zhai'zhong'guo
山田花太郎,shan'tian'hua'tai'lang
射场铁左卫门,she'chang'tie'zuo'wei'men
蛇尾丸,she'wei'wan
神鎗,shen'cheng
十二番队,shi'er'fan'dui
十番队,shi'fan'dui
尸魂界,shi'hun'jie
十三番队,shi'san'fan'dui
石田雨龙,shi'tian'yu'long
市丸银,shi'wan'yin
十一番队,shi'yi'fan'dui
双殛,shuang'ji
双鱼理,shuang'yu'li
瞬步,shun'bu
瞬閧,shun'hong
瞬花,shun'hua
瞬开,shun'kai
兕丹坊,si'dan'fang
四番队,si'fan'dui
四枫院夜一,si'feng'yuan'ye'yi
死神,si'shen
死神专精,si'shen'zhuan'jing
松元乱菊,song'yuan'luan'ju
砕蜂,sui'feng
碎蜂,sui'feng
唐观音寺,tang'guan'yin'si
特制滋养强壮剂,te'zhi'zi'yang'qiang'zhuang'ji
藤孔雀,teng'kong'que
天谴,tian'qian
天踏绚,tian'ta'xuan
通廷证,tong'ting'zheng
歪面反应,wai'mian'fan'ying
握菱铁斋,wo'ling'tie'zhai
五番队,wu'fan'dui
五形头,wu'xing'tou
小椿仙太郎,xiao'chun'xian'tai'lang
刑军,xing'jun
朽木白哉,xiu'mu'bai'zai
朽木露琦亚,xiu'mu'lu'qi'ya
虚浮,xu'fu
虚化,xu'hua
虚圈,xu'quan
压抑言灵,ya'yi'yan'ling
厳霊丸,yan'ling'wan
夜一,ye'yi
一番队,yi'fan'dui
一贯坂慈楼坊,yi'guan'ban'ci'lou'fang
义骸,yi'hai
义魂丸,yi'hun'wan
伊势七绪,yi'shi'qi'xu
因果之锁,yin'guo'zhi'suo
隐秘机动,yin'mi'ji'dong
银筒,yin'tong
萤蔓,ying'man
有泽龙贵,you'ze'long'gui
円乗寺辰房,yuan'cheng'si'chen'fang
斩月,zhan'yue
遮魂膜,zhe'hun'mo
震点,zhen'dian
志波海燕,zhi'bo'hai'yan
志波空鹤,zhi'bo'kong'he
志波燕鹫,zhi'bo'yan'jiu
中央四十六室,zhong'yang'si'shi'liu'shi
竹添幸吉郎,zhu'tian'xing'ji'lang
