暗送秋波,an'song'qiu'bo
暗香袭人,an'xiang'xi'ren
巴东有巫山窈窕神女颜,ba'dong'you'wu'shan'yao'tiao'shen'nv'yan
白白净净,bai'bai'jing'jing
白白嫩嫩,bai'bai'nen'nen
百般难描,bai'ban'nan'miao
白璧无暇,bai'bi'wu'xia
白发斑斑,bai'fa'ban'ban
白发如霜,bai'fa'ru'shuang
白发如银,bai'fa'ru'yin
白巾翠袖,bai'jin'cui'xiu
白净,bai'jing
白净细腻,bai'jing'xi'ni
白里透红,bai'li'tou'hong
白嫩,bai'nen
白嫩嫩,bai'nen'nen
白腻,bai'ni
百年难遇,bai'nian'nan'yu
白皙,bai'xi
白皙细嫩,bai'xi'xi'nen
般般入画,ban'ban'ru'hua
班姬续史之姿谢庭咏雪之态,ban'ji'xu'shi'zhi'zi'xie'ting'yong'xue'zhi'tai
半妆美人,ban'zhuang'mei'ren
贝齿,bei'chi
笨拙,ben'zhuo
鼻尖扁平,bi'jian'bian'ping
鼻孔饱满,bi'kong'bao'man
鼻孔朝天,bi'kong'chao'tian
鼻梁挺直,bi'liang'ting'zhi
鼻青脸肿,bi'qing'lian'zhong
鼻似弯钩,bi'si'wan'gou
鼻头微勾,bi'tou'wei'gou
鼻歪脸肿,bi'wai'lian'zhong
碧眼盈波,bi'yan'ying'bo
闭月羞花,bi'yue'xiu'hua
鼻子,bi'zi
鼻子扁阔,bi'zi'bian'kuo
鼻子粗短,bi'zi'cu'duan
鼻子端正,bi'zi'duan'zheng
辫子,bian'zi
瘪嘴薄唇,bie'zui'bo'chun
鬓角,bin'jiao
鬓云乱洒酥胸半掩,bin'yun'luan'sa'su'xiong'ban'yan
鬓云欲度香腮雪,bin'yun'yu'du'xiang'sai'xue
冰肌莹彻,bing'ji'ying'che
冰肌玉肤,bing'ji'yu'fu
冰肌玉肤滑腻似酥,bing'ji'yu'fu'hua'ni'si'su
冰清玉洁,bing'qing'yu'jie
薄粉敷面,bo'fen'fu'mian
步伐矫健,bu'fa'jiao'jian
步履蹒跚,bu'lv'pan'shan
步履轻盈珊珊作响,bu'lv'qing'ying'shan'shan'zuo'xiang
步履维艰,bu'lv'wei'jian
不施粉黛而颜色如朝霞映雪,bu'shi'fen'dai'er'yan'se'ru'zhao'xia'ying'xue
灿如春华皎如秋月,can'ru'chun'hua'jiao'ru'qiu'yue
苍白,cang'bai
侧目而视,ce'mu'er'shi
长安水边多丽人,chang'an'shui'bian'duo'li'ren
长辫垂胸,chang'bian'chui'xiong
长眉拂面,chang'mei'fu'mian
长眉连娟微睇绵藐,chang'mei'lian'juan'wei'di'mian'miao
长眉似雪,chang'mei'si'xue
