百草丸,bai'cao'wan
白帝城之战,bai'di'cheng'zhi'zhan
白虎秘石,bai'hu'mi'shi
白虎牙,bai'hu'ya
背水护符,bei'shui'hu'fu
冰玉,bing'yu
曹操,cao'cao
曹丕,cao'pi
曹仁,cao'ren
长坂之战,chang'ban'zhi'zhan
常山之战,chang'shan'zhi'zhan
陈仓之战,chen'cang'zhi'zhan
成都之战,cheng'du'zhi'zhan
赤壁逃亡战,chi'bi'tao'wang'zhan
赤壁之战,chi'bi'zhi'zhan
赤兔镫,chi'tu'deng
大乔,da'qiao
道具,dao'ju
的卢镫,de'lu'deng
典韦,dian'wei
貂禅,diao'chan
定军山之战,ding'jun'shan'zhi'zhan
董卓,dong'zhuo
发破传书,fa'po'chuan'shu
樊城之战,fan'cheng'zhi'zhan
飞电镫,fei'dian'deng
甘宁,gan'ning
官渡之战,guan'du'zhi'zhan
关平,guan'ping
关卡,guan'qia
关羽,guan'yu
关羽千里走单骑,guan'yu'qian'li'zou'dan'qi
合肥新城之战,he'fei'xin'cheng'zhi'zhan
合肥之战,he'fei'zhi'zhan
虎牢关之战,hu'lao'guan'zhi'zhan
虎轮,hu'lun
护卫心得,hu'wei'xin'de
黄盖,huang'gai
黄巾之乱,huang'jin'zhi'luan
黄忠,huang'zhong
黄忠弓,huang'zhong'gong
活丹,huo'dan
姜维,jiang'wei
街亭之战,jie'ting'zhi'zhan
净炎火矢,jing'yan'huo'shi
荆州之战,jing'zhou'zhi'zhan
绝影镫,jue'ying'deng
凉州之战,liang'zhou'zhi'zhan
凌统,ling'tong
刘备,liu'bei
陆逊,lu'xun
吕布,lv'bu
吕蒙,lv'meng
马超,ma'chao
孟获,meng'huo
南中平定战,nan'zhong'ping'ding'zhan
南中侵攻战,nan'zhong'qin'gong'zhan
南中争霸战,nan'zhong'zheng'ba'zhan
南中之战,nan'zhong'zhi'zhan
庞德,pang'de
庞统,pang'tong
七星带,qi'xing'dai
羌族角,qiang'zu'jiao
青龙胆,qing'long'dan
神气环,shen'qi'huan
神速符,shen'su'fu
司马懿,si'ma'yi
汜水关之战,si'shui'guan'zhi'zhan
孙策,sun'ce
孙策幻影战,sun'ce'huan'ying'zhan
孙坚,sun'jian
孙权,sun'quan
孙尚香,sun'shang'xiang
孙子兵法,sun'zi'bing'fa
太史慈,tai'shi'ci
天水之战,tian'shui'zhi'zhan
铁甲手,tie'jia'shou
潼关之战,tong'guan'zhi'zhan
宛城之战,wan'cheng'zhi'zhan
魏延,wei'yan
吴郡之战,wu'jun'zhi'zhan
无双铠,wu'shuang'kai
五丈原之战,wu'zhang'yuan'zhi'zhan
西凉之战,xi'liang'zhi'zhan
夏候惇,xia'hou'dun
夏侯渊,xia'hou'yuan
夏口之战,xia'kou'zhi'zhan
下邳之战,xia'pi'zhi'zhan
仙丹,xian'dan
象镫,xiang'deng
小乔,xiao'qiao
星彩,xing'cai
徐晃,xu'huang
许诸,xu'zhu
玄武甲,xuan'wu'jia
炎玉,yan'yu
阳玉,yang'yu
夷陵之战,yi'ling'zhi'zhan
翼州之战,yi'zhou'zhi'zhan
阴玉,yin'yu
袁绍,yuan'shao
月英,yue'ying
张飞,zhang'fei
张颌,zhang'he
张角,zhang'jiao
张辽,zhang'liao
赵云,zhao'yun
甄姬,zhen'ji
真空书,zhen'kong'shu
真乱舞书,zhen'luan'wu'shu
周泰,zhou'tai
周瑜,zhou'yu
诸葛亮,zhu'ge'liang
朱雀翼,zhu'que'yi
祝融,zhu'rong
左慈,zuo'ci
