暗目,an'mu
八段,ba'duan
八卦,ba'gua
八级,ba'ji
摆谱,bai'pu
败势,bai'shi
败意,bai'yi
败着,bai'zhe
扳渡,ban'du
扳断,ban'duan
扳六,ban'liu
扳头,ban'tou
半先,ban'xian
半眼,ban'yan
抱吃,bao'chi
包收,bao'shou
背绰角,bei'chuo'jiao
北斗七,bei'dou'qi
本赛,ben'sai
本身劫,ben'shen'jie
本手,ben'shou
本战,ben'zhan
崩溃,beng'kui
崩形,beng'xing
鼻顶,bi'ding
变化,bian'hua
变着,bian'zhe
饼形,bing'xing
步调,bu'diao
补断,bu'duan
不计胜,bu'ji'sheng
补劫,bu'jie
补劫材,bu'jie'cai
布局,bu'ju
不入,bu'ru
不入气,bu'ru'qi
不入子,bu'ru'zi
不完整板六,bu'wan'zheng'ban'liu
不战胜,bu'zhan'sheng
猜先,cai'xian
猜子法,cai'zi'fa
惨败,can'bai
残局,can'ju
参考图,can'kao'tu
残子,can'zi
拆二,chai'er
拆二单关,chai'er'dan'guan
拆二立三,chai'er'li'san
拆二斜飞,chai'er'xie'fei
拆棋,chai'qi
拆三,chai'san
拆三立四,chai'san'li'si
缠绕攻击,chan'rao'gong'ji
缠绕战术,chan'rao'zhan'shu
场合,chang'he
场合定式,chang'he'ding'shi
长考,chang'kao
长气,chang'qi
长期打挂,chang'qi'da'gua
长生,chang'sheng
长生劫,chang'sheng'jie
常先,chang'xian
常型,chang'xing
超时负,chao'shi'fu
陈方七局,chen'fang'qi'ju
秤砣,cheng'tuo
冲断,chong'duan
重复,chong'fu
臭棋,chou'qi
初段,chu'duan
出目,chu'mu
初盘,chu'pan
初棋无劫,chu'qi'wu'jie
穿象眼,chuan'xiang'yan
磁石棋子,ci'shi'qi'zi
次序,ci'xu
错小目布局,cuo'xiao'mu'bu'ju
错着,cuo'zhe
大拆,da'chai
大场,da'chang
打吃,da'chi
打二还一,da'er'hai'yi
大飞,da'fei
大飞缔角,da'fei'di'jiao
大飞挂角,da'fei'gua'jiao
大分,da'fen
打挂,da'gua
大关,da'guan
打将,da'jiang
打劫,da'jie
打劫活,da'jie'huo
打劫杀,da'jie'sha
大局感,da'ju'gan
大局观,da'ju'guan
大龙,da'long
大目外,da'mu'wai
大模样,da'mu'yang
大盘,da'pan
打谱,da'pu
大棋,da'qi
打入,da'ru
大跳,da'tiao
大头鬼,da'tou'gui
大斜,da'xie
大斜飞,da'xie'fei
大雪崩,da'xue'beng
大眼,da'yan
大着,da'zhe
带响,dai'xiang
单关,dan'guan
单官,dan'guan
单劫,dan'jie
单接,dan'jie
刀把五,dao'ba'wu
刀板五,dao'ban'wu
倒扑,dao'pu
倒脱靴,dao'tuo'xue
刀五,dao'wu
邓艾开蜀势,deng'ai'kai'shu'shi
低拆,di'chai
低段,di'duan
低挂,di'gua
低手,di'shou
