阿丽雅,a'li'ya
阿竹,a'zhu
獒犬,ao'quan
八平,ba'ping
百合,bai'he
百灵鸟,bai'ling'niao
半随流水半随尘,ban'sui'liu'shui'ban'sui'chen
包贝尔,bao'bei'er
悲莫悲兮,bei'mo'bei'xi
悲也零星,bei'ye'ling'xing
彼美孟姜,bi'mei'meng'jiang
比翼今生,bi'yi'jin'sheng
兵符,bing'fu
兵戈乍起,bing'ge'zha'qi
不照去年人,bu'zhao'qu'nian'ren
采薇,cai'wei
才子,cai'zi
沧河,cang'he
长安,chang'an
嫦娥舞月,chang'e'wu'yue
娼妓坊,chang'ji'fang
长袖折腰殿前舞,chang'xiu'zhe'yao'dian'qian'wu
昌邑王,chang'yi'wang
臣民,chen'min
沉思前事,chen'si'qian'shi
陈晓,chen'xiao
橙儿,cheng'er
虫儿飞,chong'er'fei
窗含双影,chuang'han'shuang'ying
吹皱一池春水,chui'zhou'yi'chi'chun'shui
此情无计可消除,ci'qing'wu'ji'ke'xiao'chu
此情须问天,ci'qing'xu'wen'tian
此情已自成追忆,ci'qing'yi'zi'cheng'zhui'yi
大汉,da'han
大汉情缘,da'han'qing'yuan
大汉情缘之云中歌,da'han'qing'yuan'zhi'yun'zhong'ge
大漠,da'mo
大漠诺言,da'mo'nuo'yan
大司马,da'si'ma
当时不是错,dang'shi'bu'shi'cuo
当时断送,dang'shi'duan'song
德音不忘,de'yin'bu'wang
灯火阑珊处,deng'huo'lan'shan'chu
登基,deng'ji
帝陵,di'ling
杜淳,du'chun
渡曲,du'qu
毒术,du'shu
多情总为无情恼,duo'qing'zong'wei'wu'qing'nao
恩爱两不疑,en'ai'liang'bu'yi
恩恩怨怨哪堪说,en'en'yuan'yuan'na'kan'shuo
而今才道当时错,er'jin'cai'dao'dang'shi'cuo
而今领略,er'jin'ling'lue
发妻,fa'qi
封藏,feng'cang
凤归何处,feng'gui'he'chu
风荷凝露,feng'he'ning'lu
风乍起,feng'zha'qi
浮生梦,fu'sheng'meng
富裕,fu'yu
感君怜,gan'jun'lian
歌女,ge'nv
宫廷,gong'ting
宫中,gong'zhong
公子,gong'zi
钩吻,gou'wen
勾弋夫人,gou'yi'fu'ren
孤鸿语,gu'hong'yu
故剑情深千载颂,gu'jian'qing'shen'qian'zai'song
孤女,gu'nv
广陵王,guang'ling'wang
闺阁,gui'ge
国玺,guo'xi
汉朝,han'chao
汉废帝,han'fei'di
汉羌,han'qiang
汉羌之战,han'qiang'zhi'zhan
汉武帝,han'wu'di
汉宣帝,han'xuan'di
汗血宝马,han'xue'bao'ma
汉昭帝,han'zhao'di
好花月,hao'hua'yue
合欢花泪,he'huan'hua'lei
和氏璧,he'shi'bi
合受天公妒,he'shou'tian'gong'du
何小七,he'xiao'qi
恨难酬,hen'nan'chou
红衣,hong'yi
侯老头,hou'lao'tou
虎儿,hu'er
胡姬,hu'ji
华儿,hua'er
花间泪,hua'jian'lei
换我心,huan'wo'xin
欢也零星,huan'ye'ling'xing
皇宫,huang'gong
荒漠,huang'mo
荒唐王爷,huang'tang'wang'ye
皇位,huang'wei
皇位之争,huang'wei'zhi'zheng
回宫,hui'gong
慧极必伤,hui'ji'bi'shang
混血,hun'xue
霍成君,huo'cheng'jun
霍二,huo'er
霍光,huo'guang
霍孔雀,huo'kong'que
霍怜儿,huo'lian'er
霍去病,huo'qu'bing
霍嬗,huo'shan
霍山,huo'shan
霍显,huo'xian
霍小姐,huo'xiao'jie
霍曜,huo'yao
霍逸,huo'yi
霍禹,huo'yu
霍云,huo'yun
霍云歌,huo'yun'ge
见此邂逅,jian'ci'xie'hou
谏议大夫,jian'yi'da'fu
椒房殿,jiao'fang'dian
结发为夫妻,jie'fa'wei'fu'qi
结交在相知,jie'jiao'zai'xiang'zhi
今我来思,jin'wo'lai'si
今夕何夕,jin'xi'he'xi
锦衣如玉,jin'yi'ru'yu
金玉,jin'yu
九爷,jiu'ye
克尔嗒嗒,ke'er'da'da
可是梁鸿侣,ke'shi'liang'hong'lv
寇振海,kou'zhen'hai
酷刑,ku'xing
狼女,lang'nv
牢狱,lao'yu
落子勿言悔,lao'zi'wu'yan'hui
泪洒长命花,lei'sa'chang'ming'hua
李远,li'yuan
怜芳草,lian'fang'cao
两处沉吟各自知,liang'chu'chen'yin'ge'zi'zhi
两生花,liang'sheng'hua
铃铛,ling'dang
陵哥哥,ling'ge'ge
刘病已,liu'bing'yi
刘彻,liu'che
刘旦,liu'dan
刘弗陵,liu'fu'ling
刘哥哥,liu'ge'ge
刘冠翔,liu'guan'xiang
刘贺,liu'he
刘据,liu'ju
刘奭,liu'shi
刘胥,liu'xu
刘询,liu'xun
陆毅,lu'yi
绿罗裙,lv'luo'qun
绿衫,lv'shan
绿衫女孩,lv'shan'nv'hai
绿竹猗猗,lv'zhu'yi'yi
毛晓彤,mao'xiao'tong
孟大哥,meng'da'ge
孟大人,meng'da'ren
孟夫人,meng'fu'ren
孟公子,meng'gong'zi
孟狐狸,meng'hu'li
孟珏,meng'jue
孟石头,meng'shi'tou
孟西漠,meng'xi'mo
妙手空空,miao'shou'kong'kong
明日天涯已陌路,ming'ri'tian'ya'yi'mo'lu
抹茶,mo'cha
莫知我哀,mo'zhi'wo'ai
拟将生死作相思,ni'jiang'sheng'si'zuo'xiang'si
凝眸处,ning'mou'chu
欧侯,ou'hou
破茧成蝶,po'jian'cheng'die
乞儿,qi'er
起居注,qi'ju'zhu
七里香,qi'li'xiang
凄凉别后两应同,qi'liang'bie'hou'liang'ying'tong
羌族,qiang'zu
