阿尔山温泉,a'er'shan'wen'quan
阿什哈达摩崖,a'shi'ha'da'mo'ya
阿育王塔,a'yu'wang'ta
叆河尖古城址,ai'he'jian'gu'cheng'zhi
瑷珲城,ai'hui'cheng
安国药王庙,an'guo'yao'wang'miao
安济桥,an'ji'qiao
安远庙,an'yuan'miao
敖东城,ao'dong'cheng
八宝山革命公墓,ba'bao'shan'ge'ming'gong'mu
八棱观塔,ba'leng'guan'ta
八里城,ba'li'cheng
八路军驻京办事处旧址,ba'lu'jun'zhu'jing'ban'shi'chu'jiu'zhi
八路军总司令部旧址,ba'lu'jun'zong'si'ling'bu'jiu'zhi
八女投江纪念地,ba'nv'tou'jiang'ji'nian'di
霸王朝山城,ba'wang'chao'shan'cheng
白果树,bai'guo'shu
百花山,bai'hua'shan
百灵庙,bai'ling'miao
白鹿岩,bai'lu'yan
白鹭洲,bai'lu'zhou
白求恩手术室旧址,bai'qiu'en'shou'shu'shi'jiu'zhi
百泉,bai'quan
白塔,bai'ta
白塔峪塔,bai'ta'yu'ta
白胎寺,bai'tai'si
白头山天池,bai'tou'shan'tian'chi
白洋淀,bai'yang'dian
半天云岭,ban'tian'yun'ling
报国寺,bao'guo'si
保和殿,bao'he'dian
宝宁寺,bao'ning'si
宝堂寺,bao'tang'si
保卫和乎石牌坊,bao'wei'he'hu'shi'pai'fang
宝云阁,bao'yun'ge
宝珠洞,bao'zhu'dong
北戴河海滨,bei'dai'he'hai'bin
北固山,bei'gu'shan
北海,bei'hai
北吉样寺,bei'ji'yang'si
北京大学红楼,bei'jing'da'xue'hong'lou
北京地下铁道,bei'jing'di'xia'tie'dao
北京动物园,bei'jing'dong'wu'yuan
北京天文馆,bei'jing'tian'wen'guan
北京图书馆,bei'jing'tu'shu'guan
北京自然博物馆,bei'jing'zi'ran'bo'wu'guan
北山,bei'shan
北寺塔,bei'si'ta
北塔,bei'ta
北响堂寺石窟,bei'xiang'tang'si'shi'ku
北岳庙,bei'yue'miao
北镇庙,bei'zhen'miao
贝子庙,bei'zi'miao
本兰围场,ben'lan'wei'chang
本溪湖,ben'xi'hu
本溪水洞,ben'xi'shui'dong
碧落碑,bi'luo'bei
碧山寺,bi'shan'si
避暑山庄,bi'shu'shan'zhuang
碧云寺,bi'yun'si
边靖楼,bian'jing'lou
扁鹊庙,bian'que'miao
渤海上京龙泉府故城遗址,bo'hai'shang'jing'long'quan'fu'gu'cheng'yi'zhi
柏林寺,bo'lin'si
柏林寺塔,bo'lin'si'ta
浡泥国王墓,bo'ni'guo'wang'mu
泊镇清真寺,bo'zhen'qing'zhen'si
布尔很哈达岩画,bu'er'hen'ha'da'yan'hua
簿仁寺,bu'ren'si
沧浪亭,cang'lang'ting
藏山,cang'shan
苍岩山,cang'yan'shan
曹顶墓,cao'ding'mu
曾水源墓,ceng'shui'yuan'mu
岔道城,cha'dao'cheng
长安寺,chang'an'si
长白山瀑布,chang'bai'shan'pu'bu
长白山温泉,chang'bai'shan'wen'quan
长白山自然保护区,chang'bai'shan'zi'ran'bao'hu'qu
长城一八达龄,chang'cheng'yi'ba'da'ling
长川一号墓,chang'chuan'yi'hao'mu
长廊,chang'lang
长陵,chang'ling
长明灯,chang'ming'deng
常平关帝庙,chang'ping'guan'di'miao
长辛店二七革命遗址,chang'xin'dian'er'qi'ge'ming'yi'zhi
朝天宫,chao'tian'gong
朝宗桥,chao'zong'qiao
承光殿,cheng'guang'dian
城隍庙,cheng'huang'miao
成吉思汗陵,cheng'ji'si'han'ling
城墙磖子山城遗址,cheng'qiang'la'zi'shan'cheng'yi'zhi
城子后山城遗址,cheng'zi'hou'shan'cheng'yi'zhi
城子山山城,cheng'zi'shan'shan'cheng
城子山山城遗址,cheng'zi'shan'shan'cheng'yi'zhi
池神庙,chi'shen'miao
崇妃园寝,chong'fei'yuan'qin
崇福寺,chong'fu'si
崇陵,chong'ling
崇明寺,chong'ming'si
崇宁殿,chong'ning'dian
崇庆寺,chong'qing'si
崇善寺,chong'shan'si
崇圣饲,chong'sheng'si
崇寿寺,chong'shou'si
崇寿寺塔,chong'shou'si'ta
崇兴寺双塔,chong'xing'si'shuang'ta
重阳殿,chong'yang'dian
崇政殿,chong'zheng'dian
除好柏,chu'hao'bai
储秀官,chu'xiu'guan
圌山塔,chuan'shan'ta
锤峰落照,chui'feng'luo'zhao
春秋楼,chun'qiu'lou
纯阳殿,chun'yang'dian
纯阳宫,chun'yang'gong
慈悲庵,ci'bei'an
赐儿山云帛寺,ci'er'shan'yun'bo'si
慈清寺,ci'qing'si
慈寿寺塔,ci'shou'si'ta
慈寿塔,ci'shou'ta
慈相寺,ci'xiang'si
慈样观,ci'yang'guan
慈云阁,ci'yun'ge
慈云寺,ci'yun'si
丛台,cong'tai
崔府君庙,cui'fu'jun'miao
大安寺,da'an'si
大报恩寺碑,da'bao'en'si'bei
大葆台西汉墓,da'bao'tai'xi'han'mu
大悲阁,da'bei'ge
大悲寺,da'bei'si
大悲院,da'bei'yuan
大笔架山,da'bi'jia'shan
大乘寺,da'cheng'si
大城子塔,da'cheng'zi'ta
大慈阁,da'ci'ge
大风歌碑,da'feng'ge'bei
大佛寺,da'fo'si
大高玄殿,da'gao'xuan'dian
大沽口炮台,da'gu'kou'pao'tai
大孤山,da'gu'shan
大观圣作之碑,da'guan'sheng'zuo'zhi'bei
大黑山,da'hei'shan
大虹桥,da'hong'qiao
大慧寺,da'hui'si
大伙房水库,da'huo'fang'shui'ku
大金得胜陀颂碑,da'jin'de'sheng'tuo'song'bei
大境门,da'jing'men
大觉寺,da'jue'si
大连自然博物馆,da'lian'zi'ran'bo'wu'guan
大鹿岛,da'lu'dao
大庙,da'miao
大明寺,da'ming'si
大明塔,da'ming'ta
大石桥,da'shi'qiao
大窑村石器制造场,da'yao'cun'shi'qi'zhi'zao'chang
大禹渡,da'yu'du
大云寺,da'yun'si
大云院,da'yun'yuan
大召,da'zhao
大政殿,da'zheng'dian
大钟奇,da'zhong'qi
大钟亭,da'zhong'ting
黛螺顶,dai'luo'ding
岱庙,dai'miao
澹泊敬诚殿,dan'bo'jing'cheng'dian
德和园,de'he'yuan
德胜门箭楼,de'sheng'men'jian'lou
邓廷桢墓,deng'ting'zhen'mu
邓演达墓,deng'yan'da'mu
地保城,di'bao'cheng
地坛,di'tan
帝王树,di'wang'shu
地下富殿,di'xia'fu'dian
地下熔岩洞,di'xia'rong'yan'dong
地下森林,di'xia'sen'lin
点春堂,dian'chun'tang
淀山湖,dian'shan'hu
钓鱼台,diao'yu'tai
丁村民居,ding'cun'min'ju
丁村遗址,ding'cun'yi'zhi
定东陵,ding'dong'ling
定光佛舍利塔,ding'guang'fo'she'li'ta
定慧寺,ding'hui'si
定林寺,ding'lin'si
定陵,ding'ling
东北烈士纪念馆,dong'bei'lie'shi'ji'nian'guan
董存瑞烈士陵园,dong'cun'rui'lie'shi'ling'yuan
东大殿,dong'da'dian
东堤,dong'di
东峰耸翠,dong'feng'song'cui
洞沟第十二号墓,dong'gou'di'shi'er'hao'mu
洞沟古墓群,dong'gou'gu'mu'qun
东京城,dong'jing'cheng
东京陵,dong'jing'ling
东联峰山,dong'lian'feng'shan
东林书院旧址,dong'lin'shu'yuan'jiu'zhi
东南域角角楼,dong'nan'yu'jiao'jiao'lou
董氏砖雕墓,dong'shi'zhuan'diao'mu
东四清真寺,dong'si'qing'zhen'si
东岳庙,dong'yue'miao
窦大夫祠,dou'dai'fu'ci
都城隍庙大殿,du'cheng'huang'miao'da'dian
渡江胜利纪念碑,du'jiang'sheng'li'ji'nian'bei
独乐寺,du'le'si
杜林桥,du'lin'qiao
对语石,dui'yu'shi
堆云洞,dui'yun'dong
多宝琉璃塔,duo'bao'liu'li'ta
多福寺,duo'fu'si
儿童铁路,er'tong'tie'lu
二仙宫,er'xian'gong
二仙观,er'xian'guan
法海寺,fa'hai'si
法华塔,fa'hua'ta
法净寺,fa'jing'si
法王庙,fa'wang'miao
法兴寺,fa'xing'si
