爱国主义,ai'guo'zhu'yi
八路军,ba'lu'jun
八一建军节,ba'yi'jian'jun'jie
八一奖章,ba'yi'jiang'zhang
八一南昌起义,ba'yi'nan'chang'qi'yi
八一勋章,ba'yi'xun'zhang
保密制度,bao'mi'zhi'du
比学赶帮超,bi'xue'gan'bang'chao
边打边组织,bian'da'bian'zu'zhi
不打人骂人,bu'da'ren'ma'ren
不拿群众一针一线,bu'na'qun'zhong'yi'zhen'yi'xian
不虐待俘虏,bu'nue'dai'fu'lu
不损坏庄家,bu'sun'huai'zhuang'jia
不调戏妇女,bu'tiao'xi'fu'nv
处分,chu'fen
传帮带,chuan'bang'dai
传统教育,chuan'tong'jiao'yu
党日,dang'ri
党委制,dang'wei'zhi
第二代理人,di'er'dai'li'ren
第二方面军,di'er'fang'mian'jun
第三代理人,di'san'dai'li'ren
第四方面军,di'si'fang'mian'jun
第一代理人,di'yi'dai'li'ren
第一方面军,di'yi'fang'mian'jun
东北抗日联军,dong'bei'kang'ri'lian'jun
独立自由勋章,du'li'zi'you'xun'zhang
二等功,er'deng'gong
二方面军,er'fang'mian'jun
二万五千里长征,er'wan'wu'qian'li'chang'zheng
防奸保密,fang'jian'bao'mi
俘管工作,fu'guan'gong'zuo
俘虏政策,fu'lu'zheng'ce
抚恤,fu'xu
干部代理人,gan'bu'dai'li'ren
干部服役条列,gan'bu'fu'yi'tiao'lie
干部下连当兵,gan'bu'xia'lian'dang'bing
干部下连当兵制度,gan'bu'xia'lian'dang'bing'zhi'du
革命竞赛,ge'ming'jing'sai
革命军人家属,ge'ming'jun'ren'jia'shu
革命乐观主义,ge'ming'le'guan'zhu'yi
革命烈士,ge'ming'lie'shi
革命烈士纪念碑,ge'ming'lie'shi'ji'nian'bei
革命烈士家属,ge'ming'lie'shi'jia'shu
革命烈士陵园,ge'ming'lie'shi'ling'yuan
革命英雄主义,ge'ming'ying'xiong'zhu'yi
巩固部队,gong'gu'bu'dui
工作队,gong'zuo'dui
古田会议决议,gu'tian'hui'yi'jue'yi
官兵一致,guan'bing'yi'zhi
关于军队政治工作问题的报告,guan'yu'jun'dui'zheng'zhi'gong'zuo'wen'ti'de'bao'gao
广州起义,guang'zhou'qi'yi
国际主义,guo'ji'zhu'yi
红军,hong'jun
火线喊话,huo'xian'han'hua
火线立功,huo'xian'li'gong
火线联欢,huo'xian'lian'huan
火线入党,huo'xian'ru'dang
基层党委,ji'ceng'dang'wei
基层建设,ji'ceng'jian'she
纪律检查委员会,ji'lv'jian'cha'wei'yuan'hui
机密,ji'mi
纪念章,ji'nian'zhang
集体主义,ji'ti'zhu'yi
嘉奖,jia'jiang
奖惩权,jiang'cheng'quan
奖惩制度,jiang'cheng'zhi'du
奖励,jiang'li
奖旗,jiang'qi
奖章,jiang'zhang
奖章证书,jiang'zhang'zheng'shu
奖状,jiang'zhuang
借东西要还,jie'dong'xi'yao'huan
解放军进行曲,jie'fang'jun'jin'xing'qu
解放勋章,jie'fang'xun'zhang
阶级觉悟,jie'ji'jue'wu
阶级友爱,jie'ji'you'ai
经济民主,jing'ji'min'zhu
绝密,jue'mi
军队政治工作,jun'dui'zheng'zhi'gong'zuo
军队政治工作制度,jun'dui'zheng'zhi'gong'zuo'zhi'du
军队政治机关,jun'dui'zheng'zhi'ji'guan
军法,jun'fa
军烈属,jun'lie'shu
军民一致,jun'min'yi'zhi
军人俱乐部,jun'ren'ju'le'bu
军人誓词,jun'ren'shi'ci
军人牺牲病故证明书,jun'ren'xi'sheng'bing'gu'zheng'ming'shu
军事法庭,jun'shi'fa'ting
军事机密,jun'shi'ji'mi
军事检察院,jun'shi'jian'cha'yuan
军事民主,jun'shi'min'zhu
军事训练中的政治工作,jun'shi'xun'lian'zhong'de'zheng'zhi'gong'zuo
军属,jun'shu
抗美援朝,kang'mei'yuan'chao
抗美援朝战争,kang'mei'yuan'chao'zhan'zheng
抗日战争,kang'ri'zhan'zheng
科学文化教育,ke'xue'wen'hua'jiao'yu
控告,kong'gao
立功奖章,li'gong'jiang'zhang
立功喜报,li'gong'xi'bao
立功运动,li'gong'yun'dong
连队党支部,lian'dui'dang'zhi'bu
