安史之乱,an'shi'zhi'luan
八旗制度,ba'qi'zhi'du
八王之乱,ba'wang'zhi'luan
八字军抗金,ba'zi'jun'kang'jin
百家争鸣,bai'jia'zheng'ming
白莲教起义,bai'lian'jiao'qi'yi
北朝,bei'chao
北京保卫战,bei'jing'bao'wei'zhan
北京人,bei'jing'ren
杯酒释兵权,bei'jiu'shi'bing'quan
北宋,bei'song
北宋东京,bei'song'dong'jing
北魏均田制,bei'wei'jun'tian'zhi
曹魏屯田制,cao'wei'tun'tian'zhi
察举征辟制,cha'ju'zheng'pi'zhi
澶渊之盟,chan'yuan'zhi'meng
厂卫,chang'wei
陈桥兵变,chen'qiao'bing'bian
陈胜吴广起义,chen'sheng'wu'guang'qi'yi
城濮之战,cheng'pu'zhi'zhan
赤壁之战,chi'bi'zhi'zhan
楚汉战争,chu'han'zhan'zheng
春秋,chun'qiu
达鲁花赤,da'lu'hua'chi
大禹治水,da'yu'zhi'shui
党锢之祸,dang'gu'zhi'huo
东汉,dong'han
东晋,dong'jin
东林党,dong'lin'dang
都江堰,du'jiang'yan
敦煌莫高窟,dun'huang'mo'gao'ku
阿房宫,e'pang'gong
二里头文化,er'li'tou'wen'hua
藩镇割据,fan'zhen'ge'ju
方腊起义,fang'la'qi'yi
淝水之战,fei'shui'zhi'zhan
分封制,fen'feng'zhi
焚书坑儒,fen'shu'keng'ru
府兵制,fu'bing'zhi
改土归流,gai'tu'gui'liu
甘露之变,gan'lu'zhi'bian
庚戌之变,geng'xu'zhi'bian
官渡之战,guan'du'zhi'zhan
国人暴动,guo'ren'bao'dong
海上之盟,hai'shang'zhi'meng
汉,han
合纵连横,he'zong'lian'heng
鸿门宴,hong'men'yan
侯景之乱,hou'jing'zhi'luan
宦官专权,huan'guan'zhuan'quan
黄巢起义,huang'chao'qi'yi
黄巾起义,huang'jin'qi'yi
黄天荡战役,huang'tian'dang'zhan'yi
火药用于军事,huo'yao'yong'yu'jun'shi
活字印刷术,huo'zi'yin'shua'shu
甲骨文,jia'gu'wen
交子和会子,jiao'zi'he'hui'zi
节度使,jie'du'shi
金,jin
晋,jin
金瓶掣签,jin'ping'che'qian
金文,jin'wen
靖康之耻,jing'kang'zhi'chi
荆轲刺秦王,jing'ke'ci'qin'wang
靖难之役,jing'nan'zhi'yi
井田制,jing'tian'zhi
九品中正制,jiu'pin'zhong'zheng'zhi
均田制和租庸调制,jun'tian'zhi'he'zu'yong'diao'zhi
郡县制,jun'xian'zhi
开元之治,kai'yuan'zhi'zhi
开凿大运河,kai'zao'da'yun'he
科举制,ke'ju'zhi
蓝田人,lan'tian'ren
里甲制度,li'jia'zhi'du
李悝变法,li'kui'bian'fa
骊山陵和兵马俑,li'shan'ling'he'bing'ma'yong
两税法,liang'shui'fa
辽,liao
绿林赤眉起义,lu'lin'chi'mei'qi'yi
洛阳石窟,luo'yang'shi'ku
马王堆汉墓,ma'wang'dui'han'mu
弭兵大会,mi'bing'da'hui
明,ming
明代小说,ming'dai'xiao'shuo
明代资本主义萌芽,ming'dai'zi'ben'zhu'yi'meng'ya
明末农民战争,ming'mo'nong'min'zhan'zheng
明南京,ming'nan'jing
明清北京,ming'qing'bei'jing
南朝,nan'chao
南书房和军机处,nan'shu'fang'he'jun'ji'chu
南宋,nan'song
南宋临安,nan'song'lin'an
内阁与大学士,nei'ge'yu'da'xue'shi
尼布楚条约,ni'bu'chu'tiao'yue
牛李党争,niu'li'dang'zheng
盘庚迁殷,pan'geng'qian'yin
平定三藩之乱,ping'ding'san'fan'zhi'luan
戚继光抗倭,qi'ji'guang'kang'wo
乾嘉学派,qian'jia'xue'pai
怯薛,qie'xue
秦,qin
清,qing
清代小说,qing'dai'xiao'shuo
庆历新政,qing'li'xin'zheng
青铜器,qing'tong'qi
萨尔浒之战,sa'er'hu'zhi'zhan
三公九卿,san'gong'jiu'qing
三省六部制,san'sheng'liu'bu'zhi
三饷加派,san'xiang'jia'pai
三征噶尔丹,san'zheng'ga'er'dan
三征高丽,san'zheng'gao'li
山顶洞人,shan'ding'dong'ren
商,shang
商鞅变法,shang'yang'bian'fa
绍兴和议,shao'xing'he'yi
十六国,shi'liu'guo
石器时代,shi'qi'shi'dai
丝绸之路,si'chou'zhi'lu
四书五经,si'shu'wu'jing
宋,song
宋词,song'ci
宋江起义,song'jiang'qi'yi
算缗和告缗,suan'min'he'gao'min
隋,sui
