阿杜,a'du
阿朵,a'duo
阿里郎,a'li'lang
阿木,a'mu
阿丘,a'qiu
阿桑,a'sang
阿雅,a'ya
爱戴,ai'dai
安琥,an'hu
安又琪,an'you'qi
柏含,bai'han
白灵,bai'ling
白庆琳,bai'qing'lin
白岩松,bai'yan'song
包青天,bao'qing'tian
包拯,bao'zheng
毕福剑,bi'fu'jian
蔡国权,cai'guo'quan
蔡健雅,cai'jian'ya
蔡康永,cai'kang'yong
蔡明,cai'ming
蔡琴,cai'qin
蔡少芬,cai'shao'fen
蔡依林,cai'yi'lin
曹方,cao'fang
曹曦文,cao'xi'wen
曹颖,cao'ying
曹征,cao'zheng
常宽,chang'kuan
常香玉,chang'xiang'yu
常晓阳,chang'xiao'yang
陈宝国,chen'bao'guo
陈宝莲,chen'bao'lian
陈冲,chen'chong
陈道明,chen'dao'ming
陈德容,chen'de'rong
陈冠希,chen'guan'xi
陈好,chen'hao
陈浩民,chen'hao'min
陈红,chen'hong
陈慧琳,chen'hui'lin
陈慧珊,chen'hui'shan
陈建斌,chen'jian'bin
陈凯歌,chen'kai'ge
陈坤,chen'kun
陈莉莉,chen'li'li
陈琳,chen'lin
陈龙,chen'long
陈鲁豫,chen'lu'yu
陈明,chen'ming
陈木胜,chen'mu'sheng
陈佩斯,chen'pei'si
陈荣森,chen'rong'sen
陈小春,chen'xiao'chun
陈晓东,chen'xiao'dong
陈秀丽,chen'xiu'li
陈怡蓉,chen'yi'rong
陈奕迅,chen'yi'xun
陈滢,chen'ying
陈羽凡,chen'yu'fan
陈昭荣,chen'zhao'rong
陈志朋,chen'zhi'peng
程兰,cheng'lan
成龙,cheng'long
成泰,cheng'tai
崔健,cui'jian
崔林,cui'lin
崔奕,cui'yi
崔永元,cui'yong'yuan
达达乐队,da'da'yue'dui
戴军,dai'jun
戴佩妮,dai'pei'ni
刀郎,dao'lang
邓超,deng'chao
邓萃雯,deng'cui'wen
邓丽君,deng'li'jun
邓紫棋,deng'zi'qi
迪克牛仔,di'ke'niu'zai
狄龙,di'long
丁建华,ding'jian'hua
丁子峻,ding'zi'jun
董浩,dong'hao
董洁,dong'jie
董平,dong'ping
董卿,dong'qing
董文华,dong'wen'hua
董璇,dong'xuan
董勇,dong'yong
窦唯,dou'wei
杜斌,du'bin
杜淳,du'chun
杜德伟,du'de'wei
杜海涛,du'hai'tao
杜琪峰,du'qi'feng
杜汶泽,du'wen'ze
尔冬升,er'dong'sheng
范冰冰,fan'bing'bing
范玮琪,fan'wei'qi
范文芳,fan'wen'fang
范晓萱,fan'xiao'xuan
方力申,fang'li'shen
方中信,fang'zhong'xin
房祖名,fang'zu'ming
飞儿乐团,fei'er'yue'tuan
费翔,fei'xiang
冯德伦,feng'de'lun
