哎也,ai'ye
冰绿豆,bing'lv'dou
不要上课,bu'yao'shang'ke
菜梗,cai'geng
陈坊,chen'fang
崇岗,chong'gang
崇仁,chong'ren
崇仁县,chong'ren'xian
从南昌,cong'nan'chang
大板车,da'ban'che
大公路,da'gong'lu
大觉山,da'jiao'shan
打摩的,da'mo'di
到抚州,dao'fu'zhou
到干嘛,dao'gan'ma
到江西,dao'jiang'xi
德憋,de'bie
登高山,deng'gao'shan
邓家,deng'jia
跌股,die'gu
东华理工,dong'hua'li'gong
东华理工大学,dong'hua'li'gong'da'xue
东乡,dong'xiang
东乡县,dong'xiang'xian
发动机保养,fa'dong'ji'bao'yang
法水,fa'shui
复方丹参片,fu'fang'dan'shen'pian
抚职,fu'zhi
抚州,fu'zhou
抚州的,fu'zhou'de
抚州店,fu'zhou'dian
抚州话,fu'zhou'hua
抚州了,fu'zhou'le
抚州人,fu'zhou'ren
抚州市,fu'zhou'shi
抚州一中,fu'zhou'yi'zhong
赣东,gan'dong
赣东大道,gan'dong'da'dao
干嘛哟,gan'ma'yo
高阜,gao'fu
歌嫣吧,ge'yan'ba
公路运输,gong'lu'yun'shu
怪鬼,guai'gui
冠建,guan'jian
广昌,guang'chang
广昌县,guang'chang'xian
贵溪,gui'xi
好看波,hao'kan'bo
何个,he'ge
嘿戳,hei'chuo
洪客隆,hong'ke'long
华溪,hua'xi
回抚州,hui'fu'zhou
混过去后,hun'guo'qu'hou
季季红,ji'ji'hong
吉水,ji'shui
假按揭,jia'an'jie
佳佳基,jia'jia'ji
剪子口,jian'zi'kou
江西抚州,jiang'xi'fu'zhou
金溪,jin'xi
金溪县,jin'xi'xian
锦绣华城,jin'xiu'hua'cheng
桔都,ju'dou
军峰,jun'feng
军峰山,jun'feng'shan
卡通人,ka'tong'ren
考不来,kao'bu'lai
快几,kuai'ji
来抚州,lai'fu'zhou
来哟,lai'yo
浪漫一身,lang'man'yi'shen
乐安,le'an
乐安县,le'an'xian
乐平,le'ping
黎川,li'chuan
黎川县,li'chuan'xian
临川,lin'chuan
临川二中,lin'chuan'er'zhong
临川区,lin'chuan'qu
临川一中,lin'chuan'yi'zhong
临一,lin'yi
零班,ling'ban
灵谷峰,ling'gu'feng
柳在夏,liu'zai'xia
陆坊,lu'fang
麻姑山,ma'gu'shan
马家山,ma'jia'shan
蚂蚁夫妇,ma'yi'fu'fu
毛鬼,mao'gui
茅排,mao'pai
贸易广场,mao'yi'guang'chang
毛浙东,mao'zhe'dong
美丽王国,mei'li'wang'guo
美其乐,mei'qi'le
梦湖,meng'hu
蜜桔,mi'ju
名人园,ming'ren'yuan
木卵,mu'luan
那还不要,na'hai'bu'yao
南昌了,nan'chang'le
南城,nan'cheng
南城的,nan'cheng'de
南城县,nan'cheng'xian
南丰,nan'feng
南丰县,nan'feng'xian
南源,nan'yuan
男子宁,nan'zi'ning
男子人,nan'zi'ren
能后,neng'hou
你不要上课,ni'bu'yao'shang'ke
你到干嘛,ni'dao'gan'ma
你在抚州,ni'zai'fu'zhou
你在南昌,ni'zai'nan'chang
娘子宁,niang'zi'ning
娘子人,niang'zi'ren
捏滴,nie'di
牛田,niu'tian
泡粉,pao'fen
跑火,pao'huo
鹏田乡,peng'tian'xiang
鄱阳,po'yang
七里岗,qi'li'gang
恰不消,qia'bu'xiao
恰噶,qia'ga
千百味,qian'bai'wei
琴湖,qin'hu
秋溪,qiu'xi
去抚州,qu'fu'zhou
去南昌,qu'nan'chang
惹人讨厌,re'ren'tao'yan
荣山,rong'shan
汝水,ru'shui
沙塘隘,sha'tang'ai
山水人家,shan'shui'ren'jia
上度,shang'du
上顿度,shang'dun'du
上多度,shang'duo'du
上饶,shang'rao
是波,shi'bo
石城,shi'cheng
市山,shi'shan
是哇是哇,shi'wa'shi'wa
十小,shi'xiao
收支明细表,shou'zhi'ming'xi'biao
水南,shui'nan
说泡,shuo'pao
孙坊,sun'fang
潭溪,tan'xi
汤显祖,tang'xian'zu
淘股吧,tao'gu'ba
桐源,tong'yuan
哇的,wa'de
文昌桥,wen'chang'qiao
我班上,wo'ban'shang
我到过,wo'dao'guo
我江西,wo'jiang'xi
我来睡觉,wo'lai'shui'jiao
我在抚州,wo'zai'fu'zhou
我在江西,wo'zai'jiang'xi
五皇殿,wu'huang'dian
西湖绿洲,xi'hu'lv'zhou
相山,xiang'shan
孝桥,xiao'qiao
新抚州,xin'fu'zhou
新干,xin'gan
熊村,xiong'cun
徐坊,xu'fang
徐家坊,xu'jia'fang
浒湾,xu'wan
羊城广场,yang'cheng'guang'chang
样个,yang'ge
宜黄,yi'huang
宜黄县,yi'huang'xian
驿前,yi'qian
鹰潭,ying'tan
在阿姨,zai'a'yi
在抚州,zai'fu'zhou
在乐安,zai'le'an
在南昌,zai'nan'chang
在南城,zai'nan'cheng
泽源,ze'yuan
曌然,zhao'ran
圳口,zhen'kou
郑宇成,zheng'yu'cheng
中映,zhong'ying
资溪,zi'xi
资溪县,zi'xi'xian
做色,zuo'se
做犀利,zuo'xi'li
